Geolocation,Type,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 Annual,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
..National Capital Region (NCR),Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Horse for Slaughter,..,..,..,..,..,280.00,..,..,..,280.00,..,..,..,..,..,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,300.00,..,300.00,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Sheep for Slaughter,..,240.00,..,222.37,231.18,235.76,230.71,234.68,266.50,241.91,222.89,230.72,226.51,239.63,229.94,234.29,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Goose for Dressing,..,..,175.00,..,175.00,..,..,175.00,170.00,172.50,170.00,170.00,..,..,170.00,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Quail for Dressing,..,..,90.00,80.00,85.00,95.00,..,90.00,80.00,88.33,50.40,37.73,100.00,..,62.71,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Turkey for Dressing,..,..,400.00,..,400.00,..,200.00,..,200.00,200.00,210.00,207.37,350.00,200.00,241.84,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Quail Egg,1.30,1.35,1.72,1.44,1.45,1.39,1.51,1.68,1.53,1.53,1.50,1.61,1.52,1.56,1.55,1.87,*/,*/,*/,*/
....Ilocos Norte,Horse for Slaughter,..,..,..,..,..,280.00,..,..,..,280.00,..,..,..,..,..,..,*/,*/,*/,*/
....Ilocos Norte,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ilocos Norte,Sheep for Slaughter,..,240.00,..,222.37,231.18,235.76,230.71,234.68,266.50,241.91,233.58,224.14,226.51,234.54,229.69,234.29,*/,*/,*/,*/
....Ilocos Norte,Goose for Dressing,..,..,175.00,..,175.00,..,..,175.00,170.00,172.50,170.00,170.00,..,..,170.00,..,*/,*/,*/,*/
....Ilocos Norte,Quail for Dressing,..,..,..,80.00,80.00,..,..,..,..,..,75.00,..,..,..,75.00,..,*/,*/,*/,*/
....Ilocos Norte,Turkey for Dressing,..,..,..,..,..,..,200.00,..,200.00,200.00,210.00,210.00,..,200.00,206.67,..,*/,*/,*/,*/
....Ilocos Norte,Quail Egg,..,..,..,1.30,1.30,1.50,1.50,1.67,1.50,1.54,1.58,1.50,1.50,1.50,1.52,2.00,*/,*/,*/,*/
....Ilocos Sur,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ilocos Sur,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,300.00,..,300.00,..,*/,*/,*/,*/
....Ilocos Sur,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,150.00,350.00,..,..,250.00,..,*/,*/,*/,*/
....Ilocos Sur,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ilocos Sur,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ilocos Sur,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,350.00,..,350.00,..,*/,*/,*/,*/
....Ilocos Sur,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....La Union,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....La Union,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....La Union,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....La Union,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....La Union,Quail for Dressing,..,..,60.00,..,60.00,120.00,..,..,..,120.00,..,25.00,100.00,..,62.50,..,*/,*/,*/,*/
....La Union,Turkey for Dressing,..,..,400.00,..,400.00,..,..,..,..,..,..,200.00,..,..,200.00,..,*/,*/,*/,*/
....La Union,Quail Egg,..,1.70,1.72,1.62,1.68,1.65,1.68,1.70,1.60,1.66,1.80,1.70,1.53,1.60,1.66,1.40,*/,*/,*/,*/
....Pangasinan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pangasinan,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pangasinan,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,220.00,..,..,246.67,233.33,..,*/,*/,*/,*/
....Pangasinan,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pangasinan,Quail for Dressing,..,..,120.00,..,120.00,70.00,..,90.00,80.00,80.00,50.00,70.00,100.00,..,73.33,100.00,*/,*/,*/,*/
....Pangasinan,Turkey for Dressing,..,..,400.00,..,400.00,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pangasinan,Quail Egg,1.30,1.00,..,1.40,1.23,1.35,1.35,..,1.50,1.40,1.50,1.50,..,..,1.50,1.50,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Sheep for Slaughter,..,..,..,..,..,..,..,350.00,284.67,317.33,285.28,288.33,290.00,285.00,287.15,283.41,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Quail for Dressing,25.00,25.00,..,..,25.00,80.00,80.00,..,80.00,80.00,..,..,128.15,..,128.15,..,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Turkey for Dressing,..,..,400.00,..,400.00,..,..,..,400.00,400.00,200.00,..,..,..,200.00,..,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Quail Egg,2.00,2.00,2.00,1.00,1.75,1.80,..,..,1.95,1.88,1.70,1.90,1.70,1.54,1.71,2.00,*/,*/,*/,*/
....Batanes,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,200.00,..,..,..,200.00,..,*/,*/,*/,*/
....Batanes,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Sheep for Slaughter,..,..,..,..,..,..,..,..,284.67,284.67,285.28,288.33,290.00,285.00,287.15,283.41,*/,*/,*/,*/
....Cagayan,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Isabela,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Isabela,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Isabela,Sheep for Slaughter,..,..,..,..,..,..,..,350.00,..,350.00,160.00,..,..,..,160.00,..,*/,*/,*/,*/
....Isabela,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Isabela,Quail for Dressing,25.00,25.00,..,..,25.00,80.00,80.00,..,80.00,80.00,..,..,128.15,..,128.15,..,*/,*/,*/,*/
....Isabela,Turkey for Dressing,..,..,400.00,..,400.00,..,..,..,400.00,400.00,..,..,..,..,..,..,*/,*/,*/,*/
....Isabela,Quail Egg,2.00,2.00,2.00,1.00,1.75,1.80,..,..,1.95,1.88,1.70,1.90,1.70,1.54,1.71,2.00,*/,*/,*/,*/
....Nueva Vizcaya,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Quail Egg,..,..,..,..,..,..,..,..,..,..,1.73,..,..,..,1.73,..,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Rabbit for Slaughter,..,..,250.00,..,250.00,300.00,140.00,197.50,..,212.50,186.73,201.32,158.94,204.50,187.87,184.52,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Sheep for Slaughter,..,..,..,..,..,..,..,203.33,200.00,201.67,231.24,220.00,213.33,220.00,221.14,249.10,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Quail for Dressing,..,72.50,87.50,80.00,80.00,80.00,..,..,100.00,90.00,180.29,147.02,38.47,79.06,111.21,66.34,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Turkey for Dressing,330.00,87.33,400.00,..,272.44,350.00,..,..,..,350.00,233.33,200.00,..,309.68,247.67,301.81,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Quail Egg,1.69,1.52,1.53,1.78,1.63,1.47,1.31,1.63,1.52,1.48,1.69,1.34,1.51,1.51,1.51,1.80,*/,*/,*/,*/
....Aurora,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Quail for Dressing,..,90.00,100.00,100.00,96.67,..,..,..,100.00,100.00,100.00,80.00,100.00,100.00,95.00,100.00,*/,*/,*/,*/
....Bataan,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Quail Egg,..,1.40,1.65,1.54,1.53,1.60,1.50,1.50,1.50,1.53,1.60,1.60,1.70,1.70,1.65,1.63,*/,*/,*/,*/
....Bulacan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bulacan,Rabbit for Slaughter,..,..,..,..,..,350.00,140.00,145.00,..,211.67,183.33,180.00,145.00,204.55,178.22,185.00,*/,*/,*/,*/
....Bulacan,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bulacan,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bulacan,Quail for Dressing,..,70.00,120.00,70.00,86.67,88.00,..,..,..,88.00,200.00,160.00,30.00,80.00,117.50,76.67,*/,*/,*/,*/
....Bulacan,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bulacan,Quail Egg,1.50,1.20,1.37,1.80,1.47,1.52,1.30,1.80,1.45,1.52,1.70,1.33,1.50,1.50,1.51,1.83,*/,*/,*/,*/
....Nueva Ecija,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Ecija,Rabbit for Slaughter,..,..,250.00,..,250.00,250.00,..,250.00,..,250.00,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Ecija,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,230.00,..,..,..,230.00,267.00,*/,*/,*/,*/
....Nueva Ecija,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Ecija,Quail for Dressing,..,60.00,60.00,70.00,63.33,28.25,..,..,..,28.25,50.00,41.67,58.57,60.00,52.56,60.00,*/,*/,*/,*/
....Nueva Ecija,Turkey for Dressing,330.00,87.33,..,..,208.67,350.00,..,..,..,350.00,350.00,..,..,350.00,350.00,350.00,*/,*/,*/,*/
....Nueva Ecija,Quail Egg,1.74,1.57,1.35,2.15,1.70,1.29,1.12,1.60,1.60,1.40,1.68,1.76,1.91,1.78,1.78,1.60,*/,*/,*/,*/
....Pampanga,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Sheep for Slaughter,..,..,..,..,..,..,..,203.33,200.00,201.67,230.00,220.00,213.33,220.00,220.83,215.00,*/,*/,*/,*/
....Pampanga,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Quail for Dressing,..,70.00,70.00,..,70.00,60.00,..,..,..,60.00,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Turkey for Dressing,..,..,400.00,..,400.00,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Quail Egg,1.28,1.35,1.75,1.62,1.50,1.11,..,..,..,1.11,1.67,1.20,1.33,1.37,1.39,1.37,*/,*/,*/,*/
....Tarlac,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Tarlac,Rabbit for Slaughter,..,..,..,..,..,300.00,..,..,..,300.00,225.00,225.00,210.00,200.00,215.00,170.00,*/,*/,*/,*/
....Tarlac,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Tarlac,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Tarlac,Quail for Dressing,..,..,..,..,..,84.00,..,..,..,84.00,80.00,30.00,33.33,116.67,65.00,80.00,*/,*/,*/,*/
....Tarlac,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,210.00,200.00,..,300.00,236.67,300.00,*/,*/,*/,*/
....Tarlac,Quail Egg,..,..,..,..,..,1.40,..,..,..,1.40,1.67,0.90,1.35,1.50,1.35,1.50,*/,*/,*/,*/
....Zambales,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Zambales,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Zambales,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,317.86,..,..,..,317.86,300.00,*/,*/,*/,*/
....Zambales,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,250.00,..,250.00,..,*/,*/,*/,*/
....Zambales,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Zambales,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Zambales,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Rabbit for Slaughter,..,..,150.00,..,150.00,..,..,..,..,..,200.00,250.00,148.93,..,199.64,169.28,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Sheep for Slaughter,..,256.67,251.11,334.52,280.77,333.17,482.14,440.00,250.00,376.33,..,280.00,..,..,280.00,246.15,*/,*/,*/,*/
