Geolocation,Type,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 Annual,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
..National Capital Region (NCR),Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Horse for Slaughter,..,..,..,..,..,..,..,..,240.00,240.00,250.00,250.00,..,250.00,250.00,250.00,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Rabbit for Slaughter,257.14,450.00,450.00,250.00,351.79,180.03,186.67,152.50,217.00,184.05,216.46,164.12,151.78,155.16,171.88,148.32,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Sheep for Slaughter,270.00,..,..,130.00,200.00,307.37,313.33,293.33,239.44,288.37,263.56,313.15,297.67,294.63,292.25,291.81,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Goose for Dressing,200.00,150.00,210.00,..,186.67,..,233.33,..,350.00,291.67,180.63,200.75,181.69,124.86,171.98,188.53,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,60.50,100.00,..,80.25,120.00,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Turkey for Dressing,196.16,250.00,..,..,223.08,200.00,267.50,200.00,290.00,239.38,202.61,269.23,338.89,329.71,285.11,332.02,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Quail Egg,..,..,..,..,..,..,..,..,..,..,1.50,1.50,1.50,1.50,1.50,..,*/,*/,*/,*/
....Abra,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,250.00,250.00,250.00,*/,*/,*/,*/
....Abra,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Goose for Dressing,..,..,170.00,..,170.00,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Turkey for Dressing,..,..,..,..,..,..,285.00,..,..,285.00,..,..,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Abra,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Rabbit for Slaughter,..,..,450.00,..,450.00,..,..,..,250.00,250.00,300.00,170.00,150.00,150.00,192.50,150.00,*/,*/,*/,*/
....Apayao,Sheep for Slaughter,270.00,..,..,130.00,200.00,307.37,300.00,280.00,220.00,276.84,266.67,316.67,300.00,300.00,295.83,300.00,*/,*/,*/,*/
....Apayao,Goose for Dressing,..,150.00,250.00,..,200.00,..,..,..,350.00,350.00,..,..,180.00,300.00,240.00,300.00,*/,*/,*/,*/
....Apayao,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,75.00,..,..,75.00,120.00,*/,*/,*/,*/
....Apayao,Turkey for Dressing,113.33,..,..,..,113.33,200.00,..,..,350.00,275.00,..,250.00,416.67,400.00,355.56,400.00,*/,*/,*/,*/
....Apayao,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Rabbit for Slaughter,257.14,..,..,250.00,253.57,200.00,200.00,150.00,225.00,193.75,150.00,150.00,150.00,130.00,145.00,100.00,*/,*/,*/,*/
....Benguet,Sheep for Slaughter,..,..,..,130.00,130.00,..,300.00,300.00,..,300.00,..,300.00,..,..,300.00,..,*/,*/,*/,*/
....Benguet,Goose for Dressing,..,..,..,..,..,..,..,..,280.00,280.00,180.00,..,150.00,150.00,160.00,150.00,*/,*/,*/,*/
....Benguet,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Turkey for Dressing,..,250.00,..,..,250.00,..,..,..,300.00,300.00,250.00,..,..,200.00,225.00,200.00,*/,*/,*/,*/
....Benguet,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Rabbit for Slaughter,..,450.00,..,250.00,350.00,100.00,..,130.00,250.00,160.00,150.00,150.00,150.00,150.00,150.00,150.00,*/,*/,*/,*/
....Ifugao,Sheep for Slaughter,..,..,..,..,..,..,250.00,..,300.00,275.00,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Ifugao,Goose for Dressing,200.00,..,..,..,200.00,..,..,..,150.00,150.00,180.00,200.00,..,20.00,133.33,180.00,*/,*/,*/,*/
....Ifugao,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Turkey for Dressing,..,..,..,..,..,..,..,200.00,250.00,225.00,180.00,..,..,250.00,215.00,250.00,*/,*/,*/,*/
....Ifugao,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Horse for Slaughter,..,..,..,..,..,..,..,..,240.00,240.00,250.00,250.00,..,..,250.00,..,*/,*/,*/,*/
....Kalinga,Rabbit for Slaughter,..,..,..,..,..,..,180.00,180.00,180.00,180.00,150.00,173.33,150.00,150.00,155.83,..,*/,*/,*/,*/
....Kalinga,Sheep for Slaughter,..,..,..,..,..,..,300.00,300.00,213.33,271.11,230.00,280.00,280.00,280.00,267.50,280.00,*/,*/,*/,*/
....Kalinga,Goose for Dressing,..,..,..,..,..,..,233.33,..,230.00,231.67,190.00,250.00,180.00,200.00,205.00,200.00,*/,*/,*/,*/
....Kalinga,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,50.00,100.00,..,75.00,..,*/,*/,*/,*/
....Kalinga,Turkey for Dressing,..,..,..,..,..,..,..,..,250.00,250.00,200.00,350.00,300.00,300.00,287.50,300.00,*/,*/,*/,*/
....Kalinga,Quail Egg,..,..,..,..,..,..,..,..,..,..,1.50,1.50,1.50,1.50,1.50,..,*/,*/,*/,*/
....Mountain Province,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Rabbit for Slaughter,..,..,..,250.00,250.00,265.30,180.00,150.00,180.00,193.82,166.67,193.33,198.12,198.12,189.06,198.12,*/,*/,*/,*/
....Mountain Province,Sheep for Slaughter,..,..,..,130.00,130.00,..,350.00,..,250.00,300.00,250.00,300.00,..,..,275.00,..,*/,*/,*/,*/
....Mountain Province,Goose for Dressing,..,..,..,..,..,..,..,..,250.00,250.00,..,200.00,200.00,..,200.00,200.00,*/,*/,*/,*/
....Mountain Province,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Turkey for Dressing,250.00,250.00,..,..,250.00,200.00,250.00,..,300.00,250.00,..,250.00,183.33,..,216.67,..,*/,*/,*/,*/
....Mountain Province,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Horse for Slaughter,..,..,285.00,285.00,285.00,275.00,270.00,285.00,275.00,276.25,271.96,286.98,290.67,295.93,286.38,293.42,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Rabbit for Slaughter,180.00,..,150.00,197.50,175.83,226.67,223.33,223.75,212.50,221.56,169.37,252.96,152.03,173.19,186.89,200.97,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Sheep for Slaughter,..,..,258.75,220.00,239.38,234.72,245.00,230.08,244.44,238.56,251.61,223.29,223.80,237.65,234.09,227.19,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Goose for Dressing,..,..,170.00,..,170.00,180.00,170.00,230.00,200.00,195.00,190.86,194.50,233.17,199.25,204.45,203.18,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Quail for Dressing,..,..,91.67,80.00,85.83,97.50,80.00,..,80.00,85.83,64.83,90.46,103.66,103.22,90.54,99.42,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Turkey for Dressing,..,..,195.00,200.00,197.50,221.87,200.00,200.00,210.00,207.97,200.00,202.04,211.96,212.60,206.65,189.99,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Quail Egg,..,..,1.00,1.25,1.13,1.25,1.43,1.67,1.50,1.46,1.58,1.60,1.53,1.76,1.62,1.52,*/,*/,*/,*/
....Ilocos Norte,Horse for Slaughter,..,..,300.00,300.00,300.00,280.00,270.00,300.00,280.00,282.50,273.33,275.00,300.00,300.00,287.08,300.00,*/,*/,*/,*/
....Ilocos Norte,Rabbit for Slaughter,..,..,140.00,140.00,140.00,150.00,140.00,140.00,140.00,142.50,140.00,140.00,140.00,140.00,140.00,140.00,*/,*/,*/,*/
....Ilocos Norte,Sheep for Slaughter,..,..,235.00,220.00,227.50,232.50,230.00,220.31,240.00,230.70,231.11,220.00,220.00,225.00,224.03,225.93,*/,*/,*/,*/
....Ilocos Norte,Goose for Dressing,..,..,170.00,..,170.00,180.00,170.00,170.00,170.00,172.50,170.00,170.00,170.00,170.00,170.00,170.00,*/,*/,*/,*/
....Ilocos Norte,Quail for Dressing,..,..,75.00,80.00,77.50,75.00,80.00,..,..,77.50,75.00,75.00,75.00,75.00,75.00,75.00,*/,*/,*/,*/
....Ilocos Norte,Turkey for Dressing,..,..,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,220.00,*/,*/,*/,*/
....Ilocos Norte,Quail Egg,..,..,1.00,1.25,1.13,1.25,1.50,1.67,1.50,1.48,1.50,1.50,1.50,1.50,1.50,1.75,*/,*/,*/,*/
....Ilocos Sur,Horse for Slaughter,..,..,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,300.00,276.67,280.00,281.67,280.00,*/,*/,*/,*/
....Ilocos Sur,Rabbit for Slaughter,..,..,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,280.00,332.50,293.33,*/,*/,*/,*/
....Ilocos Sur,Sheep for Slaughter,..,..,240.00,240.00,240.00,240.00,250.00,250.00,250.00,247.50,250.00,250.00,250.00,253.33,250.83,250.00,*/,*/,*/,*/
....Ilocos Sur,Goose for Dressing,..,..,..,..,..,300.00,..,250.00,250.00,266.67,180.00,250.00,250.00,250.00,232.50,250.00,*/,*/,*/,*/
....Ilocos Sur,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Ilocos Sur,Turkey for Dressing,..,..,210.00,..,210.00,300.00,..,200.00,300.00,266.67,..,300.00,250.00,300.00,283.33,300.00,*/,*/,*/,*/
....Ilocos Sur,Quail Egg,..,..,..,..,..,..,..,..,..,..,2.50,2.50,1.92,1.75,2.17,1.75,*/,*/,*/,*/
....La Union,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....La Union,Rabbit for Slaughter,180.00,..,150.00,150.00,160.00,180.00,180.00,180.00,180.00,180.00,140.00,125.00,133.33,123.33,130.42,116.67,*/,*/,*/,*/
....La Union,Sheep for Slaughter,..,..,280.00,200.00,240.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,223.33,243.33,278.33,*/,*/,*/,*/
....La Union,Goose for Dressing,..,..,..,..,..,200.00,..,200.00,200.00,200.00,200.00,200.00,200.00,223.33,205.83,225.00,*/,*/,*/,*/
....La Union,Quail for Dressing,..,..,80.00,..,80.00,120.00,..,..,..,120.00,65.00,100.00,120.00,..,95.00,..,*/,*/,*/,*/
....La Union,Turkey for Dressing,..,..,150.00,..,150.00,200.00,..,200.00,140.00,180.00,..,193.33,200.00,173.33,188.89,168.33,*/,*/,*/,*/
....La Union,Quail Egg,..,..,..,..,..,..,..,..,..,..,1.80,1.50,1.50,1.50,1.58,1.67,*/,*/,*/,*/
....Pangasinan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pangasinan,Rabbit for Slaughter,..,..,..,150.00,150.00,..,225.00,225.00,180.00,210.00,146.67,205.00,200.00,203.33,188.75,140.00,*/,*/,*/,*/
....Pangasinan,Sheep for Slaughter,..,..,..,..,..,..,250.00,200.00,250.00,233.33,350.00,260.00,236.67,250.00,274.17,220.00,*/,*/,*/,*/
....Pangasinan,Goose for Dressing,..,..,..,..,..,..,..,300.00,300.00,300.00,200.00,200.00,300.00,200.00,225.00,190.00,*/,*/,*/,*/
....Pangasinan,Quail for Dressing,..,..,120.00,..,120.00,..,..,..,80.00,80.00,50.00,70.00,100.00,103.33,80.83,100.00,*/,*/,*/,*/
....Pangasinan,Turkey for Dressing,..,..,220.00,..,220.00,..,..,..,200.00,200.00,..,..,250.00,250.00,250.00,200.00,*/,*/,*/,*/
....Pangasinan,Quail Egg,..,..,..,..,..,..,1.35,..,1.50,1.43,1.50,1.50,1.50,1.85,1.59,1.50,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Horse for Slaughter,..,..,100.00,137.50,118.75,..,137.50,137.50,137.50,137.50,168.75,131.56,137.61,173.64,152.89,162.71,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Rabbit for Slaughter,200.00,..,200.00,250.00,216.67,..,250.00,266.67,250.00,255.56,272.33,250.00,277.71,261.26,265.33,286.98,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Sheep for Slaughter,200.00,240.00,..,300.00,246.67,281.15,332.22,296.41,275.86,296.41,299.57,283.82,292.58,287.35,290.83,290.96,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Goose for Dressing,249.09,280.00,..,..,264.54,350.00,..,..,200.00,275.00,268.98,247.10,391.99,381.73,322.45,350.40,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,90.98,169.94,125.86,126.70,128.37,120.00,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Turkey for Dressing,327.87,242.48,450.00,..,340.12,288.47,600.00,342.89,333.00,391.09,356.08,323.58,340.55,334.55,338.69,342.73,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Quail Egg,..,..,..,1.90,1.90,1.90,..,1.67,1.70,1.76,..,1.58,1.66,1.65,1.63,1.94,*/,*/,*/,*/
....Batanes,Horse for Slaughter,..,..,100.00,100.00,100.00,..,100.00,100.00,100.00,100.00,100.00,100.00,120.00,150.00,117.50,150.00,*/,*/,*/,*/
....Batanes,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Sheep for Slaughter,..,..,..,..,..,583.33,..,..,..,583.33,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Turkey for Dressing,..,150.00,..,..,150.00,..,..,200.00,200.00,200.00,200.00,250.00,200.00,200.00,212.50,..,*/,*/,*/,*/
....Batanes,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Horse for Slaughter,..,..,..,175.00,175.00,..,175.00,175.00,175.00,175.00,250.00,200.00,175.00,175.00,200.00,200.00,*/,*/,*/,*/
....Cagayan,Rabbit for Slaughter,..,..,..,250.00,250.00,..,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Cagayan,Sheep for Slaughter,200.00,..,..,300.00,250.00,280.00,320.00,274.23,268.75,285.74,269.00,269.23,275.00,266.67,269.97,268.00,*/,*/,*/,*/
....Cagayan,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,160.00,250.00,400.00,400.00,302.50,266.67,*/,*/,*/,*/
....Cagayan,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,120.00,142.86,120.00,120.00,125.71,120.00,*/,*/,*/,*/
....Cagayan,Turkey for Dressing,..,..,..,..,..,310.02,..,350.00,390.00,350.01,350.00,280.00,180.00,320.00,282.50,300.00,*/,*/,*/,*/
....Cagayan,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.80,1.50,1.50,1.60,1.50,*/,*/,*/,*/
....Isabela,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,250.00,..,..,..,250.00,..,*/,*/,*/,*/
....Isabela,Rabbit for Slaughter,200.00,..,200.00,..,200.00,..,250.00,..,200.00,225.00,300.00,250.00,..,250.00,266.67,..,*/,*/,*/,*/
....Isabela,Sheep for Slaughter,..,240.00,..,..,240.00,..,350.00,350.00,350.00,350.00,350.00,250.00,250.00,250.00,275.00,250.00,*/,*/,*/,*/
....Isabela,Goose for Dressing,248.83,280.00,..,..,264.41,350.00,..,..,450.00,400.00,500.00,250.00,400.00,400.00,387.50,400.00,*/,*/,*/,*/
....Isabela,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,90.00,..,..,..,90.00,..,*/,*/,*/,*/
....Isabela,Turkey for Dressing,327.87,..,450.00,..,388.93,250.00,..,..,350.00,300.00,450.00,350.00,350.00,350.00,375.00,350.00,*/,*/,*/,*/
....Isabela,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.90,1.70,1.54,1.71,2.00,*/,*/,*/,*/
....Nueva Vizcaya,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Rabbit for Slaughter,..,..,..,..,..,..,300.00,300.00,300.00,300.00,300.00,250.00,300.00,300.00,287.50,300.00,*/,*/,*/,*/
....Nueva Vizcaya,Sheep for Slaughter,..,..,..,..,..,..,350.00,300.00,300.00,316.67,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Nueva Vizcaya,Goose for Dressing,..,..,..,..,..,350.00,..,..,..,350.00,450.00,205.00,..,..,327.50,300.00,*/,*/,*/,*/
....Nueva Vizcaya,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,90.00,180.00,120.00,120.00,127.50,120.00,*/,*/,*/,*/
....Nueva Vizcaya,Turkey for Dressing,..,..,..,..,..,350.00,600.00,..,375.00,441.67,230.00,350.00,350.00,350.00,320.00,350.00,*/,*/,*/,*/
....Nueva Vizcaya,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,2.00,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Quirino,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Rabbit for Slaughter,..,..,..,..,..,..,250.00,250.00,..,250.00,250.00,250.00,250.00,..,250.00,..,*/,*/,*/,*/
....Quirino,Sheep for Slaughter,..,..,..,..,..,..,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Quirino,Goose for Dressing,260.00,..,..,..,260.00,..,..,..,200.00,200.00,300.00,250.00,283.33,283.33,279.17,300.00,*/,*/,*/,*/
....Quirino,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,90.00,..,128.33,128.33,115.56,..,*/,*/,*/,*/
....Quirino,Turkey for Dressing,..,250.00,..,..,250.00,200.00,..,..,350.00,275.00,350.00,350.00,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Quirino,Quail Egg,..,..,..,1.90,1.90,1.90,..,1.67,1.70,1.76,..,1.50,1.68,1.73,1.64,2.00,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Horse for Slaughter,..,..,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,150.00,150.00,175.00,..,158.33,150.00,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Rabbit for Slaughter,..,..,175.00,250.00,212.50,175.00,153.75,152.50,162.50,160.94,167.35,166.45,166.04,150.77,162.65,147.52,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Sheep for Slaughter,..,225.00,250.00,233.33,236.11,..,230.00,218.00,234.58,227.53,239.65,248.16,237.80,252.27,244.47,238.13,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Goose for Dressing,250.00,..,180.00,..,215.00,250.00,250.00,250.00,250.00,250.00,151.69,278.66,221.22,256.22,226.95,283.14,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Quail for Dressing,..,..,90.00,..,90.00,..,..,..,100.00,100.00,73.52,154.13,30.00,80.40,84.51,85.72,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Turkey for Dressing,341.37,224.42,500.00,300.00,341.45,250.00,250.00,250.00,250.00,250.00,200.00,232.62,276.76,299.38,252.19,292.31,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Quail Egg,1.70,..,..,1.90,1.80,1.50,1.50,1.65,1.85,1.62,1.62,1.26,1.30,1.24,1.36,1.63,*/,*/,*/,*/
....Aurora,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,150.00,..,..,..,150.00,..,*/,*/,*/,*/
....Aurora,Rabbit for Slaughter,..,..,..,..,..,..,150.00,..,150.00,150.00,..,..,..,200.00,200.00,..,*/,*/,*/,*/
....Aurora,Sheep for Slaughter,..,..,..,..,..,..,..,200.00,200.00,200.00,..,..,200.00,200.00,200.00,..,*/,*/,*/,*/
....Aurora,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,200.00,220.00,220.00,213.33,..,*/,*/,*/,*/
....Aurora,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Turkey for Dressing,300.00,400.00,..,300.00,333.33,..,..,250.00,..,250.00,..,..,..,400.00,400.00,..,*/,*/,*/,*/
....Aurora,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Horse for Slaughter,..,..,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,150.00,150.00,175.00,..,158.33,150.00,*/,*/,*/,*/
....Bataan,Rabbit for Slaughter,..,..,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,*/,*/,*/,*/
....Bataan,Sheep for Slaughter,..,..,250.00,250.00,250.00,..,240.00,240.00,240.00,240.00,210.00,240.00,240.00,240.00,232.50,240.00,*/,*/,*/,*/
....Bataan,Goose for Dressing,..,..,..,..,..,250.00,250.00,250.00,250.00,250.00,170.00,250.00,250.00,250.00,230.00,250.00,*/,*/,*/,*/
....Bataan,Quail for Dressing,..,..,90.00,..,90.00,..,..,..,100.00,100.00,..,..,100.00,100.00,100.00,100.00,*/,*/,*/,*/
....Bataan,Turkey for Dressing,..,..,500.00,..,500.00,250.00,250.00,250.00,250.00,250.00,200.00,250.00,250.00,250.00,237.50,250.00,*/,*/,*/,*/
....Bataan,Quail Egg,..,..,..,..,..,..,..,1.50,1.50,1.50,1.50,1.60,1.70,1.70,1.63,1.50,*/,*/,*/,*/
....Bulacan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bulacan,Rabbit for Slaughter,..,..,175.00,100.00,137.50,..,140.00,145.00,175.00,153.33,180.00,150.00,140.00,140.00,152.50,180.00,*/,*/,*/,*/
....Bulacan,Sheep for Slaughter,..,..,..,200.00,200.00,..,250.00,200.00,220.00,223.33,220.00,220.00,220.00,220.00,220.00,220.00,*/,*/,*/,*/
....Bulacan,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,400.00,300.00,300.00,333.33,300.00,*/,*/,*/,*/
....Bulacan,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,160.00,30.00,80.00,90.00,80.00,*/,*/,*/,*/
....Bulacan,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,300.00,..,450.00,375.00,450.00,*/,*/,*/,*/
....Bulacan,Quail Egg,..,..,..,..,..,1.50,..,..,..,1.50,..,1.37,1.27,1.15,1.26,1.80,*/,*/,*/,*/
....Nueva Ecija,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Ecija,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,180.00,..,180.00,..,*/,*/,*/,*/
....Nueva Ecija,Sheep for Slaughter,..,225.00,..,..,225.00,..,..,..,..,..,250.00,..,250.00,261.21,253.74,267.00,*/,*/,*/,*/
....Nueva Ecija,Goose for Dressing,250.00,..,180.00,..,215.00,..,..,..,..,..,..,..,194.53,198.00,196.26,180.00,*/,*/,*/,*/
....Nueva Ecija,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Ecija,Turkey for Dressing,379.42,..,..,..,379.42,..,..,..,..,..,200.00,..,350.00,..,275.00,250.00,*/,*/,*/,*/
