Geolocation,Type,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
....Apayao,Rabbit for Slaughter,300.00,170.00,150.00,150.00,192.50,150.00,*/,*/,*/,*/
....Apayao,Sheep for Slaughter,266.67,316.67,300.00,300.00,295.83,300.00,*/,*/,*/,*/
....Apayao,Goose for Dressing,..,..,180.00,300.00,240.00,300.00,*/,*/,*/,*/
....Apayao,Quail for Dressing,..,..,..,..,..,120.00,*/,*/,*/,*/
....Apayao,Turkey for Dressing,..,..,416.67,400.00,408.33,400.00,*/,*/,*/,*/
....Apayao,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Rabbit for Slaughter,150.00,150.00,150.00,130.00,145.00,100.00,*/,*/,*/,*/
....Benguet,Sheep for Slaughter,..,300.00,..,..,300.00,..,*/,*/,*/,*/
....Benguet,Goose for Dressing,180.00,..,150.00,150.00,160.00,150.00,*/,*/,*/,*/
....Benguet,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Benguet,Turkey for Dressing,250.00,..,..,200.00,225.00,200.00,*/,*/,*/,*/
....Benguet,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Rabbit for Slaughter,150.00,150.00,150.00,150.00,150.00,150.00,*/,*/,*/,*/
....Ifugao,Sheep for Slaughter,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Ifugao,Goose for Dressing,180.00,200.00,..,20.00,133.33,180.00,*/,*/,*/,*/
....Ifugao,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Ifugao,Turkey for Dressing,180.00,..,..,250.00,215.00,..,*/,*/,*/,*/
....Ifugao,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Kalinga,Horse for Slaughter,250.00,250.00,..,..,250.00,..,*/,*/,*/,*/
....Kalinga,Rabbit for Slaughter,150.00,173.33,150.00,150.00,155.83,..,*/,*/,*/,*/
....Kalinga,Sheep for Slaughter,230.00,280.00,280.00,280.00,267.50,280.00,*/,*/,*/,*/
....Kalinga,Goose for Dressing,190.00,..,180.00,200.00,190.00,200.00,*/,*/,*/,*/
....Kalinga,Quail for Dressing,..,..,100.00,..,100.00,..,*/,*/,*/,*/
....Kalinga,Turkey for Dressing,200.00,..,300.00,300.00,266.67,300.00,*/,*/,*/,*/
....Kalinga,Quail Egg,1.50,..,1.50,1.50,1.50,..,*/,*/,*/,*/
....Mountain Province,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Rabbit for Slaughter,166.67,193.33,198.12,198.12,189.06,198.12,*/,*/,*/,*/
....Mountain Province,Sheep for Slaughter,250.00,300.00,..,..,275.00,..,*/,*/,*/,*/
....Mountain Province,Goose for Dressing,..,..,200.00,..,200.00,200.00,*/,*/,*/,*/
....Mountain Province,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Mountain Province,Turkey for Dressing,..,..,183.33,..,183.33,..,*/,*/,*/,*/
....Mountain Province,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Horse for Slaughter,271.96,286.98,290.67,295.93,286.38,293.42,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Rabbit for Slaughter,169.37,252.96,152.70,173.19,187.05,200.97,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Sheep for Slaughter,249.72,223.46,223.84,237.66,233.67,227.22,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Goose for Dressing,180.43,194.49,233.17,199.25,201.84,203.18,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Quail for Dressing,57.62,76.46,100.42,103.22,84.43,99.42,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Turkey for Dressing,205.00,202.05,212.37,212.60,208.00,189.99,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Quail Egg,1.54,1.61,1.53,1.74,1.60,1.54,*/,*/,*/,*/
....Ilocos Norte,Horse for Slaughter,273.33,275.00,300.00,300.00,287.08,300.00,*/,*/,*/,*/
....Ilocos Norte,Rabbit for Slaughter,140.00,140.00,140.00,140.00,140.00,140.00,*/,*/,*/,*/
....Ilocos Norte,Sheep for Slaughter,231.17,220.09,220.13,225.08,224.11,225.97,*/,*/,*/,*/
....Ilocos Norte,Goose for Dressing,170.00,170.00,170.00,170.00,170.00,170.00,*/,*/,*/,*/
....Ilocos Norte,Quail for Dressing,75.00,75.00,75.00,75.00,75.00,75.00,*/,*/,*/,*/
....Ilocos Norte,Turkey for Dressing,205.00,200.07,200.00,200.00,201.27,220.00,*/,*/,*/,*/
....Ilocos Norte,Quail Egg,1.54,1.50,1.50,1.50,1.51,1.96,*/,*/,*/,*/
....Ilocos Sur,Horse for Slaughter,270.00,300.00,276.67,280.00,281.67,280.00,*/,*/,*/,*/
....Ilocos Sur,Rabbit for Slaughter,350.00,350.00,345.45,280.00,331.36,293.33,*/,*/,*/,*/
....Ilocos Sur,Sheep for Slaughter,247.67,253.03,250.00,253.33,251.01,250.00,*/,*/,*/,*/
....Ilocos Sur,Goose for Dressing,180.00,250.00,250.00,250.00,232.50,250.00,*/,*/,*/,*/
....Ilocos Sur,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Ilocos Sur,Turkey for Dressing,..,300.00,252.42,300.00,284.14,300.00,*/,*/,*/,*/
....Ilocos Sur,Quail Egg,2.50,2.50,1.92,1.75,2.17,1.75,*/,*/,*/,*/
....La Union,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....La Union,Rabbit for Slaughter,140.00,125.00,133.33,123.33,130.42,116.67,*/,*/,*/,*/
....La Union,Sheep for Slaughter,250.00,250.00,250.00,223.33,243.33,278.33,*/,*/,*/,*/
....La Union,Goose for Dressing,200.00,..,200.00,223.33,207.78,225.00,*/,*/,*/,*/
....La Union,Quail for Dressing,65.00,79.29,112.73,..,85.67,..,*/,*/,*/,*/
....La Union,Turkey for Dressing,..,193.34,200.00,173.33,188.89,168.33,*/,*/,*/,*/
....La Union,Quail Egg,1.80,1.59,1.51,1.53,1.61,1.60,*/,*/,*/,*/
....Pangasinan,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Pangasinan,Rabbit for Slaughter,146.67,205.00,200.00,203.33,188.75,140.00,*/,*/,*/,*/
....Pangasinan,Sheep for Slaughter,319.75,260.00,236.67,249.98,266.60,220.00,*/,*/,*/,*/
....Pangasinan,Goose for Dressing,200.00,..,300.00,200.00,233.33,190.00,*/,*/,*/,*/
....Pangasinan,Quail for Dressing,50.00,70.00,100.00,103.33,80.83,100.00,*/,*/,*/,*/
....Pangasinan,Turkey for Dressing,..,..,250.00,250.00,250.00,200.00,*/,*/,*/,*/
....Pangasinan,Quail Egg,1.50,1.50,1.50,1.85,1.59,1.50,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Horse for Slaughter,168.75,131.56,137.61,173.64,152.89,162.71,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Rabbit for Slaughter,272.33,250.00,277.71,261.26,265.33,286.98,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Sheep for Slaughter,298.61,284.03,292.52,287.30,290.61,290.84,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Goose for Dressing,268.98,..,391.99,381.73,347.57,350.40,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Quail for Dressing,90.98,..,127.14,126.70,114.94,120.00,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Turkey for Dressing,278.04,..,340.55,334.55,317.71,342.73,*/,*/,*/,*/
..REGION II (CAGAYAN VALLEY),Quail Egg,1.70,1.84,1.69,1.57,1.70,1.98,*/,*/,*/,*/
....Batanes,Horse for Slaughter,100.00,100.00,120.00,150.00,117.50,150.00,*/,*/,*/,*/
....Batanes,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Batanes,Turkey for Dressing,200.00,250.00,200.00,200.00,212.50,..,*/,*/,*/,*/
....Batanes,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Cagayan,Horse for Slaughter,250.00,200.00,175.00,175.00,200.00,200.00,*/,*/,*/,*/
....Cagayan,Rabbit for Slaughter,250.00,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Cagayan,Sheep for Slaughter,281.15,277.92,285.31,268.04,278.11,278.92,*/,*/,*/,*/
....Cagayan,Goose for Dressing,160.00,..,400.00,400.00,320.00,266.67,*/,*/,*/,*/
....Cagayan,Quail for Dressing,120.00,..,120.00,120.00,120.00,120.00,*/,*/,*/,*/
....Cagayan,Turkey for Dressing,350.00,..,180.00,320.00,283.33,300.00,*/,*/,*/,*/
....Cagayan,Quail Egg,..,..,1.50,1.50,1.50,1.50,*/,*/,*/,*/
....Isabela,Horse for Slaughter,250.00,..,..,..,250.00,..,*/,*/,*/,*/
....Isabela,Rabbit for Slaughter,300.00,250.00,..,250.00,266.67,..,*/,*/,*/,*/
....Isabela,Sheep for Slaughter,350.00,250.00,250.00,250.00,275.00,250.00,*/,*/,*/,*/
....Isabela,Goose for Dressing,500.00,..,400.00,400.00,433.33,400.00,*/,*/,*/,*/
....Isabela,Quail for Dressing,90.00,..,128.15,..,109.08,..,*/,*/,*/,*/
....Isabela,Turkey for Dressing,450.00,..,350.00,350.00,383.33,350.00,*/,*/,*/,*/
....Isabela,Quail Egg,1.70,1.90,1.70,1.54,1.71,2.00,*/,*/,*/,*/
....Nueva Vizcaya,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Vizcaya,Rabbit for Slaughter,300.00,250.00,300.00,300.00,287.50,300.00,*/,*/,*/,*/
....Nueva Vizcaya,Sheep for Slaughter,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Nueva Vizcaya,Goose for Dressing,450.00,205.00,..,..,327.50,300.00,*/,*/,*/,*/
....Nueva Vizcaya,Quail for Dressing,90.00,180.00,120.00,120.00,127.50,120.00,*/,*/,*/,*/
....Nueva Vizcaya,Turkey for Dressing,230.00,350.00,350.00,350.00,320.00,350.00,*/,*/,*/,*/
....Nueva Vizcaya,Quail Egg,..,2.00,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Quirino,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Quirino,Rabbit for Slaughter,250.00,250.00,250.00,..,250.00,..,*/,*/,*/,*/
....Quirino,Sheep for Slaughter,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Quirino,Goose for Dressing,300.00,250.00,283.33,283.33,279.17,300.00,*/,*/,*/,*/
....Quirino,Quail for Dressing,90.00,..,128.33,128.33,115.56,..,*/,*/,*/,*/
....Quirino,Turkey for Dressing,350.00,350.00,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Quirino,Quail Egg,1.73,..,1.68,1.73,1.72,2.00,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Horse for Slaughter,150.00,150.00,175.00,..,158.33,150.00,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Rabbit for Slaughter,170.11,168.34,163.22,181.13,170.70,154.17,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Sheep for Slaughter,237.59,243.53,235.92,250.36,241.85,241.17,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Goose for Dressing,151.69,..,221.22,256.22,209.71,283.14,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Quail for Dressing,126.90,147.09,33.50,79.48,96.74,73.04,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Turkey for Dressing,216.67,230.81,276.76,299.51,255.94,292.48,*/,*/,*/,*/
..REGION III (CENTRAL LUZON),Quail Egg,1.66,1.30,1.42,1.40,1.45,1.73,*/,*/,*/,*/
....Aurora,Horse for Slaughter,150.00,..,..,..,150.00,..,*/,*/,*/,*/
....Aurora,Rabbit for Slaughter,..,..,..,200.00,200.00,..,*/,*/,*/,*/
....Aurora,Sheep for Slaughter,..,..,200.00,200.00,200.00,..,*/,*/,*/,*/
....Aurora,Goose for Dressing,..,..,220.00,220.00,220.00,..,*/,*/,*/,*/
....Aurora,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Aurora,Turkey for Dressing,..,..,..,400.00,400.00,..,*/,*/,*/,*/
....Aurora,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Bataan,Horse for Slaughter,150.00,150.00,175.00,..,158.33,150.00,*/,*/,*/,*/
....Bataan,Rabbit for Slaughter,175.00,175.00,175.00,175.00,175.00,175.00,*/,*/,*/,*/
....Bataan,Sheep for Slaughter,210.00,240.00,240.00,240.00,232.50,240.00,*/,*/,*/,*/
....Bataan,Goose for Dressing,170.00,..,250.00,250.00,223.33,250.00,*/,*/,*/,*/
....Bataan,Quail for Dressing,100.00,80.00,100.00,100.00,95.00,100.00,*/,*/,*/,*/
....Bataan,Turkey for Dressing,200.00,..,250.00,250.00,233.33,250.00,*/,*/,*/,*/
....Bataan,Quail Egg,1.55,1.60,1.70,1.70,1.64,1.51,*/,*/,*/,*/
....Bulacan,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Bulacan,Rabbit for Slaughter,181.59,156.00,143.52,185.16,166.57,182.66,*/,*/,*/,*/
....Bulacan,Sheep for Slaughter,220.00,220.00,220.00,220.00,220.00,220.00,*/,*/,*/,*/
....Bulacan,Goose for Dressing,..,..,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Bulacan,Quail for Dressing,200.00,160.00,30.00,80.00,117.50,78.66,*/,*/,*/,*/
....Bulacan,Turkey for Dressing,..,..,..,450.00,450.00,450.00,*/,*/,*/,*/
....Bulacan,Quail Egg,1.70,1.34,1.46,1.41,1.48,1.83,*/,*/,*/,*/
....Nueva Ecija,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Nueva Ecija,Rabbit for Slaughter,..,..,180.00,..,180.00,..,*/,*/,*/,*/
....Nueva Ecija,Sheep for Slaughter,243.57,..,250.00,261.21,251.59,267.00,*/,*/,*/,*/
....Nueva Ecija,Goose for Dressing,..,..,194.53,198.00,196.26,180.00,*/,*/,*/,*/
....Nueva Ecija,Quail for Dressing,50.00,41.67,58.57,60.00,52.56,60.00,*/,*/,*/,*/
....Nueva Ecija,Turkey for Dressing,275.00,..,350.00,350.00,325.00,250.10,*/,*/,*/,*/
....Nueva Ecija,Quail Egg,1.68,1.76,1.91,1.78,1.78,1.60,*/,*/,*/,*/
....Pampanga,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Sheep for Slaughter,219.71,220.00,204.77,216.40,215.22,215.00,*/,*/,*/,*/
....Pampanga,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Quail for Dressing,80.00,..,..,..,80.00,..,*/,*/,*/,*/
....Pampanga,Turkey for Dressing,..,460.00,..,460.00,460.00,475.00,*/,*/,*/,*/
....Pampanga,Quail Egg,1.67,1.18,1.28,1.26,1.35,1.58,*/,*/,*/,*/
....Tarlac,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Tarlac,Rabbit for Slaughter,214.94,157.23,186.24,138.95,174.34,138.44,*/,*/,*/,*/
....Tarlac,Sheep for Slaughter,250.00,250.00,258.33,258.33,254.17,260.00,*/,*/,*/,*/
....Tarlac,Goose for Dressing,190.00,190.00,190.00,193.33,190.83,190.00,*/,*/,*/,*/
....Tarlac,Quail for Dressing,80.00,30.00,33.33,113.97,64.33,80.00,*/,*/,*/,*/
....Tarlac,Turkey for Dressing,205.00,184.78,190.00,277.02,214.20,263.72,*/,*/,*/,*/
....Tarlac,Quail Egg,1.58,0.95,1.35,1.50,1.35,1.50,*/,*/,*/,*/
....Zambales,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Zambales,Rabbit for Slaughter,150.00,175.00,..,..,162.50,135.00,*/,*/,*/,*/
....Zambales,Sheep for Slaughter,317.86,..,..,250.00,283.93,300.00,*/,*/,*/,*/
....Zambales,Goose for Dressing,150.00,300.00,283.33,300.00,258.33,293.33,*/,*/,*/,*/
....Zambales,Quail for Dressing,73.33,..,..,..,73.33,80.00,*/,*/,*/,*/
....Zambales,Turkey for Dressing,..,..,325.00,333.33,329.17,350.00,*/,*/,*/,*/
....Zambales,Quail Egg,1.10,1.25,..,..,1.18,1.33,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Horse for Slaughter,200.00,231.99,243.91,240.03,228.98,240.03,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Rabbit for Slaughter,233.39,219.78,264.52,299.43,254.28,185.60,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Sheep for Slaughter,..,280.00,240.00,..,260.00,246.15,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Goose for Dressing,220.00,..,200.25,206.76,209.00,200.00,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Quail for Dressing,..,25.93,210.00,84.88,106.94,61.84,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Turkey for Dressing,220.00,..,..,209.28,214.64,207.71,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Quail Egg,1.53,1.48,1.51,1.43,1.49,1.59,*/,*/,*/,*/
....Batangas,Horse for Slaughter,200.00,200.00,200.00,206.67,201.67,206.67,*/,*/,*/,*/
....Batangas,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Batangas,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Batangas,Goose for Dressing,..,..,210.00,220.00,215.00,..,*/,*/,*/,*/
....Batangas,Quail for Dressing,..,35.00,210.00,166.98,137.33,80.00,*/,*/,*/,*/
....Batangas,Turkey for Dressing,..,..,..,260.00,260.00,260.00,*/,*/,*/,*/
....Batangas,Quail Egg,1.42,1.49,1.50,1.40,1.45,1.50,*/,*/,*/,*/
....Cavite,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Quail for Dressing,..,..,..,50.00,50.00,55.00,*/,*/,*/,*/
....Cavite,Turkey for Dressing,..,..,..,..,..,100.00,*/,*/,*/,*/
....Cavite,Quail Egg,1.31,1.35,..,1.35,1.34,1.30,*/,*/,*/,*/
....Laguna,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Laguna,Rabbit for Slaughter,..,200.00,330.00,340.00,290.00,..,*/,*/,*/,*/
....Laguna,Sheep for Slaughter,..,280.00,..,..,280.00,246.15,*/,*/,*/,*/
....Laguna,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Laguna,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Laguna,Turkey for Dressing,..,160.00,..,..,160.00,..,*/,*/,*/,*/
....Laguna,Quail Egg,..,1.20,1.40,1.50,1.37,1.50,*/,*/,*/,*/
....Quezon,Horse for Slaughter,..,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Quezon,Rabbit for Slaughter,250.00,220.00,170.00,170.00,202.50,200.00,*/,*/,*/,*/
....Quezon,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Quezon,Goose for Dressing,220.00,220.00,200.00,200.00,210.00,200.00,*/,*/,*/,*/
....Quezon,Quail for Dressing,..,25.00,..,60.00,42.50,60.00,*/,*/,*/,*/
....Quezon,Turkey for Dressing,220.00,240.00,..,200.00,220.00,200.00,*/,*/,*/,*/
....Quezon,Quail Egg,1.70,1.70,1.70,1.70,1.70,1.62,*/,*/,*/,*/
....Rizal,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Rizal,Rabbit for Slaughter,200.00,250.00,324.62,350.00,281.16,183.06,*/,*/,*/,*/
....Rizal,Sheep for Slaughter,..,..,240.00,..,240.00,..,*/,*/,*/,*/
....Rizal,Goose for Dressing,..,..,200.00,220.00,210.00,..,*/,*/,*/,*/
....Rizal,Quail for Dressing,..,..,..,96.00,96.00,76.67,*/,*/,*/,*/
....Rizal,Turkey for Dressing,..,..,..,240.00,240.00,240.00,*/,*/,*/,*/
....Rizal,Quail Egg,1.50,..,1.50,1.50,1.50,1.55,*/,*/,*/,*/
..MIMAROPA REGION,Horse for Slaughter,244.36,280.00,250.00,253.33,256.92,280.00,*/,*/,*/,*/
..MIMAROPA REGION,Rabbit for Slaughter,325.00,265.26,280.87,274.82,286.49,325.00,*/,*/,*/,*/
..MIMAROPA REGION,Sheep for Slaughter,189.63,278.21,230.56,232.16,232.64,213.79,*/,*/,*/,*/
..MIMAROPA REGION,Goose for Dressing,200.00,228.04,236.34,231.38,223.94,243.59,*/,*/,*/,*/
..MIMAROPA REGION,Quail for Dressing,100.00,149.45,106.67,108.33,116.11,109.98,*/,*/,*/,*/
..MIMAROPA REGION,Turkey for Dressing,246.58,250.64,256.48,261.02,253.68,323.31,*/,*/,*/,*/
..MIMAROPA REGION,Quail Egg,1.95,1.49,1.99,1.88,1.83,1.99,*/,*/,*/,*/
....Marinduque,Horse for Slaughter,280.00,280.00,250.00,253.33,265.83,280.00,*/,*/,*/,*/
....Marinduque,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Marinduque,Sheep for Slaughter,..,..,..,..,..,200.00,*/,*/,*/,*/
....Marinduque,Goose for Dressing,200.00,..,200.00,190.00,196.67,..,*/,*/,*/,*/
....Marinduque,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Marinduque,Turkey for Dressing,240.00,..,200.00,200.00,213.33,240.00,*/,*/,*/,*/
....Marinduque,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Sheep for Slaughter,..,..,..,..,..,220.00,*/,*/,*/,*/
....Occidental Mindoro,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Turkey for Dressing,..,..,..,..,..,300.00,*/,*/,*/,*/
....Occidental Mindoro,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Oriental Mindoro,Horse for Slaughter,229.67,..,..,..,229.67,..,*/,*/,*/,*/
....Oriental Mindoro,Rabbit for Slaughter,325.00,356.67,356.67,360.00,349.58,325.00,*/,*/,*/,*/
....Oriental Mindoro,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Oriental Mindoro,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Oriental Mindoro,Quail for Dressing,110.00,150.00,..,..,130.00,110.00,*/,*/,*/,*/
....Oriental Mindoro,Turkey for Dressing,240.00,250.00,300.00,300.00,272.50,276.67,*/,*/,*/,*/
....Oriental Mindoro,Quail Egg,1.95,1.50,1.99,1.90,1.83,2.00,*/,*/,*/,*/
....Palawan,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Palawan,Rabbit for Slaughter,..,293.33,306.67,270.00,290.00,..,*/,*/,*/,*/
....Palawan,Sheep for Slaughter,187.27,278.21,230.56,232.16,232.05,214.44,*/,*/,*/,*/
....Palawan,Goose for Dressing,200.00,230.22,236.67,236.67,225.89,243.59,*/,*/,*/,*/
....Palawan,Quail for Dressing,100.00,..,106.67,108.33,105.00,109.33,*/,*/,*/,*/
....Palawan,Turkey for Dressing,238.34,254.39,246.94,250.00,247.42,250.00,*/,*/,*/,*/
....Palawan,Quail Egg,..,..,1.25,1.25,1.25,1.28,*/,*/,*/,*/
....Romblon,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Romblon,Rabbit for Slaughter,..,160.00,180.00,185.00,175.00,..,*/,*/,*/,*/
....Romblon,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Romblon,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
