Geolocation,Type,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,Duck egg,8.47,8.36,8.26,8.06,8.35,8.81,8.96,8.94,8.89,9.35,9.47,9.63,8.79,9.29,9.14,8.75,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Carabao for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Cattle for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Goat for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Hog for Slaughter,206.91,230.94,228.90,250.00,255.00,260.00,..,..,..,200.00,200.00,200.00,225.75,250.00,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Broiler Chicken,..,..,..,..,..,..,..,150.00,216.19,150.00,150.00,150.00,163.24,150.00,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Gamefowl for Other Purposes,..,..,..,..,..,..,..,..,1185.67,..,..,..,1185.67,2561.90,..,3153.86,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Gamefowl for Dressing,150.00,150.00,..,150.00,150.00,150.00,150.00,156.98,156.98,150.00,150.00,..,151.40,200.00,191.67,150.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Layer Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Native/Improved Chicken,..,..,..,..,150.00,150.00,200.00,..,150.00,..,..,..,162.50,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Duck,..,..,..,120.00,120.00,120.00,..,..,200.00,150.00,150.00,150.00,144.29,..,..,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),"Chicken egg, Layer",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),"Chicken egg, Native",..,..,..,7.00,7.00,7.00,..,..,..,..,..,..,7.00,..,5.00,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..National Capital Region (NCR),Duck egg,8.33,8.33,8.33,9.00,9.00,9.00,9.25,10.00,9.75,6.00,6.00,6.00,8.25,8.33,8.02,8.33,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Carabao for Slaughter,209.77,212.92,212.92,234.59,230.23,230.23,237.19,244.40,244.77,240.41,240.41,240.07,231.49,229.25,229.56,229.19,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Cattle for Slaughter,241.81,241.81,242.52,262.00,271.81,258.80,263.97,264.66,265.72,259.70,259.71,259.84,257.70,261.58,261.58,260.47,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Goat for Slaughter,210.24,208.52,211.76,237.63,236.26,234.68,248.36,258.03,256.94,235.88,235.51,246.22,235.00,284.58,266.88,266.88,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Hog for Slaughter,224.11,218.31,225.74,228.42,236.03,243.78,208.91,217.38,215.90,202.36,228.45,222.81,222.68,205.59,201.42,208.88,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Broiler Chicken,..,..,..,..,..,..,..,90.81,..,99.12,180.00,99.31,117.31,180.00,127.14,180.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Gamefowl for Other Purposes,..,..,..,1380.95,..,..,1000.00,1000.00,1000.00,4392.03,4392.03,4392.03,2508.15,3000.00,7051.85,3163.44,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Gamefowl for Dressing,180.60,180.60,180.60,177.94,177.94,177.94,230.00,230.00,230.00,230.00,230.00,230.00,204.64,221.23,221.23,221.23,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Layer Chicken,129.53,125.35,131.78,130.20,130.78,130.78,129.59,130.62,131.40,105.18,105.62,105.82,123.89,153.20,150.92,150.89,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Native/Improved Chicken,241.96,239.71,245.75,241.64,247.38,244.63,254.67,257.63,259.24,242.32,275.66,254.18,250.40,248.03,239.06,245.53,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Duck,212.73,213.56,219.01,211.10,218.01,225.88,239.51,224.42,223.36,233.96,216.07,216.82,221.20,239.49,245.53,233.14,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),"Chicken egg, Layer",7.92,7.92,7.95,8.02,8.00,8.03,8.70,8.69,8.99,7.45,7.46,7.46,8.05,7.58,7.61,7.63,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),"Chicken egg, Native",10.00,10.00,10.00,9.44,9.44,9.44,8.47,9.04,8.85,8.41,8.54,8.59,9.19,7.94,7.92,7.87,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Duck egg,8.24,8.41,8.52,9.24,9.30,9.28,8.95,8.95,8.95,9.09,9.09,9.09,8.93,8.20,8.20,8.20,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Carabao for Slaughter,220.00,220.00,220.00,220.00,220.00,220.00,240.00,240.00,240.00,240.00,240.00,240.00,230.00,240.00,240.00,240.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Cattle for Slaughter,220.00,220.00,220.00,240.00,239.93,240.00,250.00,250.00,250.00,250.00,250.00,250.00,239.99,250.00,250.00,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Goat for Slaughter,170.00,170.00,170.00,200.00,200.00,200.00,..,..,..,200.00,200.00,220.00,192.22,288.89,250.00,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Hog for Slaughter,219.62,220.00,220.00,240.00,240.00,240.00,180.00,170.15,170.15,180.02,220.00,215.71,209.64,229.69,229.82,230.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Broiler Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Gamefowl for Other Purposes,..,..,..,3000.00,..,..,..,..,..,..,..,..,3000.00,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Gamefowl for Dressing,..,..,..,150.00,150.00,150.00,230.00,230.00,230.00,230.00,230.00,230.00,203.33,230.00,230.00,230.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Layer Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Native/Improved Chicken,200.00,200.00,200.00,207.98,209.85,209.65,242.94,237.61,237.65,194.15,209.40,207.48,213.06,225.55,226.30,226.57,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Duck,200.00,207.72,230.00,230.00,227.64,205.00,205.00,222.28,211.21,280.00,300.00,286.90,233.81,250.00,261.99,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,"Chicken egg, Layer",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,"Chicken egg, Native",..,..,..,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,6.26,6.40,6.25,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Abra,Duck egg,9.00,9.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.75,10.00,10.00,10.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Carabao for Slaughter,150.00,150.00,150.00,190.00,190.00,190.00,190.00,190.00,200.00,190.00,190.00,190.00,180.83,190.00,190.00,190.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Cattle for Slaughter,170.00,170.00,170.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,192.50,200.00,200.00,200.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Goat for Slaughter,250.00,200.00,244.44,250.00,250.00,250.00,..,..,..,250.00,250.00,250.00,243.83,300.00,300.00,300.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Hog for Slaughter,196.40,208.81,208.81,231.03,201.71,230.00,234.60,237.86,202.38,213.68,223.99,218.33,217.30,229.56,218.99,238.32,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Broiler Chicken,..,..,..,..,..,..,..,150.00,..,180.00,180.00,180.37,172.59,180.00,180.00,180.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Gamefowl for Other Purposes,..,..,..,..,..,..,..,..,..,2500.00,2500.00,2500.00,2500.00,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Gamefowl for Dressing,..,..,..,180.00,180.00,180.00,..,..,..,..,..,..,180.00,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Layer Chicken,..,..,..,150.00,150.00,150.00,180.00,180.00,180.00,180.00,180.00,180.00,170.00,180.00,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Native/Improved Chicken,176.36,174.82,173.90,211.97,228.98,218.89,194.24,192.76,197.42,196.36,195.68,199.95,196.78,207.81,209.34,200.46,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Duck,210.29,213.22,216.12,235.98,236.54,225.23,223.21,198.30,200.27,194.21,193.93,199.56,212.24,200.00,229.99,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,"Chicken egg, Layer",10.14,10.14,10.14,9.25,9.21,9.21,8.43,8.54,8.54,8.02,8.02,8.02,8.97,8.00,8.00,8.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,"Chicken egg, Native",10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,8.00,8.00,9.50,9.16,8.66,8.66,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Apayao,Duck egg,9.00,9.00,9.00,9.50,9.50,9.50,10.00,10.00,10.00,9.00,9.00,9.00,9.38,9.00,9.00,9.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Carabao for Slaughter,265.00,265.00,265.00,265.00,265.00,265.00,250.00,250.00,250.00,265.00,265.00,265.00,261.25,265.00,265.00,265.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Cattle for Slaughter,280.00,280.00,277.78,300.00,350.19,300.00,288.75,287.08,289.00,285.00,285.03,285.00,292.32,285.00,285.00,285.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Goat for Slaughter,280.00,280.00,280.00,..,..,..,..,..,..,300.00,300.00,300.00,290.00,300.00,300.00,300.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Hog for Slaughter,239.61,239.61,239.61,240.00,238.85,239.91,246.82,217.05,221.90,246.16,250.00,219.31,236.57,160.10,163.62,174.74,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Broiler Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Gamefowl for Other Purposes,..,..,..,1000.00,..,..,1000.00,1000.00,1000.00,5000.00,5000.00,5000.00,2714.29,..,7051.85,3163.44,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Gamefowl for Dressing,180.00,180.00,180.00,..,..,..,..,..,..,..,..,..,180.00,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Layer Chicken,88.60,81.50,88.60,106.54,106.54,106.54,105.31,105.31,105.63,102.03,102.51,102.89,100.17,149.51,149.53,149.49,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Native/Improved Chicken,280.05,251.22,316.91,360.63,352.02,356.96,294.15,294.15,294.15,242.18,276.77,305.97,302.10,297.11,284.32,306.67,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Duck,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,..,..,300.00,255.00,251.71,262.50,262.50,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,"Chicken egg, Layer",7.90,7.90,7.97,8.20,8.16,8.21,8.60,8.56,8.56,8.56,8.59,8.59,8.32,8.56,8.56,8.56,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,"Chicken egg, Native",..,..,..,10.00,10.00,10.00,7.67,8.00,7.33,8.00,8.00,8.00,8.56,5.94,5.98,5.83,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Benguet,Duck egg,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Carabao for Slaughter,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Cattle for Slaughter,279.86,279.86,279.86,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,294.96,300.00,300.00,300.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Goat for Slaughter,220.00,220.00,220.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,235.00,240.00,240.00,240.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Hog for Slaughter,219.79,220.00,220.00,240.00,240.00,239.99,240.00,240.00,240.00,240.00,240.00,240.00,234.98,240.00,240.00,240.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Broiler Chicken,..,..,..,..,..,..,..,90.00,..,90.00,..,90.00,90.00,..,125.00,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Gamefowl for Other Purposes,..,..,..,..,..,..,..,..,..,..,..,..,..,3000.00,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Gamefowl for Dressing,200.00,200.00,200.00,200.00,200.00,200.00,..,..,..,..,..,..,200.00,200.00,200.00,200.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Layer Chicken,160.00,160.00,160.00,..,..,..,150.00,150.00,150.00,..,..,..,155.00,160.00,160.00,160.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Native/Improved Chicken,200.00,200.00,200.00,220.00,220.00,220.00,220.00,220.00,220.00,250.00,264.82,252.99,223.98,200.00,200.00,200.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Duck,180.00,180.00,180.00,180.00,180.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,191.67,..,..,200.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,"Chicken egg, Layer",7.67,7.67,7.67,7.67,7.67,7.67,8.87,8.87,9.50,6.00,6.00,6.00,7.60,7.07,7.07,7.05,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,"Chicken egg, Native",10.00,10.00,10.00,10.00,10.00,10.00,7.00,..,..,8.00,8.60,8.80,9.24,8.00,8.00,8.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Ifugao,Duck egg,8.50,8.50,8.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.62,0.00,0.00,0.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Carabao for Slaughter,220.00,250.00,250.00,250.00,230.00,230.00,225.00,250.00,250.00,250.00,250.00,250.00,242.08,260.00,260.00,260.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Cattle for Slaughter,260.00,260.00,270.00,280.00,280.00,260.00,260.00,265.00,270.00,270.00,270.00,270.00,267.92,280.00,280.00,280.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Goat for Slaughter,230.00,230.00,240.00,280.00,280.00,270.00,..,..,..,300.00,300.00,300.00,270.00,300.00,300.00,300.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Hog for Slaughter,206.70,225.75,225.00,250.00,236.87,237.50,220.00,220.00,220.00,220.00,220.00,220.00,225.15,220.00,220.00,220.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Broiler Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Gamefowl for Other Purposes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Gamefowl for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Layer Chicken,..,..,150.00,..,..,..,150.00,150.00,150.00,160.00,160.00,160.00,154.29,160.00,160.00,160.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Native/Improved Chicken,250.00,240.00,230.00,230.00,230.00,230.00,240.67,258.05,272.84,235.74,242.57,243.12,241.92,250.00,250.00,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Duck,250.00,250.00,260.00,240.00,259.91,260.00,..,..,..,274.52,261.16,260.20,257.31,250.07,250.07,250.07,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,"Chicken egg, Layer",8.01,8.04,8.06,8.21,8.23,8.23,7.77,7.57,7.81,7.50,7.50,7.50,7.87,6.90,7.00,7.17,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,"Chicken egg, Native",..,..,..,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.37,7.37,7.37,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Kalinga,Duck egg,7.37,7.81,8.12,8.00,8.17,8.10,8.00,8.00,8.00,8.03,8.03,8.03,7.97,7.17,7.17,7.17,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Carabao for Slaughter,180.00,180.00,180.00,160.00,160.00,160.00,170.59,170.59,170.59,193.78,193.78,180.00,174.94,178.13,193.78,175.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Cattle for Slaughter,185.00,185.00,185.00,170.00,180.00,180.00,180.00,182.41,176.79,179.73,179.73,185.00,180.72,181.49,181.49,155.36,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Goat for Slaughter,307.25,307.25,307.25,380.95,350.00,350.00,..,..,..,350.00,300.00,300.00,328.08,348.00,348.00,348.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Hog for Slaughter,237.70,193.39,226.14,186.56,242.20,262.05,155.01,231.80,246.88,125.55,212.54,230.02,212.49,199.54,183.04,197.55,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Broiler Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Gamefowl for Other Purposes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Gamefowl for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Layer Chicken,160.00,157.78,160.00,136.68,137.43,137.43,130.40,134.20,136.67,128.09,127.78,122.22,139.06,128.09,128.09,128.09,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Native/Improved Chicken,345.86,376.74,343.65,358.92,357.30,363.94,364.29,368.65,348.90,274.97,374.39,251.79,344.12,267.72,228.20,242.81,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Duck,238.00,238.00,238.00,250.00,250.00,250.00,333.33,318.19,312.78,312.78,200.00,200.00,261.76,279.14,200.00,279.14,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,"Chicken egg, Layer",8.33,8.33,8.23,8.05,8.02,8.05,8.47,8.49,8.48,9.00,9.00,9.00,8.45,7.73,7.83,7.88,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,"Chicken egg, Native",..,..,..,9.00,9.00,9.00,9.00,9.00,9.00,8.50,8.50,8.50,8.83,9.67,9.67,9.67,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Mountain Province,Duck egg,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Carabao for Slaughter,214.07,214.72,220.33,206.00,208.47,209.85,216.25,225.24,225.24,222.61,224.44,227.80,217.92,208.58,219.74,229.48,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Cattle for Slaughter,205.14,216.28,234.20,210.84,229.04,233.20,226.20,223.50,229.81,224.28,230.89,225.98,224.11,252.33,249.17,255.19,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Goat for Slaughter,239.75,234.65,231.93,251.69,247.86,250.34,237.69,240.63,243.72,249.49,244.59,253.59,243.83,200.07,225.71,228.24,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Hog for Slaughter,199.33,189.80,210.09,225.45,220.30,218.56,206.01,199.84,196.59,192.60,188.15,196.05,203.56,193.72,191.60,190.76,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Broiler Chicken,119.77,119.77,119.77,130.15,123.43,98.66,134.57,130.35,124.38,130.79,131.23,134.79,124.81,111.54,126.02,105.30,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Gamefowl for Other Purposes,3556.82,3652.77,3518.56,2702.22,2699.60,2826.32,3623.79,3623.79,3859.07,3215.50,3575.14,3575.14,3369.06,3970.57,4179.94,4068.23,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Gamefowl for Dressing,357.09,357.09,215.51,203.56,203.56,203.08,200.00,200.00,200.00,169.28,184.55,184.37,223.17,200.69,200.69,200.69,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Layer Chicken,96.88,94.14,93.06,92.50,95.96,95.28,90.17,86.89,79.95,91.23,93.78,100.00,92.49,96.13,96.90,98.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Native/Improved Chicken,194.89,191.75,156.34,177.27,176.70,181.25,191.10,198.21,198.49,201.40,202.45,206.01,189.66,189.78,211.87,191.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),Duck,175.97,181.20,180.46,176.79,196.77,198.59,192.95,190.69,223.95,194.50,227.80,224.16,196.99,179.05,180.23,185.64,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION I (ILOCOS REGION),"Chicken egg, Layer",7.64,8.15,7.70,7.64,7.58,7.65,7.54,7.67,7.84,7.67,7.65,7.79,7.71,7.40,7.31,7.34,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
