Sector,Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
"Agriculture, Forestry, and Fishing",..Leyte,25080537.42,27900766.42,32506358.63,20770547.17,22767293.14,24687269.85
"Agriculture, Forestry, and Fishing",..Northern Samar,12110585.94,11070622.17,11509614.59,10690854.71,9969761.27,9148064.92
"Agriculture, Forestry, and Fishing",..Samar,15259053.76,16808872.30,18328944.81,13541987.70,14448797.41,14475598.23
"Agriculture, Forestry, and Fishing",..Southern Leyte,6583819.89,7214484.95,7658992.26,5817531.68,6281118.14,6194675.72
"Agriculture, Forestry, and Fishing",..City of Tacloban,923880.60,967212.32,1078441.87,748094.55,771981.69,799264.38
"Agriculture, Forestry, and Fishing",Region IX (Zamboanga Peninsula),93881173.33,97661727.01,110465943.07,74784555.45,76241053.81,73624323.08
"Agriculture, Forestry, and Fishing",..Zamboanga del Norte,23072944.09,24872757.28,30245660.71,17432560.87,18806744.58,18457242.32
"Agriculture, Forestry, and Fishing",..Zamboanga del Sur,31277446.97,33119913.78,36095275.63,26697938.18,27569427.14,26541084.86
"Agriculture, Forestry, and Fishing",..Zamboanga Sibugay,18704565.55,17984039.25,20500159.00,14229804.26,13632414.38,12934185.95
"Agriculture, Forestry, and Fishing",..City of Isabela,3653626.35,3697597.80,3943336.32,2989895.42,2789037.23,2945974.27
"Agriculture, Forestry, and Fishing",..City of Zamboanga,17172590.37,17987418.89,19681511.41,13434356.71,13443430.48,12745835.69
"Agriculture, Forestry, and Fishing",Region X (Northern Mindanao),241882830.71,259146511.75,254619090.66,186589071.17,186968042.87,187063290.19
"Agriculture, Forestry, and Fishing",..Bukidnon,161635467.62,177456532.90,171463501.64,125407141.45,128437353.19,129026483.69
"Agriculture, Forestry, and Fishing",..Camiguin,1856110.22,1971884.07,1994173.37,1456718.14,1638707.09,1740215.76
"Agriculture, Forestry, and Fishing",..Lanao del Norte,29706485.63,27840243.67,28089546.24,24036836.07,21296092.82,21407001.18
"Agriculture, Forestry, and Fishing",..Misamis Occidental,18064429.35,17519659.06,18672523.42,13190657.60,12307913.66,12182862.40
"Agriculture, Forestry, and Fishing",..Misamis Oriental,26312354.17,29824881.67,29685701.64,19323081.71,20184969.46,19530105.88
"Agriculture, Forestry, and Fishing",..City of Cagayan de Oro,2648638.57,2901303.85,3005492.44,1887352.44,1905522.40,1922142.00
"Agriculture, Forestry, and Fishing",..City of Iligan,1659345.15,1632006.54,1708151.90,1287283.77,1197484.24,1254479.28
"Agriculture, Forestry, and Fishing",Region XI (Davao Region),195640296.86,231378202.23,235375677.54,146368374.47,147452956.07,146932316.01
"Agriculture, Forestry, and Fishing",..Davao de Oro,33279500.95,42055333.69,40198542.37,27466907.38,27867703.35,26988656.27
"Agriculture, Forestry, and Fishing",..Davao del Norte,71628849.96,91618107.17,90337328.97,50991004.30,51446257.64,51818083.71
"Agriculture, Forestry, and Fishing",..Davao del Sur,34172029.78,38117874.85,37199831.13,24106300.39,24793791.70,24395402.68
"Agriculture, Forestry, and Fishing",..Davao Occidental,10684692.96,10195755.73,12062564.49,8168903.60,7401417.95,7420595.59
"Agriculture, Forestry, and Fishing",..Davao Oriental,16768895.72,17325912.69,19579447.75,13129004.61,13082297.81,12669514.60
"Agriculture, Forestry, and Fishing",..City of Davao,29106327.50,32065218.10,35997962.83,22506254.20,22861487.61,23640063.15
"Agriculture, Forestry, and Fishing",Region XII (SOCCSKSARGEN),150490553.13,164715056.02,172077471.91,132803503.65,129678270.65,130856922.04
"Agriculture, Forestry, and Fishing",..Cotabato,39757050.87,46050604.28,46940855.21,37038393.32,35882551.92,35307287.24
"Agriculture, Forestry, and Fishing",..Sarangani,20980577.90,21451447.40,24984316.92,17384973.33,16657315.56,17325020.28
"Agriculture, Forestry, and Fishing",..South Cotabato,42939051.61,46769211.49,48731037.53,35604906.08,34429898.21,36419022.84
"Agriculture, Forestry, and Fishing",..Sultan Kudarat,30313953.15,33692396.72,34054672.69,27842505.51,28374764.30,26843725.85
"Agriculture, Forestry, and Fishing",..City of General Santos,16499919.60,16751396.14,17366589.56,14932725.41,14333740.66,14961865.84
"Agriculture, Forestry, and Fishing",Region XIII (Caraga),47497957.39,47183867.68,49905943.11,37422818.96,37339287.56,38517632.81
"Agriculture, Forestry, and Fishing",..Agusan del Norte,8829339.97,8898439.64,9481928.83,6607262.25,7044498.36,7159159.75
"Agriculture, Forestry, and Fishing",..Agusan del Sur,17229399.56,16980243.86,18222915.36,14136688.96,13889933.26,14220952.04
"Agriculture, Forestry, and Fishing",..Dinagat Islands,796895.78,745280.37,783620.06,641107.48,647215.31,731955.07
"Agriculture, Forestry, and Fishing",..Surigao del Norte,4547287.87,5096736.47,4870218.36,3664576.16,3922268.84,3877895.82
"Agriculture, Forestry, and Fishing",..Surigao del Sur,14158609.96,13538324.74,14507598.89,10835235.05,10261583.67,10946239.12
"Agriculture, Forestry, and Fishing",..City of Butuan,1936424.24,1924842.61,2039661.62,1537949.07,1573788.14,1581431.02
"Agriculture, Forestry, and Fishing",Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),120836472.07,136576417.30,140073738.97,99106452.19,101439130.83,97176391.72
"Agriculture, Forestry, and Fishing",..Basilan,12372879.66,13638238.66,13223421.46,9722085.82,9474037.63,8887871.67
"Agriculture, Forestry, and Fishing",..Lanao del Sur,23401892.22,26437421.86,26678273.04,19910548.60,21565096.04,20589913.04
"Agriculture, Forestry, and Fishing",..Maguindanao del Norte,18647731.75,18834837.54,21625871.04,14937520.60,14983793.13,14306222.28
"Agriculture, Forestry, and Fishing",..Maguindanao del Sur,24863356.94,25359213.84,29380409.58,20613649.90,21053132.29,20318850.56
"Agriculture, Forestry, and Fishing",..Sulu,29395602.54,39243173.55,36143187.40,24617237.83,24626484.41,23887702.28
"Agriculture, Forestry, and Fishing",..Tawi-Tawi,12155008.95,13063531.85,13022576.45,9305409.44,9736587.34,9185831.90
Mining and Quarrying,National Capital Region (NCR),430591.79,454249.62,465467.62,446116.08,456559.09,467156.86
Mining and Quarrying,..City of Caloocan,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Las Piñas,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Makati,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Malabon,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Mandaluyong,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Manila,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Marikina,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Muntinlupa,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Navotas,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Parañaque,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..Pasay City,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Pasig,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..Quezon City,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of San Juan,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Taguig,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..City of Valenzuela,/s,/s,/s,/s,/s,/s
Mining and Quarrying,..Pateros,/s,/s,/s,/s,/s,/s
Mining and Quarrying,Cordillera Administrative Region (CAR),12724530.10,13206700.76,14759100.04,9490041.14,9333588.10,9135499.36
Mining and Quarrying,..Abra,2688.03,2852.12,2882.66,2248.92,2255.57,2206.50
Mining and Quarrying,..Apayao,245087.08,268248.21,300194.53,221444.87,236723.16,269609.51
Mining and Quarrying,..Benguet,12242363.35,12686217.24,14213974.20,9062342.12,8892264.36,8665993.44
Mining and Quarrying,..Ifugao,35368.18,38594.38,37321.50,29367.90,29790.31,28461.33
Mining and Quarrying,..Kalinga,167443.52,175943.80,170499.09,150119.54,146661.29,143668.32
Mining and Quarrying,..Mountain Province,30784.82,34011.99,33368.68,23859.71,25225.46,24878.69
Mining and Quarrying,..City of Baguio,795.11,833.03,859.40,658.09,667.96,681.56
Mining and Quarrying,Region I (Ilocos Region),1898725.56,2003427.65,2073309.27,1656937.72,1658314.45,1715943.02
Mining and Quarrying,..Ilocos Norte,265870.54,280642.57,293783.08,229571.01,227764.83,238405.31
Mining and Quarrying,..Ilocos Sur,100534.61,110503.93,114735.29,88372.36,92116.62,95630.71
Mining and Quarrying,..La Union,520404.85,529329.68,541846.37,455762.73,441005.52,451416.21
Mining and Quarrying,..Pangasinan,1011915.56,1082951.45,1122944.52,883231.61,897427.48,930490.79
Mining and Quarrying,Region II (Cagayan Valley),16765619.55,19816985.08,21558899.32,11449671.75,12439043.04,11576249.18
Mining and Quarrying,..Batanes,3141.97,3335.51,3485.04,2406.22,2433.98,2479.57
Mining and Quarrying,..Cagayan,1036143.03,1072810.38,1126961.55,813455.26,803287.92,779481.13
Mining and Quarrying,..Isabela,2593483.90,2406272.12,2573785.30,1558083.75,1389438.58,1502868.00
Mining and Quarrying,..Nueva Vizcaya,12880096.91,16055371.37,17550126.95,8873546.36,10040361.69,9079119.95
Mining and Quarrying,..Quirino,252753.73,279195.70,304540.50,202180.17,203520.87,212300.53
Mining and Quarrying,Region III (Central Luzon),12704090.37,15918784.50,11465427.50,7838659.86,10030026.10,8460205.55
Mining and Quarrying,..Aurora,12163.51,15517.29,16218.09,10207.43,12639.90,13197.16
Mining and Quarrying,..Bataan,16965.44,22177.93,19292.27,15412.94,19391.76,16856.54
Mining and Quarrying,..Bulacan,3201337.79,4194324.36,3640200.94,2735196.68,3454997.22,2994345.89
Mining and Quarrying,..Nueva Ecija,76454.35,101303.30,77468.73,59950.16,76394.90,58339.98
Mining and Quarrying,..Pampanga,3385646.75,4446105.93,4591041.98,2820629.03,3530907.54,3644543.93
Mining and Quarrying,..Tarlac,784715.61,909811.33,896779.68,615936.96,707268.88,696644.12
Mining and Quarrying,..Zambales,5225512.57,6228089.62,2222954.17,1580274.81,2227343.38,1035183.42
Mining and Quarrying,..City of Angeles,1056.53,1204.10,1220.51,854.97,881.42,893.18
Mining and Quarrying,..City of Olongapo,237.82,250.62,251.14,196.89,201.10,201.32
Mining and Quarrying,Region IV-A (CALABARZON),6239939.67,6534896.54,6951850.22,6133986.83,6126885.39,6516745.10
Mining and Quarrying,..Batangas,710529.84,759443.26,788762.55,742047.76,756025.73,783466.69
Mining and Quarrying,..Cavite,106177.77,111014.68,112882.89,110105.40,109541.78,111245.10
Mining and Quarrying,..Laguna,90976.19,104425.86,107266.95,95221.56,104023.73,105905.53
Mining and Quarrying,..Quezon,190515.44,209028.46,211458.92,196857.98,205517.64,208037.71
Mining and Quarrying,..Rizal,5052410.34,5255945.84,5632934.38,4896740.76,4857629.88,5210293.69
Mining and Quarrying,..City of Lucena,89330.09,95038.45,98544.53,93013.36,94146.62,97796.38
Mining and Quarrying,MIMAROPA Region,56082543.61,26943722.39,22995398.34,29392265.53,24100279.01,22218409.43
Mining and Quarrying,..Marinduque,118326.51,122506.27,126860.57,94363.65,95514.13,97806.37
Mining and Quarrying,..Occidental Mindoro,165006.60,166063.82,189444.06,132140.71,129999.64,147732.76
Mining and Quarrying,..Oriental Mindoro,119550.01,130282.83,136299.67,106486.62,113455.09,119825.34
Mining and Quarrying,..Palawan,55423657.84,26258548.59,22239736.98,28846923.51,23545229.76,21613158.54
Mining and Quarrying,..Romblon,226504.40,235570.39,273315.86,188483.95,191756.01,216375.02
Mining and Quarrying,..City of Puerto Princesa,29498.25,30750.47,29741.21,23867.09,24324.38,23511.39
Mining and Quarrying,Region V (Bicol Region),13179419.05,14762743.24,17535805.16,10173695.08,10777031.88,11397957.65
Mining and Quarrying,..Albay,3187905.25,3777051.71,3909073.19,2640029.68,2878108.84,2964046.67
Mining and Quarrying,..Camarines Norte,2926760.35,3443745.21,3836550.17,2412729.64,2755513.74,3016991.11
Mining and Quarrying,..Camarines Sur,717154.21,688037.73,691013.56,586939.57,560800.45,565865.33
Mining and Quarrying,..Catanduanes,325976.11,318952.59,319230.48,281524.43,266446.05,271267.61
Mining and Quarrying,..Masbate,5707682.08,6148476.00,8387954.59,3983200.11,4004557.27,4264382.67
Mining and Quarrying,..Sorsogon,313941.06,386480.00,391983.15,269271.65,311605.53,315404.26
Mining and Quarrying,Region VI (Western Visayas),79764940.83,45938478.71,41829235.13,28704181.76,29263109.31,30281737.89
Mining and Quarrying,..Aklan,191053.41,222545.88,234246.18,158041.02,174031.54,184114.41
Mining and Quarrying,..Antique,78672774.78,44710316.27,40547497.70,27819992.52,28311378.83,29303647.62
Mining and Quarrying,..Capiz,176120.99,202616.33,212588.09,143068.71,155103.36,155816.98
Mining and Quarrying,..Guimaras,71125.10,75052.05,74966.86,60321.54,60118.01,60355.69
Mining and Quarrying,..Iloilo,653513.43,727564.89,759544.46,522469.78,562179.75,577502.43
Mining and Quarrying,..City of Iloilo,353.11,383.29,391.84,288.18,297.83,300.77
Mining and Quarrying,Negros Island Region (NIR),3561659.57,4053834.04,4438129.71,2934642.07,3163755.10,3462630.11
Mining and Quarrying,..Negros Occidental,3196419.43,3650459.95,4011897.41,2688195.50,2909291.88,3191667.53
Mining and Quarrying,..Negros Oriental,186678.41,204413.82,234058.55,132205.47,135965.16,156451.95
Mining and Quarrying,..Siquijor,178233.80,198604.12,191799.82,113968.02,118218.25,114217.43
Mining and Quarrying,..City of Bacolod,327.93,356.14,373.92,273.08,279.80,293.21
Mining and Quarrying,Region VII (Central Visayas),6851175.37,6936860.16,7676608.70,4160242.68,4290585.95,4459312.50
Mining and Quarrying,..Bohol,1459651.66,1660967.60,1864079.45,999666.69,1052719.14,1176066.37
Mining and Quarrying,..Cebu,4782682.22,4612608.32,5127173.57,2736335.09,2807536.54,2843984.14
Mining and Quarrying,..City of Cebu,348568.58,377837.10,389631.41,244681.84,247259.41,252778.62
Mining and Quarrying,..City of Lapu-Lapu,86123.76,93489.28,98167.37,60825.16,61636.44,63965.10
Mining and Quarrying,..City of Mandaue,174149.15,191957.86,197556.91,118733.89,121434.42,122518.27
Mining and Quarrying,Region VIII (Eastern Visayas),1183752.55,2120185.95,1852561.27,798392.93,1340397.33,1321181.46
Mining and Quarrying,..Biliran,19572.71,20919.92,21680.51,16144.21,16636.56,16925.32
Mining and Quarrying,..Eastern Samar,663796.30,1450994.80,1164070.60,359697.39,794057.06,758615.78
Mining and Quarrying,..Leyte,315457.86,433695.58,446433.18,266328.78,354474.07,366346.27
Mining and Quarrying,..Northern Samar,88491.99,109749.88,114419.10,77086.03,92988.53,97114.89
Mining and Quarrying,..Samar,41145.98,42868.69,43286.97,33554.94,33355.25,33095.54
Mining and Quarrying,..Southern Leyte,55083.75,61740.98,62446.28,45400.36,48697.48,48888.58
Mining and Quarrying,..City of Tacloban,203.95,216.09,224.65,181.22,188.37,195.09
Mining and Quarrying,Region IX (Zamboanga Peninsula),1236672.98,1449488.79,2004957.38,868793.39,963980.95,1136638.82
Mining and Quarrying,..Zamboanga del Norte,186339.29,202100.00,237243.30,179692.70,181497.14,198428.35
Mining and Quarrying,..Zamboanga del Sur,815639.01,882904.76,1386135.88,496395.11,479962.64,594499.61
Mining and Quarrying,..Zamboanga Sibugay,159277.75,285042.05,301052.59,121962.41,230833.51,271543.09
Mining and Quarrying,..City of Isabela,10657.23,11197.59,11350.35,9588.19,9782.34,9913.30
Mining and Quarrying,..City of Zamboanga,64759.69,68244.39,69175.26,61154.98,61905.31,62254.47
Mining and Quarrying,Region X (Northern Mindanao),3498827.94,3576906.19,3848868.29,3287466.89,3229090.13,3474075.77
Mining and Quarrying,..Bukidnon,986442.30,999886.45,1087935.81,869901.90,846790.94,929545.71
Mining and Quarrying,..Camiguin,50548.81,51306.97,55706.54,50395.22,49504.25,53587.54
Mining and Quarrying,..Lanao del Norte,156125.62,167226.56,173979.64,146546.19,148430.27,155478.84
Mining and Quarrying,..Misamis Occidental,95630.95,97324.32,111359.21,93785.35,91449.50,104118.95
Mining and Quarrying,..Misamis Oriental,759668.97,791175.49,855518.86,753063.99,742475.90,799704.21
Mining and Quarrying,..City of Cagayan de Oro,241574.73,240606.37,242753.17,236186.89,223008.08,225605.88
Mining and Quarrying,..City of Iligan,1208836.58,1229380.03,1321615.06,1137587.35,1127431.18,1206034.63
Mining and Quarrying,Region XI (Davao Region),13966681.06,16168659.67,20366597.12,9379388.18,10008319.71,10454331.59
Mining and Quarrying,..Davao de Oro,13086287.49,15454979.97,19099688.67,8788034.14,9486547.95,9591362.71
Mining and Quarrying,..Davao del Norte,109842.47,123338.01,129625.29,83823.32,88696.98,92967.17
Mining and Quarrying,..Davao del Sur,72495.36,81046.04,84664.08,57180.05,62062.12,62003.87
Mining and Quarrying,..Davao Occidental,32005.81,33845.10,31319.06,27603.55,28914.71,26837.03
Mining and Quarrying,..Davao Oriental,453764.22,246877.97,786924.81,270333.01,185008.06,525199.57
Mining and Quarrying,..City of Davao,212285.72,228572.58,234375.21,152414.10,157089.88,155961.24
Mining and Quarrying,Region XII (SOCCSKSARGEN),993558.71,1047041.47,3448036.11,632464.46,673358.80,2540241.82
Mining and Quarrying,..Cotabato,73727.01,78141.67,81914.75,48797.69,51115.29,52325.90
