Type of Valuation,Subsector,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 January to June,2000 January to September,2000 January to December,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 January to June,2001 January to September,2001 January to December,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 January to June,2002 January to September,2002 January to December,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 January to June,2003 January to September,2003 January to December,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 January to June,2004 January to September,2004 January to December,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 January to June,2005 January to September,2005 January to December,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 January to June,2006 January to September,2006 January to December,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 January to June,2007 January to September,2007 January to December,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 January to June,2008 January to September,2008 January to December,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 January to June,2009 January to September,2009 January to December,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 January to June,2010 January to September,2010 January to December,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 January to June,2011 January to September,2011 January to December,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 January to June,2012 January to September,2012 January to December,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 January to June,2013 January to September,2013 January to December,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 January to June,2014 January to September,2014 January to December,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 January to June,2015 January to September,2015 January to December,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 January to June,2016 January to September,2016 January to December,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 January to June,2017 January to September,2017 January to December,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 January to June,2018 January to September,2018 January to December,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 January to June,2019 January to September,2019 January to December,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 January to June,2020 January to September,2020 January to December,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 January to June,2021 January to September,2021 January to December,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 January to June,2022 January to September,2022 January to December,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 January to June,2023 January to September,2023 January to December,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 January to June,2024 January to September,2024 January to December,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 January to June,2025 January to September,2025 January to December,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 January to June,2026 January to September,2026 January to December
Current Prices,..Dairy,41.49,51.01,47.15,49.62,92.51,139.65,189.28,57.02,63.49,54.18,58.12,120.51,174.70,232.81,56.88,66.03,54.00,73.05,122.92,176.92,249.96,59.83,67.51,62.23,74.44,127.34,189.57,264.01,67.59,76.62,56.68,78.74,144.21,200.89,279.63,74.97,91.04,85.43,95.15,166.01,251.44,346.59,83.66,93.77,91.18,100.43,177.43,268.61,369.05,89.10,99.43,93.99,119.04,188.53,282.52,401.55,94.57,107.31,102.80,110.30,201.88,304.68,414.98,98.81,110.35,108.10,117.92,209.16,317.26,435.19,117.15,129.22,120.68,116.51,246.37,367.04,483.56,114.48,131.89,129.46,133.75,246.37,375.83,509.58,139.26,147.63,138.27,148.75,286.89,425.16,573.91,142.98,155.05,151.92,158.23,298.03,449.95,608.18,154.92,160.27,159.10,163.58,315.18,474.28,637.86,164.30,170.86,166.46,169.90,335.17,501.63,671.53,167.35,183.67,188.41,197.45,351.02,539.43,736.88,204.58,218.40,202.30,209.45,422.98,625.28,834.74,230.60,239.13,228.22,238.89,469.72,697.94,936.83,256.46,266.26,255.45,248.24,522.72,778.17,1026.41,285.01,291.01,316.72,314.30,576.03,892.75,1207.05,353.25,324.22,357.33,372.92,677.47,1034.80,1407.73,498.59,410.20,424.00,353.84,908.79,1332.79,1686.62,402.46,402.17,482.35,494.05,804.63,1286.98,1781.03,670.60,568.45,556.19,592.06,1239.06,1795.25,2387.30,704.94,653.83,779.90,814.39,1358.76,2138.66,2953.05,777.56,.,.,.,.,.,.
Current Prices,POULTRY,18445.15,16277.46,16035.96,23154.77,34722.62,50758.58,73913.34,20129.72,16602.70,19398.34,27800.03,36732.42,56130.76,83930.79,21888.91,18277.66,20230.18,28968.58,40166.56,60396.75,89365.32,21664.56,18304.94,20923.38,30118.03,39969.50,60892.89,91010.92,25346.94,20231.20,25069.64,33942.79,45578.14,70647.79,104590.58,28080.70,21819.86,24096.41,33566.55,49900.56,73996.97,107563.52,28211.76,22730.40,25779.68,35292.64,50942.16,76721.85,112014.49,28848.55,28076.92,28425.48,33438.38,56925.47,85350.96,118789.33,31183.07,31168.94,32378.45,36582.33,62352.02,94730.46,131312.79,35623.55,34951.39,34646.51,39438.19,70574.94,105221.45,144659.64,40435.40,36711.61,35415.76,38419.67,77147.01,112562.76,150982.43,38907.49,38313.89,38655.12,42418.23,77221.39,115876.51,158294.74,41839.10,39700.65,40703.60,45281.40,81539.76,122243.36,167524.76,43657.60,43334.99,41845.09,47127.78,86992.59,128837.68,175965.46,46048.59,46656.08,46298.55,52167.40,92704.67,139003.21,191170.61,47902.70,46179.21,47421.46,53476.16,94081.91,141503.37,194979.53,51738.02,50226.03,49240.13,51445.93,101964.04,151204.18,202650.10,52922.15,55319.51,46880.51,59619.79,108241.66,155122.17,214741.96,57398.41,57979.14,56107.16,60170.32,115377.55,171484.71,231655.03,54042.06,55820.84,60476.78,72317.17,109862.90,170339.68,242656.85,62418.14,61568.98,63565.84,74861.58,123987.13,187552.97,262414.55,69167.64,70147.34,65129.17,76165.01,139314.98,204444.15,280609.16,75166.18,79789.52,88153.22,90668.28,154955.69,243108.91,333777.19,88897.05,87405.91,88463.95,98698.26,176302.96,264766.91,363465.17,91769.31,98876.88,99697.36,103089.51,190646.20,290343.55,393433.06,107351.01,107473.74,108482.06,117443.34,214824.75,323306.81,440750.15,110236.14,.,.,.,.,.,.
Current Prices,..Chicken,13802.29,11552.68,11784.99,18411.58,25354.97,37139.96,55551.54,15810.88,11913.10,14285.97,22474.13,27723.98,42009.95,64484.09,17153.32,13164.28,15054.46,23484.67,30317.59,45372.05,68856.71,16622.50,13299.08,15472.44,24196.23,29921.58,45394.02,69590.25,19112.14,14351.70,18698.71,27125.86,33463.84,52162.55,79288.41,21674.40,15425.66,17581.62,26462.67,37100.06,54681.68,81144.36,21598.91,15800.60,18677.92,27585.14,37399.50,56077.43,83662.56,21330.26,20757.24,20891.85,24989.24,42087.50,62979.35,87968.60,23193.56,23348.34,24202.56,27573.23,46541.90,70744.46,98317.69,25917.10,26202.07,25934.25,29669.19,52119.17,78053.42,107722.60,30663.86,27281.65,25937.04,28331.39,57945.51,83882.55,112213.94,28738.90,28668.62,28861.78,31603.09,57407.52,86269.30,117872.39,30868.13,28985.34,30144.12,34293.64,59853.48,89997.60,124291.24,32432.18,31984.74,31002.24,35743.35,64416.92,95419.16,131162.51,34832.66,35390.71,34907.17,39415.82,70223.37,105130.54,144546.36,35150.61,34585.00,35557.77,40369.36,69735.61,105293.38,145662.74,38433.21,37563.24,36091.58,37553.66,75996.45,112088.03,149641.68,38000.78,41060.91,32867.58,44634.27,79061.69,111929.27,156563.54,41791.08,43508.87,41084.70,44339.19,85299.95,126384.65,170723.84,37612.07,39592.51,42560.01,51537.83,77204.58,119764.59,171302.42,42611.49,41523.06,42290.88,53198.55,84134.55,126425.43,179623.99,47910.77,47724.41,43826.12,53586.68,95635.18,139461.30,193047.98,53475.34,54974.32,62007.00,64431.94,108449.67,170456.67,234888.61,60866.97,61154.02,60545.88,68119.29,122021.00,182566.88,250686.17,64852.75,72631.52,70244.42,70930.93,137484.27,207728.69,278659.62,77394.36,77369.02,75764.27,83499.93,154763.38,230527.65,314027.58,77750.09,.,.,.,.,.,.
Current Prices,..Duck,750.72,598.09,651.32,775.74,1348.81,2000.13,2775.87,625.57,568.64,598.07,741.93,1194.21,1792.28,2534.21,638.45,530.02,587.72,741.43,1168.47,1756.19,2497.62,683.11,604.12,617.43,808.62,1287.24,1904.66,2713.29,601.62,552.54,541.03,723.41,1154.16,1695.19,2418.60,755.57,658.57,532.23,700.18,1414.15,1946.37,2646.55,638.24,616.35,563.83,762.39,1254.60,1818.42,2580.81,710.20,657.10,552.90,649.07,1367.29,1920.19,2569.26,706.64,591.97,620.13,685.16,1298.61,1918.73,2603.89,710.13,561.25,552.58,652.00,1271.38,1823.97,2475.97,723.76,545.74,547.24,674.80,1269.50,1816.74,2491.53,665.66,507.30,549.46,730.00,1172.95,1722.42,2452.42,742.52,485.68,580.75,767.42,1228.20,1808.94,2576.36,707.06,485.18,583.82,886.93,1192.24,1776.05,2662.98,801.34,511.20,584.62,909.43,1312.55,1897.17,2806.60,812.38,558.97,613.61,850.34,1371.34,1984.95,2835.30,817.70,521.78,613.65,742.59,1339.48,1953.14,2695.73,874.01,505.48,694.91,798.40,1379.49,2074.40,2872.80,929.01,573.13,753.81,869.13,1502.14,2255.95,3125.08,1060.86,610.63,886.67,990.21,1671.49,2558.16,3548.37,1060.89,639.26,1042.34,1196.57,1700.15,2742.49,3939.07,1283.94,1163.72,1152.09,1178.83,2447.66,3599.74,4778.57,1159.76,1113.25,1132.05,1242.58,2273.00,3405.05,4647.63,1093.73,1231.13,1294.88,1317.37,2324.87,3619.74,4937.12,1171.02,1329.38,1240.07,1416.52,2500.40,3740.47,5156.99,1261.83,1288.38,1329.09,1422.71,2550.21,3879.30,5302.01,1337.87,.,.,.,.,.,.
Current Prices,..Chicken Eggs,3311.19,3539.06,3094.25,3304.45,6850.25,9944.50,13248.95,3137.85,3492.21,3922.47,3947.76,6630.06,10552.53,14500.29,3500.33,3888.54,3949.95,4125.70,7388.88,11338.82,15464.52,3760.00,3723.59,4235.29,4431.80,7483.59,11718.88,16150.68,4954.92,4425.90,5076.41,5353.38,9380.82,14457.22,19810.60,4902.82,4868.36,5304.87,5711.72,9771.18,15076.05,20787.77,5241.18,5512.10,5864.19,6240.39,10753.28,16617.47,22857.86,6071.47,5867.64,6259.89,7100.37,11939.11,18199.00,25299.37,6628.85,6486.06,6814.89,7573.15,13114.91,19929.81,27502.96,8253.96,7423.70,7405.82,8372.12,15677.66,23083.48,31455.60,8321.09,8164.86,8174.77,8732.44,16485.95,24660.73,33393.17,8760.80,8394.56,8514.42,9359.56,17155.36,25669.78,35029.34,9452.45,9397.42,9216.81,9398.89,18849.87,28066.68,37465.57,9665.88,9916.56,9423.84,9605.84,19582.43,29006.28,38612.12,9541.41,9794.19,9939.20,10874.66,19335.59,29274.79,40149.46,11045.07,10065.85,10346.19,11237.48,21110.92,31457.11,42694.59,11517.68,11091.88,11573.89,12038.23,22609.56,34183.45,46221.68,12969.02,12575.39,12337.48,13041.41,25544.41,37881.89,50923.30,13659.40,12674.99,13240.32,13781.73,26334.39,39574.71,53356.43,14275.08,14258.53,15889.41,18369.18,28533.61,44423.02,62792.20,17540.40,17973.63,19028.75,18978.20,35514.03,54542.78,73520.98,18706.76,19783.93,18859.01,19993.81,38490.70,57349.71,77343.51,19102.99,21845.50,23075.38,23067.81,40948.49,64023.87,87091.68,25222.87,23128.45,24876.45,27495.64,48351.32,73227.77,100723.41,23993.44,23052.21,26639.11,28972.53,47045.66,73684.77,102657.30,27052.31,26903.06,29673.29,30743.09,53955.37,83628.66,114371.75,29301.45,.,.,.,.,.,.
Current Prices,..Duck Eggs,580.95,587.64,505.41,663.00,1168.59,1673.99,2336.99,555.42,628.75,591.82,636.20,1184.18,1776.00,2412.20,596.80,694.82,638.07,616.78,1291.62,1929.69,2546.47,598.95,678.15,598.23,681.38,1277.10,1875.32,2556.70,678.26,901.07,753.49,740.15,1579.33,2332.82,3072.97,747.91,867.27,677.69,691.98,1615.18,2292.86,2984.84,733.44,801.35,673.75,704.72,1534.78,2208.53,2913.25,736.63,794.95,720.84,699.69,1531.57,2252.41,2952.10,654.02,742.58,740.87,750.79,1396.59,2137.47,2888.26,742.36,764.37,753.85,744.88,1506.73,2260.58,3005.47,726.69,719.36,756.71,681.04,1446.04,2202.75,2883.79,742.13,743.42,729.46,725.58,1485.55,2215.01,2940.59,776.00,832.21,761.92,821.46,1608.21,2370.13,3191.59,852.48,948.52,835.20,891.66,1800.99,2636.19,3527.85,873.18,959.98,867.55,967.49,1833.16,2700.72,3668.20,894.64,969.40,903.89,1018.97,1864.03,2767.92,3786.90,969.42,1049.14,961.01,1111.45,2018.55,2979.56,4091.01,1078.34,1177.73,980.54,1145.70,2256.08,3236.62,4382.32,1018.92,1222.15,1028.34,1180.27,2241.07,3269.41,4449.68,1094.05,1359.17,1140.69,1419.95,2453.22,3593.91,5013.86,1205.37,1433.03,1203.87,1488.25,2638.40,3842.27,5330.51,1266.17,1475.27,1291.96,1405.70,2741.44,4033.40,5439.10,1428.08,1856.45,1938.79,1925.96,3284.53,5223.32,7149.28,1713.47,1892.30,1746.74,1765.96,3605.78,5352.52,7118.47,1752.10,1863.77,1573.76,1769.53,3615.87,5189.63,6959.15,1642.50,1913.28,1715.41,1777.61,3555.78,5271.19,7048.80,1846.73,.,.,.,.,.,.
Current Prices,FISHERIES,22451.41,25011.80,24958.40,26051.93,47463.20,72421.61,98473.53,24014.32,27784.83,26859.80,28091.22,51799.16,78658.96,106750.18,27115.26,30022.42,27359.33,28761.21,57137.68,84497.01,113258.22,28624.54,31950.40,28118.96,31172.43,60574.94,88693.90,119866.33,33883.55,36699.99,32776.74,35486.10,70583.54,103360.28,138846.38,35428.52,38081.30,35553.27,37329.85,73509.83,109063.09,146392.95,39584.51,42164.09,40010.46,41615.32,81748.60,121759.06,163374.38,43817.87,47953.05,43181.11,45593.10,91770.92,134952.03,180545.13,49725.28,55014.12,50947.60,60126.50,104739.40,155687.00,215813.50,53803.32,57633.18,49271.51,54874.05,111436.51,160708.02,215582.07,53249.58,59105.91,51695.73,56999.62,112355.50,164051.23,221050.85,52622.97,61262.79,51456.75,59352.57,113885.76,165342.51,224695.08,54544.26,62873.69,54852.98,65440.53,117417.96,172270.94,237711.47,59351.29,64978.87,56752.62,63468.90,124330.16,181082.78,244551.68,57837.26,63659.49,55376.86,65070.24,121496.75,176873.61,241943.85,54850.93,64699.50,57311.49,62840.45,119550.43,176861.92,239702.37,51620.91,60835.03,55006.77,61471.39,112455.93,167462.71,228934.10,56241.96,63919.47,57065.98,66674.48,120161.43,177227.41,243901.89,58908.02,68266.71,64358.37,73815.59,127174.73,191533.10,265348.68,63238.70,75009.99,63952.54,79450.43,138248.69,202201.23,281651.65,62606.54,73208.37,63368.52,74305.03,135814.91,199183.43,273488.46,66882.02,80205.19,70685.40,84671.87,147087.21,217772.61,302444.48,65293.60,93670.85,77449.97,90337.21,158964.46,236414.43,326751.64,81903.26,84393.66,77028.66,85414.98,166296.92,243325.58,328740.56,76421.80,78276.86,70136.11,82115.43,154698.67,224834.78,306950.21,80623.41,82230.62,73408.70,92388.37,162854.03,236262.73,328651.10,78584.03,.,.,.,.,.,.
Current Prices,..Milkfish,2469.66,3499.11,2665.48,3225.56,5968.77,8634.26,11859.82,2727.42,3839.71,3122.70,3321.41,6567.14,9689.84,13011.25,2892.66,3283.97,3212.13,3197.17,6176.63,9388.76,12585.93,2732.70,3454.45,3366.11,3701.36,6187.15,9553.26,13254.61,3310.00,4205.23,3837.58,4923.07,7515.22,11352.80,16275.87,3633.85,4646.36,4235.08,5104.88,8280.21,12515.29,17620.17,3829.41,5488.95,5337.97,5673.74,9318.36,14656.33,20330.07,3861.61,5796.25,5873.44,6943.82,9657.85,15531.29,22475.12,4788.61,6304.20,6746.08,9205.40,11092.81,17838.89,27044.29,5566.20,7421.10,7809.54,8194.91,12987.29,20796.84,28991.74,5610.68,7258.20,7314.26,7875.87,12868.88,20183.14,28059.01,5670.36,7501.09,7824.72,9961.16,13171.45,20996.17,30957.33,6191.64,8937.12,9119.03,10920.50,15128.76,24247.79,35168.30,7022.74,9357.73,9097.80,10220.50,16380.47,25478.27,35698.77,6788.82,9220.23,9031.58,11203.24,16009.05,25040.63,36243.87,6821.48,9002.91,9303.19,10584.77,15824.40,25127.59,35712.35,6563.27,8833.10,9163.33,10827.19,15396.38,24559.71,35386.90,6442.18,10100.84,9479.39,12019.09,16543.01,26022.40,38041.49,6831.23,10630.15,10610.09,13153.91,17461.38,28071.47,41225.38,6885.92,10267.00,11615.51,14584.42,17152.92,28768.43,43352.85,7333.98,11584.71,9925.62,15159.91,18918.69,28844.30,44004.21,7679.63,13386.89,12838.73,17617.36,21066.52,33905.25,51522.62,6886.66,11915.76,12319.62,15464.91,18802.42,31122.04,46586.95,8582.47,10201.87,11397.45,15677.42,18784.35,30181.80,45859.22,7544.80,8600.08,10865.67,18095.81,16144.89,27010.56,45106.36,8393.98,10504.12,11785.47,26656.46,18898.11,30683.58,57340.04,8345.94,.,.,.,.,.,.
Current Prices,..Tilapia,1536.74,1468.29,985.29,1433.79,3005.03,3990.32,5424.11,1483.90,1881.33,1347.65,1482.94,3365.23,4712.88,6195.82,1633.54,1966.39,1265.31,1721.53,3599.92,4865.23,6586.76,1744.25,2204.30,1439.07,2088.01,3948.55,5387.62,7475.63,2338.91,2698.46,1776.47,2326.96,5037.37,6813.84,9140.80,2728.27,2778.30,2030.59,2841.15,5506.57,7537.16,10378.31,4468.97,3061.31,2600.70,3096.58,7530.28,10130.98,13227.56,5083.01,3504.61,3264.03,3666.82,8587.63,11851.66,15518.48,5763.73,3778.10,3863.48,4287.55,9541.83,13405.31,17692.86,7282.94,4822.38,4292.35,3905.44,12105.32,16397.67,20303.10,6209.37,4425.57,3841.67,4457.85,10634.94,14476.60,18934.45,6185.71,4493.88,3653.11,4737.03,10679.60,14332.70,19069.73,6726.30,5165.84,4138.75,5104.53,11892.14,16030.89,21135.42,7233.66,5188.80,4068.64,5528.83,12422.46,16491.10,22019.93,7473.93,5762.21,3797.07,5410.47,13236.14,17033.21,22443.68,7321.79,5590.22,3706.79,5801.71,12912.00,16618.79,22420.51,6550.79,5327.92,3641.92,5249.45,11878.72,15520.63,20770.08,7055.83,5961.83,4014.27,5961.73,13017.66,17031.93,22993.66,6905.67,6172.73,4628.63,6546.15,13078.39,17707.03,24253.18,6797.18,6358.34,4599.08,7424.99,13155.52,17754.60,25179.59,7403.05,6564.66,4856.95,6679.93,13967.71,18824.66,25504.59,8040.89,7562.67,5052.20,8202.43,15603.55,20655.76,28858.18,7152.14,7048.24,4659.63,7105.93,14200.38,18860.01,25965.94,9596.48,7478.62,5201.31,7117.45,17075.10,22276.41,29393.85,10386.97,7151.00,5341.73,7082.22,17537.96,22879.69,29961.91,11597.14,7967.58,5766.12,7265.80,19564.72,25330.83,32596.63,10889.68,.,.,.,.,.,.
Current Prices,..Tiger Prawn,3087.08,3072.16,2501.00,3137.00,6159.24,8660.24,11797.24,3459.05,3700.23,2930.13,3513.81,7159.28,10089.42,13603.23,3406.44,2812.68,2878.01,3262.20,6219.12,9097.13,12359.32,3349.77,2924.55,2905.77,2960.47,6274.32,9180.09,12140.56,3392.32,3086.02,3095.57,3291.64,6478.35,9573.91,12865.55,3492.62,2999.14,3488.15,3660.25,6491.76,9979.91,13640.16,3439.61,3199.17,3866.07,3807.69,6638.78,10504.85,14312.54,3869.07,3532.44,3524.98,4048.26,7401.51,10926.49,14974.74,4372.45,5015.14,4066.00,4506.57,9387.60,13453.60,17960.17,4566.79,5734.25,3917.64,4374.81,10301.04,14218.68,18593.49,3936.68,6025.36,3694.31,4612.72,9962.04,13656.36,18269.07,3821.30,6389.77,3605.68,4776.73,10211.07,13816.75,18593.48,3795.22,5816.37,4120.33,5278.81,9611.59,13731.92,19010.73,3724.04,5415.09,4174.88,6449.07,9139.14,13314.01,19763.08,3840.71,4840.07,4034.69,6631.78,8680.77,12715.47,19347.24,3952.53,5863.70,4520.06,6492.25,9816.23,14336.29,20828.54,3494.51,6013.48,4238.02,7221.48,9507.99,13746.01,20967.49,4063.06,5664.15,4441.64,7325.44,9727.22,14168.85,21494.29,4220.14,5887.59,4213.42,7464.16,10107.73,14321.16,21785.31,4452.71,6448.94,4059.47,8157.65,10901.65,14961.12,23118.77,4093.45,6747.38,2947.07,6809.67,10840.83,13787.90,20597.56,4348.03,6778.91,3335.03,6932.85,11126.94,14461.97,21394.81,3636.18,5261.28,2538.40,6357.24,8897.46,11435.86,17793.10,3875.63,5279.31,1938.10,6929.43,9154.95,11093.04,18022.47,3692.07,2093.37,1206.24,5574.00,5785.44,6991.68,12565.68,3369.82,2949.88,1195.10,5246.79,6319.70,7514.80,12761.59,3326.17,.,.,.,.,.,.
Current Prices,..Skipjack,918.78,1084.04,907.53,911.07,2002.82,2910.35,3821.42,993.79,1154.71,932.85,982.12,2148.50,3081.34,4063.46,1130.40,1420.65,956.16,1016.14,2551.05,3507.21,4523.35,1543.14,1224.37,1009.39,1321.87,2767.52,3776.90,5098.77,1572.65,1445.33,1109.23,1472.05,3017.97,4127.20,5599.25,1716.83,1288.77,1309.06,1431.08,3005.60,4314.66,5745.74,1628.73,1714.47,1458.78,1836.45,3343.20,4801.97,6638.42,2378.50,2252.97,2153.57,2640.28,4631.47,6785.04,9425.32,3014.49,3409.56,3425.40,3336.17,6424.06,9849.46,13185.63,2742.84,3421.39,2519.34,3902.23,6164.23,8683.57,12585.80,3216.49,2680.65,2796.75,3382.51,5897.14,8693.89,12076.40,2823.73,3163.33,2706.16,3362.96,5987.06,8693.22,12056.18,3182.82,3390.24,3341.51,4681.99,6573.06,9914.58,14596.56,4897.08,4155.80,3677.82,3928.03,9052.87,12730.69,16658.72,4500.85,4236.46,3232.01,3411.45,8737.31,11969.32,15380.77,3323.05,4186.06,3702.49,3744.71,7509.10,11211.59,14956.30,2808.56,3966.32,3893.05,3611.54,6774.88,10667.93,14279.47,4036.01,3936.54,3954.44,4273.44,7972.56,11927.00,16200.44,4693.75,4045.20,4176.23,4331.15,8738.96,12915.18,17246.33,5470.80,4580.04,4826.44,5576.81,10050.85,14877.29,20454.11,4228.68,4722.52,4432.91,4631.35,8951.21,13384.12,18015.47,5546.25,5175.98,4433.44,4270.75,10722.24,15155.68,19426.43,4403.66,7426.18,6129.40,7007.44,11829.84,17959.24,24966.68,6380.26,4430.90,5467.34,6104.04,10811.16,16278.50,22382.54,6380.17,8143.78,5395.91,5810.69,14523.95,19919.86,25730.55,6722.05,4516.11,6683.41,7661.54,11238.16,17921.57,25583.10,6680.61,.,.,.,.,.,.
Current Prices,..Roundscad,2535.78,3226.55,2593.55,2362.86,5762.33,8355.88,10718.75,2746.75,3438.77,2667.73,2556.60,6185.52,8853.25,11409.85,3070.40,4260.55,2735.25,2641.32,7330.95,10066.20,12707.52,3153.28,4211.36,2703.75,2833.40,7364.65,10068.39,12901.79,3733.07,4586.47,2963.82,2716.83,8319.54,11283.36,14000.19,3107.29,4112.75,3096.10,2179.66,7220.04,10316.15,12495.81,2744.42,3414.09,2307.12,2160.83,6158.51,8465.63,10626.46,2526.27,3488.43,3834.24,2382.89,6014.69,9848.93,12231.82,3158.19,4091.04,3612.66,2977.56,7249.22,10861.88,13839.44,3210.00,3361.54,2744.40,2842.32,6571.53,9315.94,12158.26,3400.19,3897.76,3391.07,2788.71,7297.95,10689.02,13477.73,3150.80,4068.21,3370.07,2821.15,7219.01,10589.08,13410.23,3588.67,4110.40,3415.18,3072.52,7699.06,11114.25,14186.77,4630.65,5034.08,3860.59,2949.93,9664.73,13525.32,16475.25,4141.10,4305.37,3028.86,2753.64,8446.47,11475.33,14228.97,3238.44,4280.82,3247.54,2688.23,7519.25,10766.79,13455.02,2965.04,3668.90,2789.89,2387.80,6633.94,9423.84,11811.63,2906.83,3342.16,2881.75,2111.79,6248.98,9130.74,11242.53,2542.65,3512.15,3101.45,2452.04,6054.80,9156.26,11608.30,3268.94,3733.63,2926.07,2250.73,7002.57,9928.63,12179.37,3290.34,4703.24,3423.21,2416.11,7993.58,11416.79,13832.90,3352.36,4520.47,3821.91,3156.61,7872.84,11694.75,14851.36,3661.32,5433.38,4301.35,3539.57,9094.69,13396.05,16935.62,4015.43,6647.16,4991.08,3385.11,10662.59,15653.67,19038.78,4251.82,5582.10,4243.73,2999.02,9833.92,14077.65,17076.67,3863.59,6763.00,4632.99,2659.09,10626.59,15259.59,17918.68,5479.12,.,.,.,.,.,.
Current Prices,..Seaweed,792.50,554.87,422.37,608.45,1347.37,1769.74,2378.20,729.98,788.07,551.47,890.68,1518.05,2069.51,2960.20,813.38,743.07,638.98,1041.22,1556.45,2195.43,3236.65,691.87,784.80,659.35,1535.98,1476.67,2136.02,3672.00,1336.36,1184.93,917.68,1822.44,2521.29,3438.97,5261.40,1678.58,1197.44,1091.77,2073.11,2876.02,3967.79,6040.90,1502.43,1275.85,1278.52,2289.92,2778.28,4056.80,6346.72,1773.35,1298.61,1116.08,2111.31,3071.96,4188.04,6299.35,1950.14,1779.78,3126.77,5991.67,3729.93,6856.70,12848.37,1771.73,1773.63,2342.43,3703.46,3545.36,5887.79,9591.25,2826.86,2389.28,2183.59,4575.01,5216.14,7399.74,11974.74,3054.66,2504.41,2181.07,3650.94,5559.07,7740.14,11391.08,2728.83,2147.44,1627.35,3272.67,4876.27,6503.62,9776.30,2018.71,2030.87,2029.03,3824.63,4049.58,6078.61,9903.23,2679.36,2323.84,1958.38,3556.13,5003.20,6961.58,10517.71,2207.86,1895.33,1541.72,2670.36,4103.19,5644.91,8315.27,1513.61,1214.34,1196.76,2180.02,2727.95,3924.71,6104.74,1541.12,1490.34,1623.49,3646.40,3031.46,4654.95,8301.35,2261.35,2124.32,2096.53,4437.49,4385.67,6482.20,10919.70,2464.11,2479.02,2235.97,4665.92,4943.13,7179.10,11845.02,2458.75,2463.77,2279.47,3412.13,4922.52,7201.99,10614.12,2543.65,2323.54,2368.20,2905.33,4867.19,7235.39,10140.72,2929.89,4016.57,3799.37,5854.89,6946.46,10745.83,16600.71,3700.29,3347.28,2512.93,3153.81,7047.56,9560.50,12714.31,2407.83,1852.23,2675.17,3541.53,4260.06,6935.23,10476.76,2336.24,2011.50,1888.62,2993.47,4347.75,6236.37,9229.84,1995.76,.,.,.,.,.,.
