Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual
PHILIPPINES,"CASSAVA (KAMOTENG KAHOY), 1 KG",27.17,27.28,27.27,27.90,28.38,29.03,30.80,30.84,30.96,31.17,30.97,30.99,29.40,31.22,31.55,30.52,30.84,31.25,31.40,31.30,31.33,31.36,31.78,32.13,33.23,31.49,33.49,33.71,33.62,33.38,33.65,33.55,33.53,33.83,33.58,33.61,34.01,34.05,33.67,33.89,33.70,33.40,32.80,32.84,32.11,32.31,31.53,31.68,32.01,32.20,31.89,32.53,32.61,31.71,31.68,31.82,32.03,32.96,33.11,33.54,33.36,33.79,34.50,34.31,32.95,35.82,35.43,34.33,35.37,35.79,35.83,36.55,36.83,37.47,37.71,38.06,38.24,36.45,37.89,37.05,36.76,37.85,38.09,38.22,38.85,39.43,39.61,39.21,40.18,40.61,38.65,40.83,40.47,40.34,40.02,39.86,39.07,39.09,39.55,39.78,39.68,40.13,40.23,39.92
PHILIPPINES,"UBE, 1 KG",57.71,58.69,60.45,60.81,61.05,60.84,55.61,60.18,60.32,59.13,59.82,60.09,59.56,58.75,58.13,56.15,57.15,57.00,54.99,54.47,55.25,55.17,54.16,55.80,55.96,56.08,54.62,55.99,54.72,55.25,55.19,57.02,54.14,52.85,55.44,59.91,62.34,69.85,57.28,64.79,64.64,60.50,61.21,61.65,64.03,65.49,63.81,64.02,65.33,63.98,66.31,63.81,62.54,60.98,59.51,60.68,60.92,62.82,62.04,63.83,65.34,66.57,66.97,67.66,63.32,66.88,65.77,66.59,65.54,68.75,69.18,70.47,69.56,70.47,70.39,70.14,71.50,68.77,73.74,70.57,73.13,72.96,71.87,71.34,73.15,75.20,73.66,75.14,76.98,77.89,73.80,78.75,79.02,78.92,77.40,79.39,79.74,81.52,81.96,81.39,81.02,80.93,81.30,80.11
PHILIPPINES,"GABI TUBERS, 1 KG",46.85,47.64,47.17,46.30,47.27,47.16,47.02,46.72,46.88,47.03,50.51,49.76,47.53,50.28,48.66,48.97,48.46,49.55,50.23,50.11,51.81,54.21,54.93,54.33,53.89,51.29,54.07,51.86,50.54,51.81,52.12,50.17,49.40,49.92,51.01,49.27,50.08,50.87,50.93,51.05,51.72,51.62,51.56,52.48,52.10,51.53,52.86,54.03,53.79,52.91,54.25,52.49,53.60,56.38,57.94,56.61,56.32,55.88,56.31,58.77,57.15,58.42,59.14,58.56,57.09,58.05,59.04,59.44,58.69,58.30,58.54,59.58,60.20,61.22,62.28,63.10,62.78,60.10,63.04,62.07,61.64,62.70,63.62,65.05,66.78,66.10,66.60,69.75,71.27,72.23,65.90,72.84,71.76,70.99,70.32,67.21,68.29,67.66,67.89,67.49,67.64,67.86,70.63,69.21
PHILIPPINES,"GABI TUBERS, CEBU, 1 KG",41.53,40.42,40.96,40.84,40.72,41.09,40.05,40.29,40.73,44.31,43.60,42.94,41.46,44.31,44.01,44.57,45.13,47.61,48.70,49.06,51.77,49.58,49.02,46.49,49.29,47.46,53.97,54.00,53.09,54.32,53.58,54.49,53.90,52.83,53.07,53.29,52.82,52.72,53.51,51.63,51.61,50.76,49.91,49.39,48.03,48.82,50.37,51.48,51.41,52.51,51.71,50.64,50.98,52.13,50.09,48.88,48.87,50.44,51.45,51.53,52.47,52.66,52.97,52.66,51.26,51.41,50.94,50.44,51.53,50.59,50.05,51.45,52.47,51.92,52.66,52.82,53.44,51.64,53.83,52.10,52.78,52.86,53.02,52.53,53.45,54.21,56.88,58.51,59.68,61.16,55.08,63.63,60.09,59.29,59.96,62.54,60.40,61.96,60.74,59.15,59.63,62.48,63.67,61.13
PHILIPPINES,"GABI TUBERS, CEBU/BUTIG, 1 KG",33.11,33.11,33.11,33.11,33.11,34.16,34.51,34.51,39.51,39.51,38.11,38.11,35.33,37.66,40.29,44.67,48.09,55.89,55.89,62.63,64.21,65.09,64.38,50.19,48.53,53.13,52.90,50.80,50.80,49.63,53.87,58.69,60.88,62.37,61.84,62.11,60.62,60.62,57.09,57.91,55.01,59.57,67.54,56.33,54.75,54.75,56.50,53.17,52.73,49.06,49.19,55.54,54.69,50.83,53.44,53.65,51.35,54.48,56.87,58.54,53.23,55.21,52.50,56.04,54.24,50.63,54.48,50.73,53.13,53.65,52.40,52.71,53.44,57.81,58.23,77.08,68.86,56.93,71.56,72.03,71.25,72.08,73.33,79.38,88.44,87.24,85.94,86.72,97.81,88.91,81.22,98.44,90.21,82.14,78.86,80.11,79.17,97.19,99.23,93.56,95.06,101.49,107.74,91.94
PHILIPPINES,"GABI TUBERS, MALAGKIT WITH STALK, 1 KG",73.96,73.96,80.33,80.33,80.33,78.73,78.73,78.73,80.33,80.33,78.73,78.73,78.60,78.73,72.04,66.94,66.94,66.94,66.94,66.94,66.94,65.04,66.94,75.55,81.29,70.11,83.21,104.24,98.50,96.60,104.44,103.87,97.93,102.72,100.62,102.54,104.45,104.45,100.30,104.45,104.45,106.50,93.19,94.21,85.00,81.11,80.69,79.96,78.56,77.58,76.86,88.55,75.50,72.06,78.00,74.83,77.40,77.08,75.63,71.25,66.57,68.13,68.54,67.19,72.68,66.25,75.11,75.31,80.94,75.31,74.27,75.07,76.48,82.36,85.31,84.19,90.04,78.39,88.17,85.25,86.74,79.64,81.94,85.24,84.82,87.32,87.32,90.54,96.04,92.92,87.16,88.28,87.56,90.54,98.13,102.62,96.58,97.11,96.98,97.13,97.28,98.41,96.74,95.61
PHILIPPINES,"GABI TUBERS, NATIVE, 1 KG",45.24,45.14,45.15,44.30,44.35,44.52,44.90,45.71,47.06,47.15,47.27,47.56,45.70,48.20,47.82,47.37,48.54,49.97,51.26,51.38,53.49,53.52,56.39,55.88,56.26,51.67,57.44,56.74,56.17,57.12,57.71,57.38,57.02,57.98,58.16,58.82,60.21,60.62,57.95,60.07,57.93,55.36,55.46,53.36,52.34,53.50,54.40,54.02,52.67,52.95,52.51,54.55,52.83,53.22,53.56,53.00,53.07,53.11,52.79,51.94,52.30,53.22,55.20,55.90,53.34,58.87,57.77,56.37,57.22,57.08,57.18,57.77,61.04,60.84,61.24,61.90,61.78,59.09,61.82,62.88,62.75,63.83,63.84,64.65,66.59,69.76,70.16,72.09,74.24,73.91,67.21,73.95,72.59,71.63,70.91,71.39,70.15,69.86,70.89,70.69,71.10,70.53,69.78,71.12
PHILIPPINES,"GABI TUBERS, SAN FERNANDO, 1 KG",31.68,31.00,34.09,31.93,32.00,31.02,31.36,33.15,36.33,36.65,37.90,37.27,33.70,37.90,34.46,32.78,35.34,35.40,37.38,38.65,38.18,43.21,43.76,44.83,43.89,38.82,43.26,44.42,45.55,42.98,42.86,40.43,50.22,41.61,42.98,44.36,44.20,42.27,43.76,41.65,41.63,40.80,38.70,34.93,36.18,35.33,37.71,36.78,38.96,38.13,40.63,38.45,39.48,40.00,41.25,39.79,37.09,37.09,37.71,37.71,38.34,39.38,38.13,39.59,38.80,40.21,41.88,42.71,44.79,39.17,39.59,41.67,39.79,40.63,43.13,43.13,45.42,41.84,46.46,48.34,47.71,47.09,45.84,42.92,46.25,46.88,47.29,47.92,58.54,59.17,48.70,60.42,57.71,55.84,52.09,50.42,50.42,51.25,53.75,50.00,51.46,50.21,50.42,52.83
PHILIPPINES,"GABI TUBERS, TAGALOG, 1 KG",55.01,55.11,54.61,55.70,53.84,52.67,53.63,55.68,55.72,53.16,54.17,53.47,54.40,53.45,52.97,52.69,53.54,55.51,59.04,58.90,64.51,65.43,67.87,65.42,65.86,59.60,65.30,64.99,64.56,63.02,64.66,65.78,63.51,64.91,64.27,65.38,66.68,68.36,65.12,70.52,67.61,65.27,64.08,62.57,60.63,61.25,63.62,63.17,63.56,64.83,60.99,64.01,62.59,62.77,62.75,63.84,64.06,63.22,63.21,61.97,62.08,64.58,67.33,64.78,63.60,65.59,64.14,63.99,65.71,66.18,66.46,68.02,71.71,71.96,70.46,71.48,72.72,68.20,73.28,71.91,72.69,72.60,72.93,75.04,75.36,77.66,81.80,85.22,85.01,84.62,77.34,86.73,84.88,84.00,81.74,82.70,80.93,80.73,82.37,81.07,83.49,84.14,85.43,83.18
PHILIPPINES,"GABI TUBERS, WHITE, 1 KG",44.02,42.66,39.32,41.74,45.17,42.44,43.37,39.38,39.38,39.59,39.03,39.03,41.26,39.09,38.38,38.81,39.24,40.38,40.17,40.17,40.38,41.46,42.46,42.46,42.39,40.45,43.61,43.18,43.32,43.08,47.67,51.53,50.54,49.60,50.54,52.83,52.83,53.53,48.52,51.53,48.74,49.67,47.31,46.74,43.39,41.96,42.75,42.92,43.92,47.98,45.80,46.06,50.00,49.14,46.54,45.56,43.41,45.19,44.63,43.86,44.27,45.68,45.07,45.15,45.71,44.26,47.62,50.13,55.98,53.41,52.22,50.23,50.54,51.88,51.70,50.61,49.22,50.65,48.94,48.58,49.58,49.60,49.61,49.32,50.15,52.75,51.32,55.60,56.78,56.97,51.60,59.11,63.75,64.17,60.35,61.60,57.60,53.85,55.35,55.72,56.42,56.00,60.31,58.68
PHILIPPINES,"GABI TUBES, PLASTIC, CELLOPHANE, 1 KG",55.21,59.08,55.21,55.21,56.81,56.81,52.63,56.50,56.50,61.33,58.10,54.87,56.52,52.62,54.56,59.72,68.11,57.45,63.60,61.97,69.07,68.42,78.75,78.75,84.89,66.49,81.33,76.17,79.73,86.49,94.23,87.78,96.17,95.52,98.44,102.31,106.18,94.87,91.60,87.46,76.80,73.91,74.56,67.77,74.22,73.57,73.57,67.14,67.14,67.14,67.14,72.54,68.57,75.00,76.75,71.75,71.50,72.75,76.38,72.50,74.50,76.25,75.00,80.50,74.29,80.51,80.50,84.25,82.63,82.63,82.63,78.88,77.63,77.63,77.00,78.25,79.50,80.17,79.50,89.50,94.38,94.38,100.13,102.00,98.13,103.63,103.38,96.25,88.38,85.88,94.63,80.25,87.53,78.00,78.00,83.50,81.63,80.13,71.13,77.00,78.25,78.25,78.25,79.33
PHILIPPINES,"GABI, MALAGKIT, 1 KG",55.77,55.77,51.59,46.01,46.01,48.11,48.80,48.80,51.59,50.20,50.20,46.02,49.91,48.81,48.61,48.61,50.21,53.40,53.40,52.60,65.35,66.95,68.81,70.66,70.66,58.17,70.66,63.23,68.54,55.79,65.08,57.65,53.92,53.92,53.92,63.22,61.36,61.36,60.72,58.97,58.17,62.15,65.34,59.96,54.38,54.38,50.63,58.13,61.88,61.88,56.88,58.56,64.38,53.13,55.00,55.00,59.38,55.63,54.38,55.71,53.75,54.38,55.63,54.38,55.90,46.88,49.38,51.88,50.00,50.00,50.00,53.75,61.88,58.13,53.75,53.75,53.75,52.76,57.50,61.25,61.88,61.88,60.00,58.75,58.75,62.50,62.50,62.50,63.75,65.00,61.36,62.50,63.75,55.00,62.50,61.25,63.75,60.63,59.38,58.75,58.75,61.25,62.50,60.83
PHILIPPINES,"KARLANG, 1 KG",38.94,39.07,44.04,47.40,41.19,38.63,37.83,37.03,37.62,39.44,41.55,40.44,40.26,41.01,48.71,45.70,47.75,48.52,48.19,52.48,52.02,54.49,54.15,54.82,50.89,49.89,52.33,52.33,52.33,55.68,55.01,53.67,47.07,45.93,45.46,47.81,48.48,47.33,50.29,45.79,46.93,47.03,45.69,44.48,45.49,41.88,42.82,40.63,40.63,39.38,40.63,43.45,46.57,39.38,38.44,39.38,39.69,37.82,38.44,38.44,36.57,35.07,33.57,32.94,38.03,34.19,37.19,35.69,32.94,32.94,31.07,34.44,38.01,38.19,38.44,39.07,39.38,35.96,43.44,41.88,43.44,42.69,44.69,41.57,44.07,51.38,48.82,49.69,56.26,60.01,47.33,61.25,58.13,57.38,58.94,59.69,57.50,54.69,57.07,52.50,49.69,51.57,51.88,55.86
PHILIPPINES,"PALAWAN, YELLOW, 1 KG",20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.73,20.73,20.73,20.73,20.73,21.63,20.73,20.73,18.93,18.93,18.93,18.93,20.21,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.03,17.13,17.13,17.13,17.13,17.59,17.59,17.59,18.42,18.42,18.42,18.42,17.75,18.42,18.42,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.71,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17
PHILIPPINES,"PAO GALLIANG, FRESH TUBER, 1 KG",27.89,28.28,28.15,30.43,31.70,34.24,35.51,35.51,36.78,41.85,36.78,35.51,33.55,35.51,36.78,38.05,36.78,36.78,39.32,39.32,38.05,36.78,37.42,38.05,38.69,37.63,39.96,39.96,40.59,40.59,41.86,42.50,42.50,42.50,43.13,43.52,45.04,46.94,42.42,52.02,51.39,48.85,45.04,45.04,43.13,42.50,43.50,43.50,43.50,45.63,45.63,45.81,48.13,40.83,43.13,45.63,45.63,46.88,41.25,42.50,43.75,43.75,46.25,50.00,44.81,54.84,57.89,53.91,50.31,50.00,49.38,50.63,51.25,52.50,54.38,66.88,63.75,54.64,65.00,58.75,53.75,51.88,40.00,50.00,48.75,53.13,53.75,56.25,62.50,70.00,55.31,73.13,70.00,67.50,57.50,51.25,57.50,58.75,62.50,61.25,63.75,60.00,61.25,62.03
..National Capital Region (NCR),"CARROT, 1 KG",68.90,65.66,68.18,63.73,60.95,64.20,79.94,122.08,187.59,118.31,87.10,76.62,88.61,67.90,59.94,66.17,85.68,81.67,85.89,89.38,76.27,82.93,89.66,85.97,85.47,79.74,76.00,66.10,66.20,71.84,66.76,76.35,97.83,85.46,79.07,75.72,98.76,127.05,82.26,134.12,113.73,82.14,68.56,65.97,65.83,72.28,119.91,72.28,91.45,127.68,96.44,92.53,84.97,85.96,101.24,89.71,85.42,82.07,88.00,110.69,139.70,136.69,129.96,112.92,103.94,91.76,79.56,75.45,74.31,76.86,85.36,157.11,170.90,161.43,153.19,144.00,113.33,115.27,107.17,99.93,117.35,108.30,102.09,111.04,141.80,135.09,117.51,138.93,176.40,170.36,127.16,157.89,110.42,93.61,85.29,89.40,95.51,114.48,229.14,253.54,203.81,168.14,132.62,144.49
..National Capital Region (NCR),"TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..National Capital Region (NCR),"RADDISH (LABANOS), 1 KG",61.86,60.77,61.22,62.66,62.60,62.64,63.34,66.84,67.93,71.00,70.89,70.37,65.18,69.97,69.57,68.69,68.09,68.68,69.33,69.34,70.00,69.41,69.15,69.40,71.70,69.44,71.84,73.61,75.21,75.27,77.71,83.11,80.20,80.45,80.45,79.19,79.90,84.39,78.44,91.99,93.22,90.34,90.23,81.60,78.11,79.02,117.73,79.02,98.53,68.28,68.13,86.35,75.20,68.95,70.63,73.82,74.03,74.18,76.05,72.85,74.49,78.84,104.59,111.70,79.61,102.81,86.66,96.69,89.25,98.17,107.06,99.06,117.76,111.24,114.38,93.69,81.94,99.89,85.36,98.83,95.43,89.20,107.79,121.84,100.45,109.37,114.23,132.91,119.21,111.42,107.17,95.08,87.33,88.12,98.52,108.03,112.76,113.41,168.47,127.18,118.48,102.52,123.09,111.92
..National Capital Region (NCR),"POTATO, 1 KG",67.96,67.48,63.98,61.25,56.57,57.14,57.17,60.01,70.19,77.27,101.88,81.55,68.54,70.28,58.93,59.24,63.26,67.73,71.68,72.86,77.39,92.45,98.55,93.34,85.12,75.90,83.16,85.78,90.15,95.76,90.10,84.25,75.60,73.34,71.52,70.25,76.05,101.52,83.12,121.90,92.24,68.45,59.66,56.68,55.90,58.30,70.82,58.30,85.10,84.46,82.02,74.49,80.79,72.64,66.23,67.71,73.73,76.70,80.49,79.11,78.47,89.71,118.86,143.93,85.70,140.14,126.39,110.64,106.13,98.56,101.73,113.96,136.93,160.99,195.49,167.99,153.03,134.33,130.54,119.15,123.13,114.34,109.84,137.65,117.49,102.81,97.80,96.81,113.85,150.78,117.85,166.29,137.09,112.86,95.80,89.00,87.74,87.51,100.48,110.26,132.30,148.98,154.08,118.53
