Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual
..National Capital Region (NCR),"ONION RED CREOLE (BERMUDA RED), 1 KG",108.86,83.42,76.50,79.94,83.71,94.00,99.06,107.32,102.25,84.56,88.69,86.20,91.21,85.79,75.62,67.12,58.64,57.82,64.79,64.56,66.30,68.98,81.27,103.34,168.03,80.19,196.87,110.55,83.29,90.02,100.28,100.95,101.41,111.87,140.99,179.06,227.52,216.41,138.27,126.59,115.90,104.97,102.50,101.41,108.85,111.57,111.76,111.57,127.72,140.04,164.26,118.93,183.51,107.52,79.49,70.45,81.47,92.54,105.89,134.53,158.67,199.33,246.01,363.43,151.90,424.96,256.61,126.27,130.34,175.59,170.85,170.35,170.33,153.64,143.32,152.53,173.51,187.36,149.24,112.25,90.91,90.31,106.09,110.72,107.72,109.67,106.82,104.14,106.47,119.47,109.48,142.80,174.18,129.71,113.70,128.68,133.49,145.26,160.66,159.87,158.03,223.48,223.49,157.78
..National Capital Region (NCR),"ONION WHITE (YELLOW GRANEX), 1 KG",62.37,59.24,56.18,58.98,60.24,70.70,81.73,109.44,88.02,69.06,69.78,67.24,71.08,68.59,61.65,56.25,58.74,62.96,63.28,63.84,75.15,98.36,103.69,71.09,83.68,72.27,90.45,84.21,72.29,76.80,79.35,77.11,75.64,80.56,97.13,100.26,101.89,97.38,86.09,88.43,81.74,73.92,76.58,76.97,79.91,79.48,82.72,79.48,85.20,90.93,83.73,81.59,86.36,76.75,66.10,67.55,79.34,93.65,120.87,230.97,312.48,305.21,285.13,281.30,167.14,314.59,202.52,119.82,150.28,178.77,168.86,160.49,153.50,139.64,133.08,130.04,129.19,165.07,120.82,93.93,81.57,81.80,93.32,95.67,97.79,113.71,129.10,112.39,107.78,115.60,103.62,125.17,132.70,110.69,100.64,112.11,112.44,127.72,146.97,136.56,125.55,129.44,140.79,125.07
..National Capital Region (NCR),"ONION, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..National Capital Region (NCR),"GINGER, LOOSE, 1 KG",75.48,74.63,73.16,71.77,80.61,84.35,83.89,84.11,91.51,96.05,90.69,85.58,82.65,100.68,92.41,91.40,112.30,146.71,146.11,137.77,133.00,142.44,132.35,125.41,132.21,124.40,131.75,127.10,155.55,204.20,195.13,188.69,179.70,176.78,185.22,198.55,199.59,183.38,177.14,164.92,149.24,148.74,155.13,153.87,151.76,153.71,146.12,153.71,137.44,134.56,126.52,147.98,127.56,114.14,105.18,104.53,105.05,102.50,105.28,103.50,105.07,120.43,120.94,109.61,110.32,109.46,106.04,102.11,101.23,104.73,107.89,111.87,118.52,123.84,129.22,136.04,135.94,115.57,133.61,131.86,127.99,142.35,203.34,248.28,226.17,218.45,222.67,209.11,204.05,199.10,188.92,196.86,185.80,181.53,182.13,200.21,202.06,200.33,198.06,192.39,180.00,190.41,184.84,191.22
..Cordillera Administrative Region (CAR),"GARLIC, IMPORTED, 1 KG",111.70,103.46,98.76,107.00,102.30,104.65,110.52,110.52,115.22,117.57,116.40,116.40,109.54,116.40,108.16,105.81,108.16,115.21,124.61,125.79,123.44,122.26,123.44,123.44,121.09,118.15,125.79,137.54,146.94,158.30,164.56,170.45,173.97,168.10,161.05,157.51,161.05,162.22,157.29,159.87,157.52,150.47,136.36,126.96,119.91,148.13,140.00,140.00,140.00,142.50,142.50,142.02,140.00,125.71,122.50,122.50,120.00,120.00,118.75,118.75,118.75,128.75,126.88,112.50,122.92,115.63,114.38,111.88,110.63,116.57,123.13,141.25,143.13,145.63,141.25,142.19,140.94,128.88,142.50,137.82,136.57,138.13,141.88,138.44,137.82,140.00,138.75,139.07,148.13,145.32,140.37,148.76,145.00,149.38,134.69,140.32,142.50,138.75,147.69,150.00,150.00,165.63,178.75,149.29
..Cordillera Administrative Region (CAR),"GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Cordillera Administrative Region (CAR),"GARLIC, NATIVE, 1 KG",143.36,144.28,136.05,125.43,119.67,116.14,149.34,163.32,155.28,153.13,150.40,141.88,141.52,144.72,139.18,135.33,134.65,148.92,149.99,155.04,152.45,150.37,153.42,152.92,151.72,147.39,154.94,151.66,168.49,178.33,178.71,168.30,175.90,179.10,181.43,187.88,183.21,181.12,174.09,190.39,194.20,190.34,184.31,183.49,177.68,176.19,187.02,185.95,178.12,185.98,184.74,184.87,202.59,192.61,186.91,183.33,152.43,157.80,157.37,158.83,160.11,162.10,163.11,165.08,170.19,155.05,149.55,150.11,146.78,150.87,162.49,169.73,171.06,169.95,162.90,163.79,165.99,159.86,165.49,163.30,158.49,163.67,157.92,164.66,169.00,169.51,172.10,169.42,172.55,174.09,166.68,177.14,176.28,169.47,172.34,175.87,178.71,176.97,181.70,181.07,172.33,171.89,175.54,175.78
..Cordillera Administrative Region (CAR),"ONION RED CREOLE (BERMUDA RED), 1 KG",108.09,102.89,97.00,95.28,94.17,95.50,99.21,103.46,106.97,106.82,101.65,99.09,100.84,98.75,93.69,93.98,85.46,77.95,77.76,79.50,82.82,82.18,85.89,96.04,109.13,88.60,140.70,135.23,117.10,118.13,108.33,105.48,104.63,106.32,110.15,122.39,142.74,154.49,122.14,147.04,128.18,118.35,109.42,109.98,109.30,113.58,123.70,129.24,127.56,138.10,151.16,125.47,165.90,144.74,124.34,115.86,105.28,109.30,109.76,128.80,146.39,179.14,222.10,280.50,152.68,381.51,314.78,204.46,158.47,172.39,186.70,190.81,199.45,203.06,185.95,183.16,187.91,214.05,177.24,154.03,127.83,120.40,115.07,122.80,127.74,126.87,126.15,128.08,131.56,132.14,132.49,142.61,146.09,149.18,137.26,136.11,142.05,147.77,162.42,166.52,166.95,172.49,209.99,156.62
..Cordillera Administrative Region (CAR),"ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Cordillera Administrative Region (CAR),"ONION, NATIVE, 1 KG",83.13,85.00,85.00,87.50,87.50,87.50,88.75,88.75,87.50,86.25,79.38,86.25,86.04,85.00,85.00,88.75,88.75,88.75,88.75,88.75,85.00,84.38,85.00,86.88,97.50,87.71,106.25,105.00,105.63,113.33,113.75,115.00,115.00,115.00,115.00,117.50,127.50,132.50,115.12,137.50,135.00,135.00,130.00,127.50,127.50,121.25,122.50,122.50,122.50,128.75,129.38,128.28,156.25,118.57,101.25,73.75,78.75,93.75,92.86,102.86,111.25,118.75,150.00,193.42,115.96,233.59,193.05,190.22,176.56,164.06,161.88,166.88,178.13,178.13,178.13,170.63,190.00,181.77,161.88,125.63,116.25,115.63,111.88,111.88,114.38,116.25,108.75,110.00,105.00,102.50,116.67,111.25,112.50,122.50,107.50,112.50,116.25,117.50,135.00,135.00,152.50,167.50,185.00,131.25
..Cordillera Administrative Region (CAR),"GINGER, LOOSE, 1 KG",81.38,80.04,83.70,80.38,80.62,78.45,78.20,77.87,78.65,79.56,80.99,78.84,79.89,78.13,75.76,75.39,76.37,79.01,84.83,87.77,89.12,95.30,103.97,107.39,112.04,88.76,110.44,106.16,102.38,119.46,130.79,144.38,147.93,143.76,148.83,156.69,160.37,153.07,135.36,146.70,140.01,130.26,123.97,122.62,134.59,138.48,139.82,146.45,145.88,140.72,131.62,136.76,124.20,120.91,111.07,106.41,105.95,100.32,100.03,100.34,97.24,102.39,102.56,104.75,106.35,103.88,98.33,92.91,87.52,86.64,89.40,93.93,95.79,99.44,95.43,102.04,107.46,96.06,102.81,98.47,93.87,95.98,103.43,122.28,138.86,148.24,148.56,159.72,164.80,159.07,128.01,159.47,148.97,143.69,141.03,147.85,151.66,154.04,156.48,158.36,158.11,164.55,168.25,154.37
....Abra,"GARLIC, IMPORTED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"GARLIC, NATIVE, 1 KG",140.00,131.25,143.75,120.63,111.25,111.25,176.88,138.75,117.50,107.50,107.50,93.75,125.00,97.50,101.25,100.00,102.50,107.50,117.50,142.50,118.75,117.50,125.00,130.00,135.00,116.25,135.00,123.75,175.00,190.00,203.75,181.25,173.75,170.00,172.50,180.00,171.25,166.25,170.21,196.25,191.25,186.25,177.50,173.75,175.00,166.25,166.25,153.75,133.75,138.75,137.50,166.35,133.75,137.50,135.00,130.00,126.25,128.75,127.50,127.50,127.50,138.75,136.25,132.50,131.77,130.00,122.50,118.75,112.50,120.00,123.75,141.25,157.50,160.00,142.50,142.50,142.50,134.48,142.50,141.25,137.50,131.25,121.25,128.75,151.25,142.50,150.00,146.25,147.50,148.75,140.73,157.50,162.50,158.75,150.00,146.25,143.75,160.00,156.25,161.25,157.50,157.50,157.50,155.73
....Abra,"ONION RED CREOLE (BERMUDA RED), 1 KG",94.29,80.00,80.00,80.00,80.00,80.00,95.00,101.25,98.75,93.75,91.25,85.00,88.27,83.75,72.50,80.00,80.00,70.00,77.50,81.25,72.50,77.50,80.00,93.75,101.25,80.83,185.00,157.50,150.00,145.00,98.75,92.50,108.75,105.00,106.25,133.75,137.50,163.75,131.98,162.50,137.50,106.25,105.00,102.50,105.00,107.50,117.50,117.50,120.00,130.00,153.75,122.08,148.75,135.00,128.75,131.25,131.25,122.50,117.50,125.00,127.50,145.00,215.00,283.75,150.94,337.50,255.00,205.00,175.00,151.25,161.25,161.25,207.50,215.00,171.25,177.50,167.50,198.75,151.25,136.25,131.25,122.50,118.75,127.50,133.75,126.25,117.50,117.50,122.50,120.00,127.08,131.25,142.50,130.00,130.00,127.50,126.25,153.75,161.25,166.25,157.50,157.50,162.50,145.52
....Abra,"ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"ONION, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"GINGER, LOOSE, 1 KG",88.89,88.89,88.89,88.89,88.89,88.89,95.24,93.97,93.97,92.70,92.70,91.43,91.11,93.97,73.65,73.65,80.00,90.16,104.13,114.29,106.67,115.56,121.91,128.26,130.80,102.75,130.80,124.45,124.45,194.72,209.53,205.72,191.75,180.32,166.35,176.51,180.32,171.43,171.36,168.89,151.11,135.87,130.79,134.60,162.54,160.00,156.25,151.25,130.00,117.50,120.00,143.23,118.75,117.50,116.25,113.75,118.75,115.00,107.50,107.50,108.75,115.00,107.50,112.50,113.23,117.50,107.50,97.50,97.50,100.00,100.00,103.75,107.50,127.50,117.50,120.00,120.00,109.69,117.50,116.25,101.88,105.00,112.50,138.75,195.00,196.25,200.00,233.75,247.50,235.00,166.62,217.50,208.75,198.75,200.00,190.00,187.50,192.50,168.75,173.75,181.25,193.75,196.25,192.40
....Apayao,"GARLIC, IMPORTED, 1 KG",111.70,103.46,98.76,107.00,102.30,104.65,110.52,110.52,115.22,117.57,116.40,116.40,109.54,116.40,108.16,105.81,108.16,115.21,124.61,125.79,123.44,122.26,123.44,123.44,121.09,118.15,125.79,137.54,146.94,158.30,164.56,170.45,173.97,168.10,161.05,157.51,161.05,162.22,157.29,159.87,157.52,150.47,136.36,126.96,119.91,148.13,140.00,140.00,140.00,142.50,142.50,142.02,140.00,125.71,122.50,122.50,120.00,120.00,118.75,118.75,118.75,128.75,126.88,125.00,123.97,119.38,112.50,121.25,118.75,125.00,132.50,147.50,146.25,151.25,146.25,146.25,142.50,134.12,145.00,140.00,140.00,143.75,148.75,148.75,147.50,147.50,146.25,146.25,156.25,151.25,146.77,151.88,151.25,156.25,141.25,141.25,141.25,136.25,156.25,156.25,155.00,188.75,211.25,157.24
....Apayao,"GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"GARLIC, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"ONION RED CREOLE (BERMUDA RED), 1 KG",121.32,109.96,103.63,112.49,98.58,96.05,96.05,96.05,101.10,106.16,103.63,96.05,103.42,96.05,93.52,84.68,87.21,89.74,89.74,89.74,88.47,85.94,88.47,93.53,103.64,90.89,121.33,125.13,116.27,121.33,122.60,126.38,128.91,128.91,128.91,135.24,147.88,160.52,130.28,163.05,141.55,125.13,116.27,115.02,107.44,112.50,115.63,115.63,116.88,118.75,125.63,122.79,160.00,141.43,108.75,74.38,73.75,91.88,88.75,111.25,123.75,145.00,177.50,210.00,125.54,226.88,219.38,202.81,160.23,175.94,175.94,182.50,175.63,192.34,178.75,175.00,190.00,187.95,160.00,143.75,136.25,118.13,95.00,103.75,106.25,115.00,115.00,116.88,116.25,117.50,120.31,126.25,125.00,146.25,123.75,125.00,137.50,137.50,163.75,167.50,170.00,182.50,241.25,153.85
....Apayao,"ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"ONION, NATIVE, 1 KG",83.13,85.00,85.00,87.50,87.50,87.50,88.75,88.75,87.50,86.25,79.38,86.25,86.04,85.00,85.00,88.75,88.75,88.75,88.75,88.75,85.00,84.38,85.00,86.88,97.50,87.71,106.25,105.00,105.63,113.33,113.75,115.00,115.00,115.00,115.00,117.50,127.50,132.50,115.12,137.50,135.00,135.00,130.00,127.50,127.50,121.25,122.50,122.50,122.50,128.75,129.38,128.28,156.25,118.57,101.25,73.75,78.75,93.75,92.86,102.86,111.25,118.75,150.00,193.42,115.96,233.59,193.05,190.22,176.56,164.06,161.88,166.88,178.13,178.13,178.13,170.63,190.00,181.77,161.88,125.63,116.25,115.63,111.88,111.88,114.38,116.25,108.75,110.00,105.00,102.50,116.67,111.25,112.50,122.50,107.50,112.50,116.25,117.50,135.00,135.00,152.50,167.50,185.00,131.25
