Geolocation,Commodity Group,Weights
PHILIPPINES,……Motorcycle,0.642965
PHILIPPINES,……Bicycle and tricycle,0.119270
PHILIPPINES,….Operation Of Personal Transport Equipment,2.467133
PHILIPPINES,……Spare parts and accessories for personal transport equipment (SD),0.196371
PHILIPPINES,……Fuel and lubricants for personal transport equipment (ND),2.050575
PHILIPPINES,……Maintenance and repair of personal transport equipment (S),0.188921
PHILIPPINES,……Other services with respect of personal transport equipment (S),0.031266
PHILIPPINES,….Transport Services,4.828547
PHILIPPINES,……Passenger transport by railway,0.067557
PHILIPPINES,……Passenger transport by road,4.331781
PHILIPPINES,……Passenger transport by air,0.352459
PHILIPPINES,……Passenger transport by sea and inland waterway,0.076750
PHILIPPINES,..COMMUNICATION,2.926449
PHILIPPINES,….Postal Services,0.009327
PHILIPPINES,……Postal services (S),0.009327
PHILIPPINES,….Telephone And Telefax Equipment,0.379591
PHILIPPINES,……Telephone and telefax equipment (S),0.379591
PHILIPPINES,….Telephone And Telefax Services,2.537531
PHILIPPINES,……Telephone and telefax services (S),2.537531
PHILIPPINES,..RECREATION AND CULTURE,1.405984
PHILIPPINES,….Audio-Visual Photography And Information Processing Equipment,0.677562
PHILIPPINES,"……Equipment for the reception, recording and reproduction of sound and pictures (D)",0.336843
PHILIPPINES,……Photographic and cinematographic equipment and optical instruments (D),0.014888
PHILIPPINES,……Information processing equipment (D),0.319990
PHILIPPINES,……Recording media (SD),0.005112
PHILIPPINES,"……Repair of audio-visual, photographic and information processing equipment (S)",0.000730
PHILIPPINES,….Other Major Durables For Recreation And Culture,0.011257
PHILIPPINES,……Musical instruments and major durables for indoor recreation (D),0.011257
PHILIPPINES,"….Other Recreational Items And Equipment, Gardens And Pets",0.122763
PHILIPPINES,"……Games, toys and hobbies (SD)",0.052081
PHILIPPINES,"……Equipment for sport, camping and open-air recreation (SD)",0.002896
PHILIPPINES,"……Gardens, plants and flowers (ND)",0.013965
PHILIPPINES,……Pets and related products (ND),0.053820
PHILIPPINES,….Recreational And Cultural Services,0.200631
PHILIPPINES,……Recreational and sporting services (S),0.004874
PHILIPPINES,……Cultural services (S),0.095806
PHILIPPINES,……Games of chance (S),0.099950
PHILIPPINES,….Newspapers. Books And Stationery,0.393771
PHILIPPINES,……Books (SD),0.160864
PHILIPPINES,……Newspapers and periodicals (ND),0.028213
PHILIPPINES,……Miscellaneous printed matter (ND),0.003917
PHILIPPINES,……Stationery and drawing materials (ND),0.200777
PHILIPPINES,.. EDUCATION,3.283293
PHILIPPINES,….Pre-Primary (Pre-School) And Primary (Elementary) Education,0.701909
PHILIPPINES,……Pre-primary education services (S),0.165881
PHILIPPINES,……Primary education services (S),0.536028
PHILIPPINES,….Secondary (High School) Education,0.640069
PHILIPPINES,……Secondary education services (S),0.640069
PHILIPPINES,….Post-Secondary Non-Tertiary (Technical-Vocational) Education,0.065036
PHILIPPINES,……Post-secondary non-tertiary education services (S),0.065036
PHILIPPINES,….Tertiary (Baccalaureate And Post-Graduate) Education,1.855517
PHILIPPINES,……First stage of tertiary education services (S),1.621090
PHILIPPINES,……Second stage of tertiary education services (S),0.234426
PHILIPPINES,….Education Not Definable By Level,0.020762
PHILIPPINES,……Education services not definable by level (S),0.020762
PHILIPPINES,..RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,12.594468
PHILIPPINES,….Catering Services,8.054250
PHILIPPINES,"……Restaurants, cafes and the like (S)",8.054250
PHILIPPINES,….Personal Care,3.802153
PHILIPPINES,……Hairdressing salons and personal grooming establishments (S),0.557975
PHILIPPINES,……Electric appliances for personal care (SD),0.002645
PHILIPPINES,"……Other appliances, articles and products for personal care (ND)",3.241534
PHILIPPINES,"….Personal Effects, N.E.C.",0.573948
PHILIPPINES,"……Jewellery, clocks and watches (D)",0.076206
PHILIPPINES,……Other personal effects (SD),0.497742
PHILIPPINES,"….Other Services, N.E.C.",0.164117
PHILIPPINES,"……Other services, n.e.c.",0.164117
..NATIONAL CAPITAL REGION (NCR),ALL ITEMS,22.514539
..NATIONAL CAPITAL REGION (NCR),..FOOD AND NON-ALCOHOLIC BEVERAGES,6.416900
..NATIONAL CAPITAL REGION (NCR),….Food,5.777711
..NATIONAL CAPITAL REGION (NCR),……Bread and cereals (ND),1.743155
..NATIONAL CAPITAL REGION (NCR),……..Rice,1.074483
..NATIONAL CAPITAL REGION (NCR),……..Corn,0.017909
..NATIONAL CAPITAL REGION (NCR),"……..Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",0.650763
..NATIONAL CAPITAL REGION (NCR),……Meat (ND),1.313029
..NATIONAL CAPITAL REGION (NCR),……Fish  and Seafood (ND),0.889529
..NATIONAL CAPITAL REGION (NCR),"……Milk, cheese and eggs (ND)",0.640829
..NATIONAL CAPITAL REGION (NCR),……Oils and fats (ND),0.141652
..NATIONAL CAPITAL REGION (NCR),……Fruit (ND),0.264072
..NATIONAL CAPITAL REGION (NCR),……Vegetables (ND),0.426815
..NATIONAL CAPITAL REGION (NCR),"……Sugar, jam, honey, chocolate and confectionery (ND)",0.161278
..NATIONAL CAPITAL REGION (NCR),……Food products n.e.c. (ND),0.197350
..NATIONAL CAPITAL REGION (NCR),….Non-Alcoholic Beverages,0.639189
..NATIONAL CAPITAL REGION (NCR),"……Coffee, tea and cocoa (ND)",0.312919
..NATIONAL CAPITAL REGION (NCR),"……Mineral water, soft drinks, fruit and vegetable juices (ND)",0.326269
..NATIONAL CAPITAL REGION (NCR),".. ALCOHOLIC BEVERAGES, TOBACCO AND OTHER VEGETABLE-BASED TOBACCO PRODUCTS",0.269590
..NATIONAL CAPITAL REGION (NCR),….Alcoholic Beverages,0.121896
..NATIONAL CAPITAL REGION (NCR),……Spirits (ND),0.044307
..NATIONAL CAPITAL REGION (NCR),……Wine (ND),0.003749
..NATIONAL CAPITAL REGION (NCR),……Beer (ND),0.073840
..NATIONAL CAPITAL REGION (NCR),….Tobacco,0.147693
..NATIONAL CAPITAL REGION (NCR),……Tobacco (ND),0.147693
..NATIONAL CAPITAL REGION (NCR),….Other Vegetable-Based Tobacco Products,..
..NATIONAL CAPITAL REGION (NCR),……Other vegetable-based tobacco products,..
..NATIONAL CAPITAL REGION (NCR),NON-FOOD,15.828049
..NATIONAL CAPITAL REGION (NCR),..CLOTHING AND FOOTWEAR,0.588533
..NATIONAL CAPITAL REGION (NCR),….Clothing,0.392022
..NATIONAL CAPITAL REGION (NCR),……Clothing materials (SD),0.001227
..NATIONAL CAPITAL REGION (NCR),……Garments (SD),0.378594
..NATIONAL CAPITAL REGION (NCR),……Other articles of clothing and clothing accessories (SD),0.004316
..NATIONAL CAPITAL REGION (NCR),"……Cleaning, repair and hire of clothing (S)",0.007884
..NATIONAL CAPITAL REGION (NCR),….Footwear,0.196511
..NATIONAL CAPITAL REGION (NCR),……Shoes and other footwear (SD),0.196114
..NATIONAL CAPITAL REGION (NCR),……Repair and hire of footwear (S),0.000397
..NATIONAL CAPITAL REGION (NCR),"..HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",6.499253
..NATIONAL CAPITAL REGION (NCR),….Actual Rentals For Housing,4.153682
..NATIONAL CAPITAL REGION (NCR),……Actual rentals paid by tenants (S),4.153682
..NATIONAL CAPITAL REGION (NCR),….Maintenance And Repair Of The Dwelling,0.088940
..NATIONAL CAPITAL REGION (NCR),……Materials for the maintenance and repair of the dwelling (ND),0.066965
..NATIONAL CAPITAL REGION (NCR),……Services for the maintenance and repair of the dwelling (S),0.021975
..NATIONAL CAPITAL REGION (NCR),….Water Supply And Miscellaneous Services Relating To The Dwelling,0.430778
..NATIONAL CAPITAL REGION (NCR),……Water supply (ND),0.430778
..NATIONAL CAPITAL REGION (NCR),"….Electricity, Gas And Other Fuels",1.825853
..NATIONAL CAPITAL REGION (NCR),……Electricity (ND),1.409051
..NATIONAL CAPITAL REGION (NCR),……Gas (ND),0.341129
..NATIONAL CAPITAL REGION (NCR),……Liquid fuels (ND),0.020258
..NATIONAL CAPITAL REGION (NCR),……Solid fuels (ND),0.055414
..NATIONAL CAPITAL REGION (NCR),"..FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.700604
..NATIONAL CAPITAL REGION (NCR),"….Furniture And Furnishings, Carpets And Other Floor Coverings",0.031546
..NATIONAL CAPITAL REGION (NCR),……Furniture and furnishings (D),0.030867
..NATIONAL CAPITAL REGION (NCR),……Carpets and other floor coverings (D),0.000679
..NATIONAL CAPITAL REGION (NCR),….Household Textiles,0.014591
..NATIONAL CAPITAL REGION (NCR),……Household textiles (SD),0.014591
..NATIONAL CAPITAL REGION (NCR),….Household Appliances,0.069257
..NATIONAL CAPITAL REGION (NCR),……Major household appliances whether electric or not (D),0.053294
..NATIONAL CAPITAL REGION (NCR),……Small electric household appliances (SD),0.014856
..NATIONAL CAPITAL REGION (NCR),……Repair of household appliances (S),0.001107
..NATIONAL CAPITAL REGION (NCR),"….Glassware, Tableware And Household Utensils",0.003689
..NATIONAL CAPITAL REGION (NCR),"……Glassware, tableware and household utensils (SD)",0.003689
..NATIONAL CAPITAL REGION (NCR),….Tools And Equipment For House And Garden,0.000733
..NATIONAL CAPITAL REGION (NCR),……Major tools and equipment (D),0.000367
..NATIONAL CAPITAL REGION (NCR),……Small tools and miscellaneous accessories (SD),0.000367
..NATIONAL CAPITAL REGION (NCR),….Goods And Services For Routine Household Maintenance,0.580787
..NATIONAL CAPITAL REGION (NCR),……Non-durable household goods (ND),0.234459
..NATIONAL CAPITAL REGION (NCR),……Domestic services and household services (S),0.346328
..NATIONAL CAPITAL REGION (NCR),..HEALTH,0.692474
..NATIONAL CAPITAL REGION (NCR),"….Medical Products, Appliances And Equipment",0.357002
..NATIONAL CAPITAL REGION (NCR),……Pharmaceutical Products (ND),0.342208
..NATIONAL CAPITAL REGION (NCR),……Other medical products (ND),0.005341
..NATIONAL CAPITAL REGION (NCR),……Therapeutic appliances and equipment (D),0.009453
..NATIONAL CAPITAL REGION (NCR),….Outpatient Services,0.123580
..NATIONAL CAPITAL REGION (NCR),……Medical services,0.103981
..NATIONAL CAPITAL REGION (NCR),……Dental services (S),0.011711
..NATIONAL CAPITAL REGION (NCR),……Paramedical services (S),0.007888
..NATIONAL CAPITAL REGION (NCR),….Hospital Services,0.211893
..NATIONAL CAPITAL REGION (NCR),……Hospital services (In-Patient Services),0.211893
..NATIONAL CAPITAL REGION (NCR),..TRANSPORT,1.865977
..NATIONAL CAPITAL REGION (NCR),….Purchase Of Vehicles,0.111656
..NATIONAL CAPITAL REGION (NCR),……Motorcycle,0.093085
..NATIONAL CAPITAL REGION (NCR),……Bicycle and tricycle,0.018571
..NATIONAL CAPITAL REGION (NCR),….Operation Of Personal Transport Equipment,0.592392
..NATIONAL CAPITAL REGION (NCR),……Spare parts and accessories for personal transport equipment (SD),0.029243
..NATIONAL CAPITAL REGION (NCR),……Fuel and lubricants for personal transport equipment (ND),0.492679
..NATIONAL CAPITAL REGION (NCR),……Maintenance and repair of personal transport equipment (S),0.039204
..NATIONAL CAPITAL REGION (NCR),……Other services with respect of personal transport equipment (S),0.031266
..NATIONAL CAPITAL REGION (NCR),….Transport Services,1.161928
..NATIONAL CAPITAL REGION (NCR),……Passenger transport by railway,0.067557
..NATIONAL CAPITAL REGION (NCR),……Passenger transport by road,1.031933
..NATIONAL CAPITAL REGION (NCR),……Passenger transport by air,0.058949
..NATIONAL CAPITAL REGION (NCR),……Passenger transport by sea and inland waterway,0.003490
..NATIONAL CAPITAL REGION (NCR),..COMMUNICATION,0.800789
..NATIONAL CAPITAL REGION (NCR),….Postal Services,0.000470
..NATIONAL CAPITAL REGION (NCR),……Postal services (S),0.000470
..NATIONAL CAPITAL REGION (NCR),….Telephone And Telefax Equipment,0.095500
..NATIONAL CAPITAL REGION (NCR),……Telephone and telefax equipment (S),0.095500
..NATIONAL CAPITAL REGION (NCR),….Telephone And Telefax Services,0.704819
..NATIONAL CAPITAL REGION (NCR),……Telephone and telefax services (S),0.704819
..NATIONAL CAPITAL REGION (NCR),..RECREATION AND CULTURE,0.329732
..NATIONAL CAPITAL REGION (NCR),….Audio-Visual Photography And Information Processing Equipment,0.164217
..NATIONAL CAPITAL REGION (NCR),"……Equipment for the reception, recording and reproduction of sound and pictures (D)",0.076165
..NATIONAL CAPITAL REGION (NCR),……Photographic and cinematographic equipment and optical instruments (D),0.004283
..NATIONAL CAPITAL REGION (NCR),……Information processing equipment (D),0.081910
..NATIONAL CAPITAL REGION (NCR),……Recording media (SD),0.001721
..NATIONAL CAPITAL REGION (NCR),"……Repair of audio-visual, photographic and information processing equipment (S)",0.000137
..NATIONAL CAPITAL REGION (NCR),….Other Major Durables For Recreation And Culture,0.000745
..NATIONAL CAPITAL REGION (NCR),……Musical instruments and major durables for indoor recreation (D),0.000745
..NATIONAL CAPITAL REGION (NCR),"….Other Recreational Items And Equipment, Gardens And Pets",0.032579
..NATIONAL CAPITAL REGION (NCR),"……Games, toys and hobbies (SD)",0.015675
..NATIONAL CAPITAL REGION (NCR),"……Equipment for sport, camping and open-air recreation (SD)",0.000807
..NATIONAL CAPITAL REGION (NCR),"……Gardens, plants and flowers (ND)",0.002436
..NATIONAL CAPITAL REGION (NCR),……Pets and related products (ND),0.013660
..NATIONAL CAPITAL REGION (NCR),….Recreational And Cultural Services,0.051835
..NATIONAL CAPITAL REGION (NCR),……Recreational and sporting services (S),0.001855
..NATIONAL CAPITAL REGION (NCR),……Cultural services (S),0.029616
..NATIONAL CAPITAL REGION (NCR),……Games of chance (S),0.020364
..NATIONAL CAPITAL REGION (NCR),….Newspapers. Books And Stationery,0.080357
..NATIONAL CAPITAL REGION (NCR),……Books (SD),0.040470
..NATIONAL CAPITAL REGION (NCR),……Newspapers and periodicals (ND),0.014673
..NATIONAL CAPITAL REGION (NCR),……Miscellaneous printed matter (ND),0.000612
..NATIONAL CAPITAL REGION (NCR),……Stationery and drawing materials (ND),0.024602
..NATIONAL CAPITAL REGION (NCR),.. EDUCATION,0.819286
..NATIONAL CAPITAL REGION (NCR),….Pre-Primary (Pre-School) And Primary (Elementary) Education,0.194411
..NATIONAL CAPITAL REGION (NCR),……Pre-primary education services (S),0.056849
..NATIONAL CAPITAL REGION (NCR),……Primary education services (S),0.137562
..NATIONAL CAPITAL REGION (NCR),….Secondary (High School) Education,0.138460
..NATIONAL CAPITAL REGION (NCR),……Secondary education services (S),0.138460
..NATIONAL CAPITAL REGION (NCR),….Post-Secondary Non-Tertiary (Technical-Vocational) Education,0.014771
..NATIONAL CAPITAL REGION (NCR),……Post-secondary non-tertiary education services (S),0.014771
..NATIONAL CAPITAL REGION (NCR),….Tertiary (Baccalaureate And Post-Graduate) Education,0.461932
..NATIONAL CAPITAL REGION (NCR),……First stage of tertiary education services (S),0.347105
..NATIONAL CAPITAL REGION (NCR),……Second stage of tertiary education services (S),0.114827
..NATIONAL CAPITAL REGION (NCR),….Education Not Definable By Level,0.009712
..NATIONAL CAPITAL REGION (NCR),……Education services not definable by level (S),0.009712
..NATIONAL CAPITAL REGION (NCR),..RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,3.531401
..NATIONAL CAPITAL REGION (NCR),….Catering Services,2.558774
..NATIONAL CAPITAL REGION (NCR),"……Restaurants, cafes and the like (S)",2.558774
..NATIONAL CAPITAL REGION (NCR),….Personal Care,0.828802
..NATIONAL CAPITAL REGION (NCR),……Hairdressing salons and personal grooming establishments (S),0.147448
..NATIONAL CAPITAL REGION (NCR),……Electric appliances for personal care (SD),0.001394
..NATIONAL CAPITAL REGION (NCR),"……Other appliances, articles and products for personal care (ND)",0.679960
..NATIONAL CAPITAL REGION (NCR),"….Personal Effects, N.E.C.",0.111372
..NATIONAL CAPITAL REGION (NCR),"……Jewellery, clocks and watches (D)",0.022918
..NATIONAL CAPITAL REGION (NCR),……Other personal effects (SD),0.088454
..NATIONAL CAPITAL REGION (NCR),"….Other Services, N.E.C.",0.032452
..NATIONAL CAPITAL REGION (NCR),"……Other services, n.e.c.",0.032452
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),ALL ITEMS,77.485461
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),..FOOD AND NON-ALCOHOLIC BEVERAGES,31.920826
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Food,29.679117
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Bread and cereals (ND),11.709644
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……..Rice,8.519081
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……..Corn,0.547452
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"……..Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",2.643112
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Meat (ND),4.936343
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Fish  and Seafood (ND),4.852305
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"……Milk, cheese and eggs (ND)",2.441417
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Oils and fats (ND),0.642761
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Fruit (ND),1.135239
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Vegetables (ND),2.175469
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"……Sugar, jam, honey, chocolate and confectionery (ND)",0.865597
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Food products n.e.c. (ND),0.920341
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Non-Alcoholic Beverages,2.241710
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"……Coffee, tea and cocoa (ND)",1.152724
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"……Mineral water, soft drinks, fruit and vegetable juices (ND)",1.088986
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),".. ALCOHOLIC BEVERAGES, TOBACCO AND OTHER VEGETABLE-BASED TOBACCO PRODUCTS",1.314241
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Alcoholic Beverages,0.529421
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Spirits (ND),0.273623
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Wine (ND),0.051422
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Beer (ND),0.204376
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Tobacco,0.784023
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Tobacco (ND),0.784023
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Other Vegetable-Based Tobacco Products,0.000798
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Other vegetable-based tobacco products,0.000798
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),NON-FOOD,44.250394
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),..CLOTHING AND FOOTWEAR,2.343887
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Clothing,1.633933
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Clothing materials (SD),0.005052
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Garments (SD),1.588594
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Other articles of clothing and clothing accessories (SD),0.015590
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"……Cleaning, repair and hire of clothing (S)",0.024697
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Footwear,0.709954
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Shoes and other footwear (SD),0.708892
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Repair and hire of footwear (S),0.001062
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"..HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",15.536016
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Actual Rentals For Housing,8.730023
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Actual rentals paid by tenants (S),8.730023
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Maintenance And Repair Of The Dwelling,0.458906
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Materials for the maintenance and repair of the dwelling (ND),0.363134
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Services for the maintenance and repair of the dwelling (S),0.095771
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Water Supply And Miscellaneous Services Relating To The Dwelling,0.737850
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Water supply (ND),0.737850
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"….Electricity, Gas And Other Fuels",5.609236
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Electricity (ND),3.391144
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Gas (ND),0.943647
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Liquid fuels (ND),0.113792
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Solid fuels (ND),1.160653
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"..FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",2.247330
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"….Furniture And Furnishings, Carpets And Other Floor Coverings",0.156589
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Furniture and furnishings (D),0.153471
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Carpets and other floor coverings (D),0.003118
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Household Textiles,0.067240
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Household textiles (SD),0.067240
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Household Appliances,0.245035
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Major household appliances whether electric or not (D),0.189868
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Small electric household appliances (SD),0.050541
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Repair of household appliances (S),0.004626
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"….Glassware, Tableware And Household Utensils",0.023590
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),"……Glassware, tableware and household utensils (SD)",0.023590
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Tools And Equipment For House And Garden,0.007360
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Major tools and equipment (D),0.002162
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),……Small tools and miscellaneous accessories (SD),0.005198
..AREAS OUTSIDE NATIONAL CAPITAL REGION (NCR),….Goods And Services For Routine Household Maintenance,1.747515
