Crop,Geolocation,2010 Quarter1,2010 Quarter2,2010 Semester1,2010 Quarter3,2010 Quarter4,2010 Semester2,2010 Annual,2011 Quarter1,2011 Quarter2,2011 Semester1,2011 Quarter3,2011 Quarter4,2011 Semester2,2011 Annual,2012 Quarter1,2012 Quarter2,2012 Semester1,2012 Quarter3,2012 Quarter4,2012 Semester2,2012 Annual,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual,2024 Quarter1,2024 Quarter2,2024 Semester1,2024 Quarter3,2024 Quarter4,2024 Semester2,2024 Annual,2025 Quarter1,2025 Quarter2,2025 Semester1,2025 Quarter3,2025 Quarter4,2025 Semester2,2025 Annual,2026 Quarter1,2026 Quarter2,2026 Semester1,2026 Quarter3,2026 Quarter4,2026 Semester2,2026 Annual
Abaca (dried raw fiber),..REGION VII (CENTRAL VISAYAS),..,..,3095.00,..,..,3087.00,3097.00,..,..,3117.00,..,..,3337.50,3337.50,..,..,3338.00,..,..,3325.00,3338.00,..,..,3325.00,..,..,3264.00,3325.00,..,..,3264.00,..,..,3259.00,3269.00,..,..,3259.00,..,..,3259.00,3259.00,..,..,3259.00,..,..,3259.00,3259.00,..,..,3145.00,..,..,3143.00,3145.00,..,..,3085.00,..,..,3085.00,3085.00,..,..,3085.00,..,..,3085.00,3085.00,..,..,3080.00,..,..,3080.00,3080.00,..,..,3080.00,..,..,3080.00,3080.00,..,..,3030.00,..,..,3030.00,3030.00,..,..,2992.43,..,..,3002.43,3002.43,..,..,150.00,..,..,150.02,150.02,150.02,150.02,150.02,150.00,151.00,151.00,151.02,151.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION VIII (EASTERN VISAYAS),..,..,40127.00,..,..,40602.00,40602.00,..,..,39505.00,..,..,39513.00,39513.00,..,..,37771.00,..,..,36244.00,37780.00,..,..,36237.00,..,..,31281.70,36237.00,..,..,31601.00,..,..,31126.00,31601.00,..,..,30498.60,..,..,30495.50,30498.60,..,..,30478.50,..,..,30665.00,30918.50,..,..,30600.00,..,..,30498.00,30698.00,..,..,30181.00,..,..,30325.00,30325.00,..,..,30298.00,..,..,30317.00,30319.00,..,..,30255.00,..,..,30029.00,30335.00,..,..,30162.00,..,..,30420.36,30802.00,..,..,26710.13,..,..,26129.16,26710.13,..,..,27020.76,..,..,26192.60,27020.86,..,..,26520.23,..,..,26347.00,26543.19,24843.35,24855.00,24855.00,24756.00,24746.00,24756.00,24855.00,24595.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION IX (ZAMBOANGA PENINSULA),..,..,1932.00,..,..,1932.00,1932.00,..,..,1947.00,..,..,1948.00,1948.00,..,..,1955.00,..,..,1955.00,1955.00,..,..,1845.00,..,..,1965.00,1965.00,..,..,1970.00,..,..,1997.00,1997.00,..,..,1972.00,..,..,1973.00,1973.00,..,..,1972.00,..,..,1988.00,1988.00,..,..,1987.00,..,..,1996.00,1996.00,..,..,1999.00,..,..,1999.00,1999.00,..,..,2187.00,..,..,2184.00,2187.00,..,..,2184.21,..,..,2199.47,2199.47,..,..,2211.18,..,..,2214.65,2214.65,..,..,2212.26,..,..,2215.73,2216.73,..,..,2218.83,..,..,2216.47,2222.30,..,..,2222.04,..,..,2222.04,2222.04,2222.04,2213.48,2637.62,2216.19,2216.19,2216.19,2640.33,7489.84,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION X (NORTHERN MINDANAO),..,..,4824.00,..,..,4814.00,4834.00,..,..,4786.00,..,..,4816.00,4816.00,..,..,5361.00,..,..,5176.00,5376.00,..,..,5376.00,..,..,5181.00,5381.00,..,..,5176.00,..,..,5194.00,5194.00,..,..,5196.00,..,..,5196.00,5196.00,..,..,5195.00,..,..,5195.00,5195.00,..,..,5195.00,..,..,5280.00,5280.00,..,..,5196.50,..,..,5196.50,5196.50,..,..,5103.00,..,..,5106.00,5106.00,..,..,5091.37,..,..,5093.48,5093.49,..,..,5100.08,..,..,5100.87,5107.76,..,..,5106.00,..,..,5623.78,5643.78,..,..,5624.89,..,..,5623.30,5629.30,..,..,5633.30,..,..,5633.40,5633.70,5663.40,5663.40,5663.40,5663.40,5663.40,5663.40,5663.40,5663.40,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION XI (DAVAO REGION),..,..,12165.00,..,..,12166.00,12166.00,..,..,13536.00,..,..,13544.00,13544.00,..,..,14015.00,..,..,13391.63,14624.00,..,..,13178.00,..,..,13187.00,13187.00,..,..,13805.00,..,..,13808.00,13808.00,..,..,13929.00,..,..,13919.00,13929.00,..,..,13925.00,..,..,13924.00,13925.00,..,..,14073.00,..,..,14079.00,14083.00,..,..,14078.00,..,..,14084.00,14092.00,..,..,14198.38,..,..,14121.77,14200.38,..,..,14196.22,..,..,14201.19,14210.36,..,..,14214.22,..,..,14215.22,14216.22,..,..,14215.22,..,..,14218.22,14218.22,..,..,14186.51,..,..,14156.09,14186.51,..,..,14177.95,..,..,14173.98,14177.95,14179.52,14208.76,14254.45,14210.52,14209.45,14210.52,14256.21,14207.32,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION XII (SOCCSKSARGEN),..,..,4582.00,..,..,4582.00,4582.00,..,..,4614.00,..,..,4591.00,4615.00,..,..,5213.00,..,..,5899.00,5899.00,..,..,5922.25,..,..,5924.25,5924.25,..,..,5975.25,..,..,6002.00,6002.25,..,..,6008.13,..,..,6017.50,6017.50,..,..,6002.50,..,..,5999.50,6002.50,..,..,6012.92,..,..,6027.92,6027.92,..,..,6003.00,..,..,6237.00,6237.00,..,..,6237.00,..,..,6228.00,6241.00,..,..,6215.20,..,..,6242.00,6242.00,..,..,6232.00,..,..,6268.00,6269.00,..,..,6236.00,..,..,6281.00,6281.00,..,..,6255.00,..,..,6270.00,6270.00,..,..,6146.50,..,..,6277.00,6282.00,6282.00,6283.00,6283.00,6278.00,5353.20,6278.00,6283.00,6368.10,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION XIII (CARAGA),..,..,9870.00,..,..,11780.00,11780.00,..,..,9069.00,..,..,10949.00,10949.00,..,..,9911.00,..,..,9911.00,9911.00,..,..,10387.00,..,..,10437.00,10437.00,..,..,10447.00,..,..,10147.00,10447.00,..,..,10477.00,..,..,10477.00,10477.00,..,..,10482.00,..,..,10482.00,10482.00,..,..,10482.00,..,..,10482.00,10482.00,..,..,10501.90,..,..,10995.00,10995.00,..,..,11040.00,..,..,11040.00,11040.00,..,..,11040.00,..,..,11042.00,11042.00,..,..,11038.00,..,..,11038.00,11038.00,..,..,10910.04,..,..,10920.00,10920.00,..,..,10920.00,..,..,11420.00,11420.00,..,..,11420.00,..,..,11420.00,11420.00,11464.00,11491.00,11491.00,11491.00,11491.00,11491.00,11491.00,11491.00,..,..,..,..,..,..
Coconut,PHILIPPINES,..,..,3552363.49,..,..,3558608.47,3575944.47,..,..,3550988.01,..,..,3561827.11,3561981.11,..,..,3559523.11,..,..,3518373.28,3574613.61,..,..,3537337.94,..,..,3422283.30,3551298.83,..,..,3446724.17,..,..,3498086.47,3502011.47,..,..,3509516.40,..,..,3517398.07,3517742.85,..,..,3555742.17,..,..,3562592.65,3565059.37,..,..,3600353.17,..,..,3610404.77,3612304.29,..,..,3620515.54,..,..,3626517.38,3628134.38,..,..,3635013.43,..,..,3647035.07,3651873.03,..,..,3645768.84,..,..,3641934.68,3651288.76,..,..,3645250.46,..,..,3618632.15,3646911.57,..,..,3594467.54,..,..,3592660.96,3604205.71,..,..,3617316.91,..,..,3645037.65,3665184.68,..,..,3660195.93,..,..,3664796.02,3733402.11,3514264.82,3516994.63,3572622.75,3672853.94,3668903.25,3677969.16,3736387.25,3676160.16,..,..,..,..,..,..
Coconut,..CORDILLERA ADMINISTRATIVE REGION (CAR),..,..,281.00,..,..,280.00,281.00,..,..,285.00,..,..,285.00,285.00,..,..,286.00,..,..,300.00,300.00,..,..,331.00,..,..,332.00,332.00,..,..,332.00,..,..,362.00,362.00,..,..,362.00,..,..,375.00,378.00,..,..,375.00,..,..,330.00,375.00,..,..,330.00,..,..,333.12,333.12,..,..,333.00,..,..,331.00,334.00,..,..,319.00,..,..,318.00,321.00,..,..,317.02,..,..,320.00,320.00,..,..,320.35,..,..,323.00,323.35,..,..,323.35,..,..,324.35,324.35,..,..,324.35,..,..,309.35,324.35,..,..,322.19,..,..,323.19,323.19,321.19,321.19,321.19,321.19,321.19,321.19,321.19,321.19,..,..,..,..,..,..
Coconut,..REGION I (ILOCOS REGION),..,..,11600.00,..,..,11733.00,11740.00,..,..,11911.01,..,..,11911.11,11911.11,..,..,11986.11,..,..,11986.11,11986.11,..,..,12013.41,..,..,12182.20,12182.20,..,..,12434.00,..,..,12434.00,12434.00,..,..,12430.88,..,..,12390.60,12430.88,..,..,12476.02,..,..,12478.98,12692.78,..,..,12490.17,..,..,12498.17,12498.17,..,..,12530.95,..,..,12541.17,12541.17,..,..,12530.95,..,..,12540.95,12540.95,..,..,12540.95,..,..,12541.95,12541.95,..,..,12541.95,..,..,12577.43,12577.43,..,..,12577.43,..,..,12577.48,12577.48,..,..,12577.48,..,..,12594.48,12594.48,..,..,12869.74,..,..,13083.74,13083.74,13086.03,13086.03,13086.03,12863.00,12863.00,12863.00,13160.29,12863.00,..,..,..,..,..,..
Coconut,..REGION II (CAGAYAN VALLEY),..,..,13661.00,..,..,13661.00,13661.00,..,..,13761.00,..,..,13781.00,13781.00,..,..,14539.00,..,..,14591.00,14591.00,..,..,14735.00,..,..,14973.00,15044.00,..,..,15008.00,..,..,15011.00,15011.00,..,..,15131.00,..,..,15131.00,15131.00,..,..,15185.00,..,..,15149.00,15245.00,..,..,15167.00,..,..,15189.00,15189.00,..,..,15189.00,..,..,15413.00,15413.00,..,..,15378.00,..,..,15382.00,15382.00,..,..,15394.00,..,..,15394.00,15394.00,..,..,15409.00,..,..,15423.00,15438.00,..,..,15430.00,..,..,15430.00,15430.00,..,..,15430.00,..,..,15430.00,15430.00,..,..,15433.00,..,..,15433.00,15433.00,15422.00,15422.00,15422.00,15422.00,15422.00,15422.00,15422.00,15422.00,..,..,..,..,..,..
Coconut,..REGION III (CENTRAL LUZON),..,..,24088.00,..,..,24088.00,24088.00,..,..,24088.00,..,..,24068.00,24088.00,..,..,24068.00,..,..,24048.00,24068.00,..,..,24037.00,..,..,23795.00,24037.00,..,..,23805.00,..,..,26305.00,26305.00,..,..,26489.50,..,..,26538.00,26539.50,..,..,27868.00,..,..,26822.83,27873.00,..,..,26878.00,..,..,28082.48,28126.00,..,..,28098.88,..,..,28126.21,28126.21,..,..,28126.11,..,..,28117.12,28128.71,..,..,28129.10,..,..,28114.52,28129.10,..,..,28120.03,..,..,28116.06,28121.62,..,..,28114.73,..,..,28116.64,28116.73,..,..,28100.54,..,..,28100.45,28100.54,..,..,28097.72,..,..,28099.48,28099.72,28644.18,30083.75,30083.75,30083.75,30082.25,30083.75,30083.75,30082.25,..,..,..,..,..,..
Coconut,..REGION IV-A (CALABARZON),..,..,438673.00,..,..,438653.00,438673.00,..,..,438253.00,..,..,438253.00,438253.00,..,..,438733.00,..,..,438693.00,438733.00,..,..,438640.00,..,..,440492.00,440640.00,..,..,444940.00,..,..,448900.00,451100.00,..,..,448905.00,..,..,448905.00,448905.00,..,..,485207.65,..,..,485208.00,485208.00,..,..,485208.00,..,..,485211.00,485211.00,..,..,485191.00,..,..,485191.00,485191.00,..,..,485187.00,..,..,485197.00,485197.00,..,..,483392.00,..,..,482164.00,483398.00,..,..,482482.00,..,..,482482.00,482482.00,..,..,482933.00,..,..,482733.00,482933.00,..,..,482733.00,..,..,483329.00,483329.00,..,..,484880.00,..,..,484797.00,484880.00,484795.00,484730.00,484795.00,484780.00,489257.15,489257.15,489322.15,489932.15,..,..,..,..,..,..
Coconut,..MIMAROPA REGION,..,..,179625.00,..,..,181733.00,181784.00,..,..,182183.00,..,..,192684.00,192687.00,..,..,195734.00,..,..,199431.00,199434.00,..,..,199466.00,..,..,199927.00,199966.00,..,..,199750.00,..,..,204106.00,204106.00,..,..,208813.00,..,..,208822.00,209118.00,..,..,208250.00,..,..,214629.25,214650.00,..,..,214735.00,..,..,215521.00,216939.00,..,..,216221.00,..,..,219225.00,219225.00,..,..,218969.00,..,..,222975.00,222984.00,..,..,223372.00,..,..,215910.50,223764.00,..,..,215557.20,..,..,213451.43,215926.50,..,..,213769.83,..,..,214901.33,214906.83,..,..,217446.09,..,..,214919.70,224481.70,..,..,225435.61,..,..,225068.61,225575.61,224901.61,224896.61,224901.61,224895.61,224892.41,224895.61,224901.61,224857.41,..,..,..,..,..,..
Coconut,..REGION V (BICOL REGION),..,..,452319.00,..,..,452679.00,452679.00,..,..,452318.00,..,..,452681.00,452681.00,..,..,452701.00,..,..,453360.00,453501.00,..,..,452967.00,..,..,452967.00,452967.00,..,..,453704.00,..,..,453466.00,453704.00,..,..,454013.00,..,..,454013.00,454013.00,..,..,454013.00,..,..,454349.00,454349.00,..,..,454013.00,..,..,453995.00,454020.00,..,..,453994.00,..,..,453994.00,453994.00,..,..,453957.00,..,..,453994.00,453994.00,..,..,453957.16,..,..,453995.10,453995.10,..,..,453945.84,..,..,453989.00,453994.00,..,..,453948.33,..,..,454082.84,454086.84,..,..,452658.31,..,..,456591.96,456656.82,..,..,456661.82,..,..,392288.05,456667.33,392205.05,392924.65,392924.65,392182.05,387137.81,392182.05,392924.65,391172.57,..,..,..,..,..,..
Coconut,..REGION VI (WESTERN VISAYAS),..,..,119922.00,..,..,119922.00,119922.00,..,..,120774.00,..,..,120774.00,120774.00,..,..,121153.00,..,..,121103.00,121153.00,..,..,127069.53,..,..,101202.00,127244.53,..,..,108832.07,..,..,108832.07,108832.07,..,..,109437.62,..,..,109438.07,109438.07,..,..,109921.00,..,..,109972.00,109972.00,..,..,110442.00,..,..,110442.00,110442.00,..,..,116017.71,..,..,116018.00,116018.00,..,..,126749.26,..,..,127971.00,128512.26,..,..,127595.00,..,..,127730.00,127730.00,..,..,129227.00,..,..,129259.00,129347.00,..,..,130597.00,..,..,130779.00,130779.00,..,..,131437.00,..,..,131437.00,131437.00,..,..,88387.00,..,..,85938.00,88388.00,103925.95,103925.95,103925.95,103925.95,103925.95,103925.95,103925.95,103981.00,..,..,..,..,..,..
Coconut,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94780.10,..,..,94780.10,94780.10,94774.10,94774.10,94774.10,94774.10,94774.10,94774.10,94774.10,95876.14,..,..,..,..,..,..
Coconut,..REGION VII (CENTRAL VISAYAS),..,..,128677.00,..,..,128533.00,128677.00,..,..,128533.00,..,..,128518.00,128533.00,..,..,128660.00,..,..,128631.00,128660.00,..,..,128631.00,..,..,126345.00,128666.00,..,..,126347.00,..,..,124950.00,126347.00,..,..,124950.00,..,..,124950.00,124950.00,..,..,124920.00,..,..,124940.00,124940.00,..,..,124940.00,..,..,124930.00,124940.00,..,..,124965.00,..,..,124775.00,125025.00,..,..,124775.00,..,..,124775.00,124775.00,..,..,124775.00,..,..,127775.00,127775.00,..,..,127775.00,..,..,119248.00,127805.00,..,..,104050.00,..,..,112050.00,112050.00,..,..,112371.10,..,..,134709.55,134709.55,..,..,83850.00,..,..,83850.00,83850.00,85768.45,85768.45,85768.45,84250.00,80248.00,84250.00,85768.45,80248.00,..,..,..,..,..,..
Coconut,..REGION VIII (EASTERN VISAYAS),..,..,433539.00,..,..,417781.00,434539.00,..,..,417783.00,..,..,417777.00,417786.00,..,..,418547.00,..,..,419540.00,419540.00,..,..,419590.00,..,..,322089.00,419640.00,..,..,322039.00,..,..,322044.00,322089.00,..,..,322000.00,..,..,322046.00,322050.00,..,..,320184.00,..,..,320201.00,320201.00,..,..,320707.00,..,..,328774.00,328777.00,..,..,329717.00,..,..,329717.00,329717.00,..,..,329339.00,..,..,329620.00,329620.00,..,..,328782.00,..,..,330140.00,330140.00,..,..,333195.00,..,..,333358.00,333448.00,..,..,323321.15,..,..,312684.39,323458.55,..,..,327294.27,..,..,339577.40,340825.40,..,..,332363.87,..,..,339146.60,339146.60,331787.26,332349.91,332349.91,332349.91,332386.65,332386.65,332386.65,332386.65,..,..,..,..,..,..
