Crop,Geolocation,2010 Quarter1,2010 Quarter2,2010 Semester1,2010 Quarter3,2010 Quarter4,2010 Semester2,2010 Annual,2011 Quarter1,2011 Quarter2,2011 Semester1,2011 Quarter3,2011 Quarter4,2011 Semester2,2011 Annual,2012 Quarter1,2012 Quarter2,2012 Semester1,2012 Quarter3,2012 Quarter4,2012 Semester2,2012 Annual,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual,2024 Quarter1,2024 Quarter2,2024 Semester1,2024 Quarter3,2024 Quarter4,2024 Semester2,2024 Annual,2025 Quarter1,2025 Quarter2,2025 Semester1,2025 Quarter3,2025 Quarter4,2025 Semester2,2025 Annual,2026 Quarter1,2026 Quarter2,2026 Semester1,2026 Quarter3,2026 Quarter4,2026 Semester2,2026 Annual
Abaca (dried raw fiber),..REGION VII (CENTRAL VISAYAS),129.51,81.68,211.19,84.85,36.30,121.15,332.34,117.84,75.90,193.74,123.31,80.02,203.33,397.07,122.24,110.68,232.92,120.69,60.64,181.33,414.25,137.73,113.69,251.42,106.10,57.05,163.15,414.57,139.54,128.25,267.79,97.80,127.38,225.18,492.97,143.60,158.16,301.76,105.36,148.07,253.43,555.19,154.72,175.99,330.71,100.05,76.72,176.77,507.48,143.04,216.15,359.19,118.89,79.65,198.53,557.72,89.18,201.59,290.77,121.03,92.42,213.45,504.22,67.71,157.29,225.00,87.28,89.75,177.03,402.03,57.92,67.98,125.90,51.33,51.12,102.45,228.35,38.76,73.25,112.01,88.72,47.38,136.10,248.11,31.48,47.88,79.37,69.12,35.08,104.20,183.57,26.06,35.72,61.78,52.63,56.98,109.61,171.39,1.54,1.77,3.31,1.69,1.24,2.93,6.24,0.77,0.54,1.31,0.89,1.20,2.09,3.40,0.80,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION VIII (EASTERN VISAYAS),4944.35,6141.33,11085.68,4519.65,4721.09,9240.74,20326.42,4576.67,5922.68,10499.35,4968.88,4555.20,9524.08,20023.43,4300.57,5847.84,10148.41,4918.18,4124.28,9042.46,19190.87,3809.30,5481.64,9290.94,4579.90,2726.58,7306.48,16597.42,2856.65,3977.72,6834.37,3317.62,2697.26,6014.88,12849.25,2825.97,3856.02,6681.99,3326.67,2743.93,6070.60,12752.59,2516.62,3810.31,6326.93,3311.15,2854.53,6165.68,12492.61,2572.09,3780.17,6352.26,3267.92,3050.89,6318.81,12671.07,2575.98,3728.62,6304.60,3227.52,3017.21,6244.73,12549.33,2625.73,3695.56,6321.29,3275.68,3016.46,6292.15,12613.43,2244.27,3574.54,5818.81,3284.62,3032.95,6317.58,12136.39,2231.90,3551.65,5783.55,3340.24,3043.88,6384.11,12167.66,1645.38,2850.68,4496.06,3025.27,2887.03,5912.29,10408.35,1827.88,2873.06,4700.94,3195.53,2931.56,6127.09,10828.03,1823.67,2856.52,4680.19,3137.17,2885.72,6022.89,10703.08,1812.00,2929.53,4741.54,2974.80,2751.41,5726.21,10467.75,1553.17,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION IX (ZAMBOANGA PENINSULA),58.54,56.69,115.23,49.71,66.02,115.73,230.96,67.03,130.98,198.01,201.01,231.75,432.76,630.77,147.23,158.33,305.56,157.35,212.39,369.74,675.30,128.50,116.75,245.25,151.88,192.41,344.29,589.54,147.50,150.69,298.19,156.13,224.23,380.36,678.55,127.87,155.07,282.94,173.76,220.08,393.84,676.78,129.83,155.79,285.62,125.50,186.04,311.54,597.16,136.52,160.75,297.27,129.62,180.44,310.06,607.32,134.90,160.19,295.09,136.02,178.65,314.68,609.77,147.37,204.81,352.18,162.40,195.05,357.44,709.63,167.11,195.72,362.84,175.77,222.35,398.12,760.96,171.27,213.63,384.90,183.51,219.28,402.79,787.69,181.90,238.71,420.61,182.42,218.46,400.88,821.49,180.33,222.19,402.53,182.19,229.38,411.57,814.10,134.11,211.39,345.50,189.47,218.56,408.03,753.52,133.10,221.55,354.66,188.43,185.94,374.37,729.02,1085.24,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION X (NORTHERN MINDANAO),401.73,471.28,873.01,448.25,446.62,894.87,1767.88,400.01,462.43,862.44,509.50,452.83,962.33,1824.77,517.14,486.05,1003.19,470.02,569.50,1039.52,2042.71,517.94,595.80,1113.74,557.14,573.00,1130.14,2243.88,630.79,926.75,1557.54,722.02,840.80,1562.82,3120.36,640.00,953.75,1593.75,737.50,867.32,1604.82,3198.57,674.80,1009.65,1684.45,753.62,878.86,1632.48,3316.93,715.30,1066.59,1781.89,759.00,876.58,1635.58,3417.47,747.11,1078.95,1826.06,769.91,886.42,1656.33,3482.39,764.69,1062.93,1827.62,786.22,900.69,1686.91,3514.53,786.82,1090.28,1877.10,827.62,1091.57,1919.19,3796.29,878.02,1329.27,2207.29,1407.63,1107.16,2514.79,4722.08,1125.97,1230.06,2356.03,1418.55,1018.46,2437.01,4793.04,1263.67,1348.59,2612.26,1419.46,1314.52,2733.98,5346.24,1658.32,1203.52,2861.84,1510.68,1336.41,2847.09,5708.93,1654.65,1320.49,2975.14,1553.43,1350.49,2903.92,5879.06,1962.61,..,..,..,..,..,..
Coconut (w/ husk),PHILIPPINES,3646506.10,3636485.44,7282991.54,4114704.44,4112586.63,8227291.07,15510282.61,3421769.00,3515521.89,6937290.89,4103905.57,4203412.84,8307318.41,15244609.30,3616454.43,3686141.21,7302595.64,4296023.57,4265181.71,8561205.28,15863800.92,3580436.86,3600162.08,7180598.95,4161975.53,4011759.71,8173735.24,15354334.19,3337796.52,3433514.44,6771310.96,3941077.77,3983909.63,7924987.40,14696298.35,3353863.15,3427899.84,6781762.99,3980513.62,3972912.38,7953426.00,14735188.98,3198055.76,3184916.71,6382972.47,3687925.56,3754182.05,7442107.61,13825080.08,3073790.87,3207093.78,6280884.65,3838496.23,3929750.18,7768246.41,14049131.06,3305547.94,3339609.98,6645157.92,4031255.88,4049751.63,8081007.51,14726165.43,3308413.64,3324132.89,6632546.53,4059701.25,4072809.27,8132510.53,14765057.06,3167376.19,3263683.62,6431059.81,4002313.99,4057548.89,8059862.88,14490922.69,3141863.25,3292040.27,6433903.52,4080569.07,4202821.33,8283390.39,14717293.91,3204615.66,3359294.26,6563909.93,4123176.24,4244072.13,8367248.37,14931158.30,3256589.45,3409787.56,6666377.01,4062792.63,4163458.76,8226251.39,14892628.40,3148929.68,3272704.44,6421634.11,4060383.99,4018398.14,8078782.14,14500416.25,3139208.24,3371106.52,6510314.76,3973310.97,4022981.36,7996292.33,14506607.09,3183585.35,..,..,..,..,..,..
Coconut (w/ husk),..CORDILLERA ADMINISTRATIVE REGION (CAR),185.25,261.15,446.40,181.11,286.47,467.58,913.98,186.44,259.85,446.29,181.45,279.50,460.95,907.24,189.04,262.64,451.68,191.26,309.29,500.55,952.23,208.24,347.14,555.38,206.89,316.51,523.40,1078.78,223.05,362.85,585.91,213.47,373.59,587.06,1172.97,237.10,363.76,600.86,198.89,365.32,564.20,1165.07,240.61,364.84,605.45,196.19,235.75,431.94,1037.39,222.29,338.75,561.04,183.37,237.00,420.37,981.41,239.89,353.39,593.28,182.19,166.79,348.97,942.25,219.39,322.50,541.89,189.13,181.52,370.65,912.54,258.39,338.25,596.64,225.48,202.01,427.49,1024.13,266.39,342.93,609.32,237.71,217.61,455.32,1064.64,273.48,371.16,644.64,252.06,236.88,488.94,1133.58,266.54,358.12,624.66,238.55,285.09,523.64,1148.30,255.62,344.17,599.79,274.85,268.68,543.53,1143.32,245.24,338.77,584.01,317.87,239.77,557.64,1141.64,246.15,..,..,..,..,..,..
Coconut (w/ husk),..REGION I (ILOCOS REGION),10158.02,6076.01,16234.03,9693.42,11451.45,21144.88,37378.91,10365.96,6244.93,16610.89,9904.25,11960.89,21865.14,38476.03,10267.57,6372.16,16639.73,10096.01,12580.25,22676.27,39315.99,10634.19,6595.32,17229.51,10287.20,12965.61,23252.81,40482.32,10826.83,6980.32,17807.15,9754.91,13415.65,23170.56,40977.71,10219.41,6903.18,17122.60,10043.56,12297.74,22341.30,39463.90,10168.58,7182.73,17351.31,10019.20,12787.62,22806.82,40158.12,10016.47,7837.43,17853.90,11495.67,14275.24,25770.91,43624.80,9754.81,8522.62,18277.43,10747.67,13456.77,24204.44,42481.87,10030.17,8232.54,18262.71,10578.58,13780.06,24358.63,42621.35,10057.07,8342.66,18399.73,10990.44,14622.26,25612.70,44012.42,10372.10,8552.32,18924.42,11532.82,13871.69,25404.50,44328.92,10908.22,8885.03,19793.26,12524.93,14908.72,27433.65,47226.90,10579.80,8886.08,19465.88,11864.56,17129.41,28993.97,48459.85,10936.49,9176.85,20113.34,12325.48,16811.72,29137.20,49250.54,11460.03,9430.98,20891.01,12463.61,17807.22,30270.83,51161.84,11618.33,..,..,..,..,..,..
Coconut (w/ husk),..REGION II (CAGAYAN VALLEY),16589.98,17966.09,34556.07,19198.07,13566.13,32764.20,67320.27,13550.44,15938.55,29488.99,16824.83,13447.28,30272.11,59761.10,14730.24,17257.06,31987.30,17812.34,16433.13,34245.47,66232.77,17826.90,18600.04,36426.94,18201.50,16932.26,35133.76,71560.70,18798.56,18675.54,37474.10,18996.63,17901.45,36898.08,74372.18,19278.11,19672.85,38950.96,19911.93,18255.25,38167.18,77118.14,17688.94,19886.69,37575.63,20207.00,19394.70,39601.70,77177.33,15666.01,17633.83,33299.85,18840.53,21654.19,40494.72,73794.57,17290.60,18428.11,35718.71,19405.35,18731.16,38136.51,73855.22,15816.47,18314.28,34130.75,19436.30,19066.92,38503.22,72633.98,17309.88,17217.50,34527.38,22382.07,21807.07,44189.14,78716.52,17541.25,19193.89,36735.14,23151.80,22776.64,45928.44,82663.58,17441.60,20075.31,37516.91,23474.77,23123.55,46598.32,84115.23,18654.94,21433.58,40088.52,23735.86,23550.29,47286.15,87374.67,19045.80,22157.18,41202.98,23088.32,19221.81,42310.13,83513.11,17290.62,21653.19,38943.81,21614.88,19864.99,41479.87,80423.67,17389.64,..,..,..,..,..,..
Coconut (w/ husk),..REGION III (CENTRAL LUZON),40355.80,60462.61,100818.41,48798.42,60825.48,109623.90,210442.31,41169.76,64634.99,105804.75,49805.21,57038.31,106843.52,212648.27,39204.96,64174.95,103379.91,47282.96,58362.18,105645.14,209025.05,38006.70,62427.24,100433.94,27764.09,51162.19,78926.28,179360.22,34388.07,58918.36,93306.43,33121.94,62746.07,95868.01,189174.44,37390.58,60042.74,97433.32,38372.61,31931.88,70304.49,167737.81,13674.98,26010.79,39685.77,35903.86,25165.02,61068.88,100754.65,11068.18,23495.77,34563.95,36974.34,34985.31,71959.65,106523.60,13531.09,23792.64,37323.73,41888.41,28859.47,70747.88,108071.61,13724.09,32653.71,46377.80,41380.02,30643.32,72023.34,118401.14,13867.42,30271.20,44138.62,39749.23,27951.70,67700.93,111839.55,8834.41,24496.74,33331.15,36055.84,31469.27,67525.11,100856.26,10070.87,25502.34,35573.21,34638.45,31266.27,65904.72,101477.93,8618.50,28118.36,36736.86,34927.43,21139.58,56067.00,92803.86,10030.90,23870.38,33901.28,27942.89,25494.58,53437.48,87338.76,6508.30,20031.53,26539.83,13138.25,12603.00,25741.24,52281.07,5953.30,..,..,..,..,..,..
Coconut (w/ husk),..REGION IV-A (CALABARZON),287965.98,295886.57,583852.55,466698.28,344086.87,810785.15,1394637.70,269324.34,279352.32,548676.66,481211.65,360965.48,842177.13,1390853.79,272585.36,287878.55,560463.91,492858.48,364116.58,856975.06,1417438.97,276498.28,285634.01,562132.29,494484.40,378187.04,872671.44,1434803.73,262260.24,263402.94,525663.18,511178.17,343649.64,854827.81,1380490.99,243977.20,249396.20,493373.40,514457.74,371466.65,885924.40,1379297.80,281964.47,328735.89,610700.36,523687.88,383025.74,906713.62,1517413.98,267993.24,329332.72,597325.95,575664.42,376317.64,951982.06,1549308.02,306777.16,339482.87,646260.03,647651.00,385868.31,1033519.31,1679779.34,305786.35,337441.94,643228.29,626085.84,374164.62,1000250.46,1643478.75,209001.32,319284.80,528286.12,611741.54,353038.99,964780.53,1493066.65,201699.39,316686.35,518385.74,630282.07,360914.44,991196.51,1509582.24,203878.63,325309.14,529187.77,645934.28,353775.80,999710.08,1528897.85,208719.82,322295.81,531015.63,658605.88,356822.64,1015428.52,1546444.15,202109.52,292185.96,494295.48,648212.78,341035.39,989248.17,1483543.65,211805.27,349343.65,561148.92,547028.08,410530.59,957558.67,1518707.59,265727.76,..,..,..,..,..,..
Coconut (w/ husk),..MIMAROPA REGION,111378.27,131280.73,242659.00,114225.86,302334.40,416560.26,659219.26,109027.71,133389.72,242417.43,118909.76,351572.55,470482.31,712899.74,110100.44,141159.11,251259.55,123987.44,370241.55,494228.99,745488.54,113308.93,158252.52,271561.45,132535.21,375037.88,507573.09,779134.54,107136.07,161113.20,268249.27,131643.39,407036.31,538679.70,806928.97,113241.73,170757.80,283999.53,140791.88,393354.71,534146.59,818146.12,101064.04,153837.12,254901.16,128978.81,374868.48,503847.29,758748.45,103164.00,163630.78,266794.78,129880.35,375803.41,505683.76,772478.55,104614.10,171808.03,276422.13,133173.64,381081.95,514255.59,790677.72,108300.98,163736.68,272037.66,135984.37,383098.70,519083.07,791120.73,96784.32,162397.45,259181.78,124203.64,375983.51,500187.15,759368.93,101589.86,163517.03,265106.89,136797.96,401452.50,538250.46,803357.35,112226.22,184574.17,296800.39,168967.67,440154.46,609122.13,905922.52,115602.52,192584.36,308186.88,113619.12,375055.48,488674.60,796861.48,119468.98,188958.68,308427.65,131737.57,360703.10,492440.67,800868.32,122761.34,188778.21,311539.54,130259.47,373262.88,503522.35,815061.90,128729.70,..,..,..,..,..,..
