Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,"FRESH FRUIT, MANGO, NATIVE, RIPE, MEDIUM, 1 KG",79.79,89.95,91.81,90.24,84.86,73.39,76.78,76.63,78.07,78.70,79.97,80.73,81.75,89.35,87.82,89.00,87.34,85.23,55.09,53.88,62.36,63.04,64.04,79.65,80.77,74.80,93.80,90.24,98.58,96.33,81.10,72.57,67.16,72.79,75.88,78.31,83.52,99.74,84.17,100.75,107.12,102.56,102.46,91.20,72.60,76.60,77.93,83.08,83.83,84.08,89.29,89.29,117.96,125.36,118.59,105.57,92.86,94.97,98.55,97.05,116.04,117.32,125.79,142.41,112.71,138.85,146.07,138.82,134.96,108.86,96.47,95.23,108.88,113.38,121.24,124.17,133.84,121.73,136.76,133.46,136.20,119.43,89.74,55.77,88.54,109.46,114.21,116.96,121.59,129.21,112.61,154.75,147.82,135.14,114.29,112.93,102.21,103.54,109.00,117.68,124.79,133.59,131.35,123.92,143.28,144.85,140.31,122.33,112.14,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",116.98,121.92,123.31,117.07,100.81,94.36,88.99,86.34,98.01,99.91,105.50,97.19,104.20,101.89,107.26,109.21,102.60,101.05,80.70,76.34,96.08,115.97,124.07,126.95,123.90,105.50,126.89,127.57,128.29,126.03,112.30,100.68,103.41,109.79,111.48,111.32,112.09,117.12,115.58,126.99,133.75,135.23,126.24,115.97,102.34,113.85,115.05,116.09,118.28,130.73,145.00,123.29,133.95,124.72,119.39,114.44,107.71,111.77,114.47,127.39,134.24,144.02,152.15,157.51,128.48,151.50,146.81,149.27,138.83,124.49,118.54,111.36,123.96,144.69,161.56,160.94,154.79,140.56,164.17,149.89,145.93,138.44,127.61,106.08,116.56,135.00,167.08,189.58,178.58,182.75,150.14,175.98,152.63,139.25,141.27,130.65,126.56,125.13,121.44,146.47,147.56,146.25,149.38,141.88,153.75,158.60,152.19,137.35,122.35,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, MANGO, RIPE, MEDIUM, 1 KG",111.18,115.96,119.62,127.64,117.36,107.12,100.97,106.83,111.31,106.49,111.72,111.84,112.34,110.74,109.03,106.57,105.96,100.13,77.66,76.65,95.88,109.98,123.42,127.05,123.26,105.53,119.71,123.97,126.59,122.84,106.44,89.73,96.35,98.45,110.47,117.87,122.94,123.14,113.21,148.73,146.11,139.61,138.25,113.36,107.50,117.85,124.54,131.34,132.97,138.43,142.03,131.73,149.87,145.51,136.12,127.37,118.37,128.63,139.26,152.98,156.87,158.39,163.04,162.72,144.93,161.43,168.21,160.34,155.77,140.76,128.40,127.71,135.72,155.48,170.34,172.27,166.28,153.56,174.31,170.31,165.64,156.66,143.17,127.66,117.69,137.64,156.07,176.83,176.87,185.49,157.36,187.63,180.15,168.27,159.91,150.50,151.14,151.50,161.66,171.98,171.71,171.11,181.16,167.23,186.95,182.16,179.95,167.64,154.37,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PAPAYA, MEDIUM, 1 KG",37.37,38.91,39.43,39.82,38.42,37.99,38.74,39.32,40.02,41.38,43.09,41.82,39.69,41.55,41.97,42.16,41.90,42.99,42.36,40.91,42.57,43.76,44.63,45.37,45.95,43.01,46.11,45.04,43.21,46.35,46.61,44.43,44.95,44.94,46.00,46.42,45.68,45.27,45.42,45.53,45.65,42.84,43.11,41.76,39.85,40.58,40.09,41.14,40.02,40.57,40.25,41.78,40.44,39.70,40.30,40.78,40.21,40.26,40.95,40.20,41.60,41.81,41.34,41.46,40.75,41.69,42.61,43.21,43.20,43.39,42.74,40.93,42.47,42.48,42.17,43.62,44.31,42.74,44.22,43.27,43.78,44.88,45.10,45.62,47.79,48.31,51.13,53.91,52.41,50.06,47.54,49.21,46.69,47.75,48.17,48.58,48.03,47.66,49.34,49.45,49.48,50.19,50.58,48.76,51.41,50.97,52.10,54.46,55.61,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PAPAYA, NATIVE, MEDIUM, 1 KG",34.75,34.41,35.10,35.57,35.53,34.87,34.26,34.54,34.97,35.34,35.61,35.45,35.03,35.92,36.06,36.03,36.28,36.83,36.63,37.17,37.27,37.99,38.63,38.57,37.69,37.09,39.39,39.19,40.11,41.91,42.14,41.25,41.39,42.07,42.50,41.84,41.67,41.95,41.29,42.40,42.49,42.37,42.31,41.83,40.91,40.93,41.87,42.04,42.66,42.01,42.02,41.99,42.61,42.16,42.58,42.39,43.10,43.19,43.03,42.85,43.06,43.47,44.43,43.65,42.80,44.00,44.25,44.41,44.56,45.56,44.66,44.75,46.13,46.52,47.40,47.61,47.14,45.58,47.20,46.99,47.47,47.63,47.80,47.61,48.49,50.66,51.60,52.22,51.24,51.22,49.18,51.09,51.37,51.58,52.08,52.57,51.95,52.31,52.78,53.22,52.96,52.52,53.33,52.31,54.07,55.03,55.97,57.71,57.95,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PAPAYA, NATIVE, RIPE, MEDIUM, 1 KG",43.08,43.34,44.05,42.77,43.51,43.59,42.98,45.69,46.83,46.99,46.98,45.20,44.59,44.65,43.72,43.67,44.26,43.26,41.61,43.59,44.06,43.35,43.53,43.77,44.42,43.66,44.04,45.01,43.59,44.42,44.40,44.53,45.33,46.32,44.44,44.50,43.43,45.01,44.59,46.47,47.61,48.07,46.93,46.02,44.81,42.52,45.31,45.27,44.83,45.73,45.76,45.78,47.56,46.60,45.18,45.53,45.24,44.29,44.19,46.10,46.02,45.61,45.15,45.95,45.62,47.32,48.51,50.28,51.39,51.53,52.30,52.30,53.78,53.77,53.51,54.13,53.56,51.87,53.48,53.67,53.12,54.63,53.60,52.69,51.96,53.09,53.24,55.89,56.02,57.44,54.07,60.42,62.51,62.85,62.25,61.81,63.28,60.20,62.32,62.95,60.86,60.87,63.33,61.97,65.29,65.78,66.71,67.97,68.20,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PAPAYA, SOLO, MEDIUM, 1 KG",20.94,21.25,21.06,20.97,22.72,24.97,21.76,22.51,23.49,24.34,25.47,25.85,22.95,25.64,25.20,25.46,25.33,26.73,26.92,26.65,26.94,27.54,28.03,27.92,27.58,26.66,27.66,27.65,26.93,27.39,27.33,27.43,28.65,30.11,30.39,31.40,30.88,29.17,28.75,29.25,29.31,29.61,29.57,30.51,30.05,30.06,30.07,30.20,29.90,29.68,30.10,29.86,30.51,30.66,30.70,31.28,31.20,31.49,31.54,31.61,31.83,31.62,32.23,32.42,31.43,33.91,33.80,33.90,33.93,32.82,32.57,32.49,33.80,33.78,34.05,34.18,35.96,33.77,35.90,34.85,33.67,34.92,35.33,35.40,36.70,38.11,40.60,43.43,41.42,40.98,37.61,38.35,39.02,38.91,38.37,39.22,37.98,36.86,37.10,38.32,38.53,38.53,38.57,38.31,39.06,39.59,40.23,40.82,41.24,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PAPAYA, TAGALOG, MEDIUM, 1 KG",37.22,38.37,37.91,37.44,37.24,37.77,41.17,42.58,43.36,41.36,41.68,42.63,39.90,42.93,42.14,43.82,43.97,45.51,44.00,45.60,47.99,46.87,47.19,48.66,50.05,45.73,49.42,49.02,49.52,46.52,47.10,48.17,48.02,47.59,48.39,46.93,48.09,49.86,48.22,52.61,53.19,53.82,52.30,55.30,54.20,54.66,56.83,54.27,53.49,53.49,53.85,54.00,53.53,53.28,52.41,53.16,56.85,55.66,56.60,56.57,54.66,57.75,60.00,62.44,56.08,64.13,62.35,58.00,58.69,62.31,60.91,61.72,62.19,63.07,63.85,62.50,61.82,61.79,62.97,62.03,62.07,60.78,60.94,60.41,63.85,63.16,68.07,68.94,66.66,64.85,63.73,65.69,64.44,63.78,61.91,62.63,64.07,64.44,64.47,65.63,65.94,65.50,64.69,64.43,66.77,67.66,70.41,69.87,68.47,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",30.05,30.33,31.12,30.54,30.16,29.44,29.84,30.44,31.49,32.03,31.29,30.86,30.63,33.01,33.20,35.45,37.58,37.80,38.19,39.52,38.89,37.30,39.58,40.68,40.99,37.68,48.36,49.16,49.28,45.49,46.16,41.01,37.69,38.19,37.99,37.78,35.31,41.67,42.34,41.66,40.97,45.22,43.30,43.61,44.34,43.20,44.89,45.55,46.14,46.38,46.88,44.35,48.78,49.58,50.43,52.02,53.99,45.28,44.78,43.90,44.28,46.83,53.89,53.37,48.93,54.91,54.95,55.78,55.89,60.31,54.79,52.08,51.19,52.23,52.27,52.27,52.23,54.08,54.64,54.06,55.90,58.03,61.52,61.56,60.03,52.70,52.74,53.82,58.69,58.28,56.83,55.93,56.53,57.66,57.12,57.87,61.45,56.64,57.04,59.37,58.58,59.42,62.71,58.36,70.61,71.24,76.24,75.95,76.61,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",47.88,48.46,48.78,48.65,48.74,49.99,47.47,47.36,47.40,48.33,47.42,47.04,48.13,47.83,48.05,48.41,49.97,49.08,48.72,48.58,48.34,46.90,47.17,49.39,50.15,48.55,51.68,53.14,54.40,58.23,58.96,59.66,56.09,56.32,57.05,57.21,56.00,58.30,56.42,57.92,58.38,58.22,58.38,58.58,58.02,58.70,60.11,60.71,61.19,61.04,60.41,59.30,63.84,63.13,63.52,65.07,63.96,62.98,60.32,61.86,62.36,64.32,67.38,67.98,63.89,66.80,66.20,70.04,72.38,73.76,72.36,66.13,64.18,65.49,68.05,69.76,70.43,68.80,71.76,75.86,77.04,77.29,76.36,77.54,71.68,68.53,71.25,70.89,71.48,73.01,73.56,74.08,76.47,81.32,83.09,82.18,80.08,74.87,77.18,78.73,81.57,82.30,84.65,79.71,85.69,86.10,88.07,90.50,88.65,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",50.22,49.86,51.66,52.38,52.22,51.43,51.95,52.41,52.42,52.79,53.26,53.24,51.99,53.61,53.11,53.68,53.46,53.33,53.30,52.71,51.36,51.65,53.95,54.99,54.57,53.31,55.21,56.62,57.01,57.64,59.07,57.29,56.67,55.94,56.09,55.82,56.09,57.07,56.71,58.61,58.75,58.48,57.63,57.53,56.90,55.64,55.29,55.72,56.91,57.27,57.85,57.22,57.61,58.04,58.26,58.76,59.07,58.22,58.25,58.97,59.84,60.68,61.54,62.29,59.29,62.95,62.96,62.85,63.68,63.85,63.44,61.56,62.29,63.62,64.53,65.31,65.33,63.53,66.58,67.88,67.30,67.92,67.80,67.34,66.15,65.43,67.14,66.85,68.19,69.83,67.37,71.26,73.65,73.86,74.62,74.79,74.12,73.10,72.30,73.43,73.77,74.96,75.80,73.81,76.63,77.45,78.16,79.97,79.96,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, GRAPES, 1 KG",262.97,260.69,264.67,267.21,262.42,271.52,269.51,275.53,278.62,276.78,274.25,271.35,269.63,280.23,284.22,287.65,291.65,289.36,284.68,292.82,291.28,284.06,275.41,272.41,272.16,283.83,271.97,276.29,293.29,292.86,296.57,294.61,284.00,284.77,279.02,274.00,268.18,266.14,281.81,279.66,273.14,272.05,271.58,273.72,271.13,266.27,279.84,265.47,261.18,252.44,249.10,267.96,269.35,268.99,279.06,295.43,297.73,293.08,288.48,283.52,279.80,275.46,265.24,271.47,280.63,289.89,284.39,286.36,297.56,292.01,290.12,291.61,292.97,278.15,275.66,272.40,277.75,285.74,281.66,284.28,295.42,322.71,302.78,300.31,298.77,293.51,278.38,270.05,263.53,261.95,287.78,264.57,260.18,264.41,272.61,292.01,305.17,296.15,281.65,268.89,267.77,263.60,265.25,275.19,268.58,279.31,297.08,319.13,333.32,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, GRAPES, SEEDLESS, 1 KG",259.99,258.49,263.74,260.42,257.79,262.12,272.47,284.25,275.06,272.54,254.57,254.12,264.63,256.12,263.68,271.77,266.17,266.20,266.05,265.61,274.03,267.35,270.84,269.52,258.22,266.30,259.40,260.20,280.82,289.71,291.53,276.82,269.65,269.09,265.55,267.69,255.76,259.08,270.44,272.10,269.54,270.02,270.20,274.26,266.62,271.18,277.15,261.18,270.35,264.56,253.57,268.40,276.25,270.98,277.41,288.09,293.35,296.66,294.49,294.39,287.63,285.75,285.38,283.68,286.17,289.00,289.90,290.74,297.96,300.51,296.06,295.89,293.91,287.70,282.42,279.01,271.83,289.58,277.75,283.43,296.25,304.13,309.53,307.45,306.20,299.49,292.39,278.03,267.64,265.60,290.66,267.10,254.58,262.14,273.26,290.56,301.71,295.90,287.57,260.56,260.41,253.17,250.36,271.44,251.21,271.63,288.58,311.32,325.07,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, GRAPES, WITH SEEDS, 1 KG",257.14,256.44,258.36,263.17,256.76,259.68,251.62,258.17,260.29,260.39,257.83,259.12,258.25,263.84,261.51,263.56,267.41,268.98,268.58,276.44,273.96,261.12,247.44,212.26,203.55,255.72,205.39,198.71,211.81,214.16,226.41,225.89,236.65,228.51,207.91,200.00,190.64,183.91,210.83,199.86,201.93,207.85,212.74,215.50,214.07,209.32,204.19,195.01,186.98,183.38,175.97,200.57,180.65,162.97,175.42,187.63,196.65,199.15,200.64,205.42,198.42,194.48,190.35,181.68,189.45,205.90,200.32,193.81,202.42,204.66,206.56,203.43,202.95,196.09,188.56,188.01,187.67,198.37,192.85,197.79,205.04,212.20,209.08,208.82,210.42,207.06,200.16,187.79,182.31,177.74,199.27,183.09,175.10,178.23,176.46,182.01,189.53,199.86,193.43,179.58,181.74,178.20,180.56,183.15,192.93,201.57,204.65,208.68,217.88,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, GUYABANO, 1 KG",67.87,73.95,86.92,83.91,74.10,59.26,71.63,70.27,63.26,59.47,60.34,61.64,69.39,61.93,61.93,61.80,59.85,61.22,61.80,61.80,64.52,61.51,65.04,64.17,64.17,62.48,64.17,64.98,66.15,67.22,64.43,58.12,56.50,55.82,57.71,59.37,59.46,59.85,61.15,58.32,57.30,59.60,56.74,57.35,58.83,62.25,59.68,58.13,61.33,59.56,62.34,59.28,65.04,63.88,59.63,59.34,54.29,54.17,55.04,54.50,54.09,52.88,52.92,53.75,56.63,54.13,55.13,52.83,53.42,55.46,56.83,56.58,54.58,55.50,59.04,59.21,60.13,56.07,55.96,52.00,52.33,51.34,58.71,64.83,69.29,65.13,58.96,57.75,57.79,58.38,58.54,61.04,61.88,61.00,59.79,58.88,64.12,70.34,75.64,76.43,72.94,73.64,76.63,67.69,83.21,90.29,91.15,92.65,91.82,.,.,.,.,.,.,.,.
