Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
..NCR - National Capital Region,"RAW PEANUT, WITHOUT SHELL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
..NCR - National Capital Region,"STRING BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
..NCR - National Capital Region,"BAGUIO BEANS, 1 KG",93.23,77.24,73.47,64.04,71.25,96.04,91.44,76.61,106.99,113.87,87.10,78.07,85.78,84.79,74.01,70.50,92.51,103.19,76.70,77.54,83.92,96.95,92.60,85.70,87.89,85.53,78.55,75.38,79.77,92.58,107.67,86.09,68.81,76.81,94.92,112.76,148.59,162.20,98.68,103.47,81.53,76.63,76.47,78.85,127.83,95.88,98.51,95.88,104.87,109.90,85.19,94.58,82.88,79.88,84.51,83.57,86.43,116.85,112.94,90.93,101.30,121.94,154.64,129.68,103.80,120.28,119.67,106.56,90.89,101.94,109.21,104.61,157.45,145.87,106.35,111.70,107.26,115.15,113.18,102.71,100.22,101.36,161.33,153.71,116.16,121.49,164.65,173.72,165.96,222.17,141.39,123.77,102.00,130.51,112.40,115.10,126.33,131.10,165.67,137.89,152.00,256.23,295.92,154.08,119.04,104.89,125.98,128.05,135.71,.,.,.,.,.,.,.,.
..NCR - National Capital Region,"MONGGO, GREEN, 1 KG",86.98,86.67,86.46,86.03,85.60,87.28,88.87,89.20,87.24,87.47,88.58,87.21,87.30,86.99,86.52,86.54,85.82,85.85,87.05,87.69,88.55,88.87,89.35,90.18,89.96,87.78,90.80,90.86,90.55,99.84,105.75,105.46,102.98,102.76,103.94,101.48,100.61,99.65,99.56,100.32,101.01,100.50,100.64,100.36,100.60,99.51,99.70,99.51,105.85,104.97,104.00,101.41,103.27,105.32,107.48,107.54,111.03,110.76,111.39,111.91,113.07,118.45,120.02,121.23,111.79,122.16,122.47,121.23,118.20,118.13,118.17,118.18,117.88,117.00,117.65,118.08,118.64,118.98,116.70,115.24,114.73,112.91,112.67,112.93,112.90,113.70,114.60,113.69,113.44,113.43,113.91,116.45,117.60,118.89,117.62,117.64,119.34,120.27,125.92,130.30,131.41,131.08,132.83,123.28,130.90,134.65,143.86,162.83,155.96,.,.,.,.,.,.,.,.
..CAR - Cordillera Administrative Region,"RAW PEANUT, SHELLED, 1 KG",190.79,190.79,189.23,189.23,189.23,189.23,185.63,185.88,182.27,177.43,175.42,171.68,184.73,170.26,170.26,167.40,172.03,168.56,165.44,165.44,162.60,162.95,165.72,163.22,163.31,166.43,156.60,155.50,149.85,145.40,134.85,127.34,127.22,127.97,127.91,128.75,130.08,128.45,136.66,129.14,132.07,128.75,130.39,129.32,131.64,122.32,122.48,122.73,119.81,116.86,117.83,125.28,117.80,117.83,118.84,119.47,119.47,122.80,123.43,124.35,126.10,128.81,129.23,129.23,123.11,131.73,130.69,130.90,131.10,131.46,130.69,139.23,139.23,139.23,142.86,143.93,145.18,136.35,144.35,143.93,144.14,145.17,144.96,145.17,145.17,145.58,146.83,148.50,150.79,151.83,146.37,152.25,150.17,149.75,150.38,150.17,150.17,150.79,153.71,153.08,153.71,153.29,156.42,151.99,154.97,155.60,159.71,164.49,164.79,.,.,.,.,.,.,.,.
..CAR - Cordillera Administrative Region,"RAW PEANUT, SHELLED, RED COLOR, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
..CAR - Cordillera Administrative Region,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
..CAR - Cordillera Administrative Region,"RAW PEANUT, WITHOUT SHELL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
..CAR - Cordillera Administrative Region,"STRING BEANS, 1 KG",49.06,50.30,49.23,46.46,47.75,49.53,46.34,54.12,56.33,58.12,56.33,50.49,51.17,48.10,44.81,42.58,46.68,49.75,46.80,46.65,45.05,49.53,53.24,52.71,52.60,48.21,52.53,52.37,49.73,56.06,53.02,53.56,42.84,41.05,42.03,42.71,52.52,66.74,50.43,72.47,62.36,50.53,47.69,43.11,47.87,51.90,60.95,59.27,57.49,55.93,61.30,55.91,71.22,65.80,62.21,57.99,59.44,67.97,62.67,60.44,58.17,66.24,87.95,76.14,66.35,93.70,98.49,95.26,85.38,83.63,79.48,77.93,94.67,102.61,91.50,79.94,76.43,88.25,82.22,84.29,85.56,88.38,93.26,98.03,103.69,86.16,79.34,90.63,104.63,119.04,92.94,119.63,96.75,89.42,85.56,87.84,93.66,96.71,103.22,92.74,92.69,87.50,115.61,96.78,121.87,112.08,113.91,103.20,96.21,.,.,.,.,.,.,.,.
..CAR - Cordillera Administrative Region,"BAGUIO BEANS, 1 KG",52.19,51.67,48.65,48.93,45.87,49.63,54.11,59.32,66.07,80.96,65.39,51.71,56.21,48.59,46.59,48.29,48.95,65.12,55.59,51.77,57.26,68.31,78.87,66.90,65.84,58.51,59.85,52.65,50.47,62.97,58.29,56.29,41.58,40.65,46.50,52.03,68.06,86.87,56.35,77.95,58.76,53.25,49.79,49.14,61.24,67.39,68.65,68.76,68.93,81.88,67.70,64.45,61.58,56.96,61.95,61.09,59.67,80.16,94.56,73.43,77.21,91.23,97.23,93.48,75.71,88.73,94.00,84.81,71.93,71.81,80.10,84.84,107.04,128.09,86.52,81.00,71.41,87.52,77.86,71.58,77.87,75.32,92.24,105.97,93.62,81.75,83.40,108.82,128.59,135.84,94.41,108.82,78.91,90.34,84.56,88.85,92.61,94.28,116.18,116.65,122.25,128.97,180.35,108.56,135.04,75.48,85.64,77.62,81.52,.,.,.,.,.,.,.,.
..CAR - Cordillera Administrative Region,"MONGGO, GREEN, 1 KG",129.79,129.79,129.79,129.79,129.79,131.37,121.60,118.29,100.36,103.84,103.63,103.21,119.27,112.32,107.14,111.90,112.32,107.02,107.02,106.96,106.96,107.17,106.90,107.11,106.64,108.29,107.65,107.23,108.19,109.64,109.23,100.98,104.64,105.48,104.64,105.69,108.39,118.19,107.50,118.19,117.06,113.72,108.48,107.47,106.52,105.48,106.10,107.14,107.77,107.14,107.26,109.36,105.48,109.05,107.05,107.08,106.25,107.56,108.10,106.73,107.86,109.23,112.35,116.64,108.62,117.80,112.80,112.26,111.85,111.07,110.45,110.24,110.24,109.46,108.63,110.00,112.08,111.41,112.50,111.55,110.30,108.31,106.31,107.47,107.09,110.42,108.94,107.98,109.68,111.60,109.35,113.06,112.85,112.64,112.14,110.48,110.48,113.39,115.06,115.89,118.04,117.87,118.70,114.22,118.39,130.00,128.84,131.13,129.46,.,.,.,.,.,.,.,.
....Abra,"RAW PEANUT, SHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Abra,"RAW PEANUT, SHELLED, RED COLOR, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Abra,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Abra,"RAW PEANUT, WITHOUT SHELL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Abra,"STRING BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.50,54.50,77.50,67.50,83.75,85.00,92.50,90.00,90.00,110.00,120.00,122.50,98.75,96.25,94.48,86.25,97.50,91.25,92.50,102.50,105.00,137.50,130.00,113.75,136.25,140.00,135.00,113.96,145.00,102.50,111.25,102.50,102.50,101.25,112.50,117.50,117.50,105.00,97.50,106.25,110.10,96.25,121.25,113.75,100.63,83.13,.,.,.,.,.,.,.,.
....Abra,"BAGUIO BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Abra,"MONGGO, GREEN, 1 KG",92.86,92.86,92.86,92.86,92.86,95.71,97.50,97.50,95.00,95.00,95.00,93.75,94.48,92.50,90.00,90.00,91.25,91.25,91.25,92.50,92.50,93.13,93.75,93.75,93.75,92.14,92.50,92.50,92.50,93.33,95.63,93.75,93.75,96.25,93.75,96.25,103.75,132.50,98.04,132.50,126.25,116.25,106.25,96.25,93.75,95.00,95.00,95.00,95.00,95.00,95.00,103.44,95.00,100.00,100.00,100.00,97.50,97.50,97.50,96.25,98.75,100.00,108.75,118.75,100.83,118.75,103.75,103.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,101.25,101.46,102.50,102.50,102.50,100.00,97.50,97.50,97.50,107.50,107.50,107.50,108.75,108.75,103.33,112.50,110.00,110.00,105.00,100.00,103.13,111.25,116.25,116.25,118.75,118.75,118.75,111.72,108.75,135.00,136.25,141.25,135.00,.,.,.,.,.,.,.,.
....Apayao,"RAW PEANUT, SHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Apayao,"RAW PEANUT, SHELLED, RED COLOR, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Apayao,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Apayao,"RAW PEANUT, WITHOUT SHELL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
....Apayao,"STRING BEANS, 1 KG",43.51,49.76,48.64,48.64,49.32,53.55,55.78,55.78,61.37,82.56,75.87,71.41,58.02,65.84,69.18,60.25,61.37,60.25,58.02,62.48,53.55,52.44,55.78,56.90,54.67,59.23,61.36,61.36,54.67,55.03,55.78,54.67,47.98,44.62,44.07,44.86,49.54,63.61,53.13,71.41,72.53,63.00,54.68,50.22,53.56,51.88,56.75,58.75,61.88,60.00,58.75,59.45,75.00,61.43,58.75,53.13,56.25,58.75,68.00,56.88,60.63,60.63,72.03,78.52,63.33,90.96,97.50,93.75,72.50,65.63,67.19,63.13,70.00,80.39,76.64,63.75,58.75,75.02,76.88,67.50,71.25,75.00,74.38,79.38,94.38,70.63,68.75,73.75,88.75,122.50,80.26,115.00,104.38,85.00,76.25,75.00,76.25,76.25,88.75,78.75,86.88,75.00,114.38,87.66,126.25,110.00,98.75,96.25,80.00,.,.,.,.,.,.,.,.
....Apayao,"BAGUIO BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
