Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2002 Annual,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2003 Annual,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2004 Annual,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2005 Annual,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2006 Annual,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2007 Annual,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2008 Annual,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2009 Annual,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual
All species,....Ilocos Norte,1716.50,1543.00,1004.50,1078.10,5342.10,1712.35,1735.20,1279.50,1043.50,5770.55,1698.28,2071.80,1284.13,920.98,5975.19,1217.07,2128.50,1243.60,986.45,5575.61,1258.62,2308.75,1296.51,1270.54,6134.42,1744.31,2616.17,1519.27,1835.65,7715.40,2294.04,2702.22,2332.88,1666.92,8996.07,2007.59,2612.73,1911.22,1380.84,7912.39,2112.67,2391.98,2038.79,1574.97,8118.41,1919.89,2439.37,2846.32,1602.87,8808.47,1466.25,2170.50,2236.62,1941.05,7814.41,1713.86,2214.66,2502.77,2008.43,8439.72,1977.61,2072.72,2799.57,2143.05,8992.96,1640.53,1341.65,1773.00,2073.73,6828.91,1504.54,1500.56,1204.27,1828.44,6037.81,1267.91,1765.01,1282.39,1932.90,6248.21,1467.06,1363.91,1388.28,1653.98,5873.24,1755.26,1293.03,1085.11,1881.18,6014.58,1565.34,2175.63,1492.31,1513.43,6746.71,1460.89,1145.86,..,..,..
All species,....Ilocos Sur,2176.10,2043.00,1298.00,4543.00,10060.10,2541.60,2514.40,1851.20,3535.90,10443.10,3021.10,2841.73,1815.35,2735.03,10413.21,2827.68,2698.93,1736.60,2720.67,9983.88,2859.70,3429.05,1677.77,3019.81,10986.33,2927.44,3416.57,1888.54,2541.83,10774.38,4000.32,4949.46,3808.55,3028.30,15786.63,3570.67,4783.53,2871.19,3297.73,14523.12,2753.14,3096.12,2385.43,3079.13,11313.81,2914.85,3012.59,1888.37,3031.50,10847.31,2957.09,2877.32,1837.00,2422.06,10093.47,2327.69,2765.25,1748.18,1793.54,8634.66,2396.10,2337.70,1677.89,1542.44,7954.13,2313.17,2166.30,1650.68,1499.59,7629.74,1820.21,1938.89,1208.04,1490.72,6457.87,1577.26,1781.64,1311.53,1543.31,6213.74,1605.13,1726.84,1200.21,1464.48,5996.66,1633.22,2346.1,1119.04,1599.39,6697.74,1791.84,2349.11,1541.37,1292.45,6974.78,1646.32,2098.8,..,..,..
All species,....La Union,1790.40,3114.00,2104.00,1783.00,8791.40,1898.50,3156.50,2084.30,2016.71,9156.01,2129.50,3746.91,2091.44,2623.77,10591.62,2386.14,3835.11,2230.22,2531.91,10983.38,2512.75,4124.10,2440.18,3425.75,12502.78,2844.93,3965.03,2418.01,3442.42,12670.39,2537.10,5196.44,3654.72,2593.56,13981.81,4016.99,5411.96,2945.56,2509.39,14883.91,3246.17,3206.62,2632.69,2570.90,11656.38,3184.57,2806.16,1909.47,2900.19,10800.38,3958.80,2488.58,1204.48,2238.66,9890.52,3623.25,2972.20,1241.72,2241.81,10078.98,3867.99,3632.77,1266.24,2001.41,10768.42,3835.51,1810.85,1473.65,1311.93,8431.94,2351.35,3971.10,1587.69,1111.89,9022.04,1788.09,5447.25,1535.45,1052.22,9823.00,1732.82,5245.01,1992.76,1543.28,10513.88,1625.46,5311.49,1590.22,2935.54,11462.71,2913.18,4124.28,2721.16,3013.73,12772.35,3865.66,4632.3,..,..,..
All species,....Pangasinan,8949.07,12275.51,10999.00,16951.89,49175.47,9636.00,12787.00,10741.00,21398.70,54562.70,11203.51,13511.70,11616.80,26939.20,63271.21,14049.30,16900.04,15900.68,32838.58,79688.60,18254.04,22726.91,19582.82,37963.26,98527.03,19740.31,25762.71,21094.26,48997.38,115594.67,22095.85,23836.00,14870.35,49804.56,110606.76,23304.15,21447.44,13834.91,41785.99,100372.49,21883.24,29224.38,15779.50,39532.91,106420.03,23767.16,26855.03,15446.99,53739.58,119808.76,19719.54,27603.02,15409.48,55013.93,117745.97,23032.82,30964.20,17315.29,57204.76,128517.07,23421.27,37307.95,19500.28,66251.41,146480.91,23690.04,37147.00,20546.96,57617.10,139001.10,24633.64,32324.35,20599.07,58199.96,135757.02,23997.13,35485.43,20670.14,58899.21,139051.91,25215.63,28468.15,18783.45,60327.23,132794.47,29285.39,29222.15,21458.56,65527.54,145493.63,29443.64,27297.6,22241.1,74207.17,153189.52,28550.67,32474.97,..,..,..
All species,..Region II (Cagayan Valley),11846.00,10561.60,9763.00,10883.00,43053.60,12996.40,12616.40,9683.41,7676.63,42972.84,13306.31,12526.17,9715.68,7224.63,42772.79,14223.54,12374.70,10026.14,10142.73,46767.11,16078.29,15010.42,12931.72,10387.84,54408.28,16996.76,16672.84,14046.94,11442.54,59159.08,17372.29,17302.43,15567.60,11078.03,61320.34,18355.36,18479.57,16070.82,10576.11,63481.86,18873.41,17718.49,14364.72,11396.06,62352.68,16587.15,20606.72,15411.17,12270.51,64875.55,11626.87,18393.63,16341.58,13700.64,60062.73,13760.37,19251.64,15351.63,13518.43,61882.07,13089.49,18953.35,15107.70,12997.44,60147.98,11906.12,19041.65,13733.33,11671.91,56353.00,12137.41,17243.53,13523.71,10564.94,53469.59,11903.79,16617.49,12492.15,10012.33,51025.75,10510.38,15589.72,12350.76,9121.64,47572.50,9390.04,15482.1,11954.1,8555.79,45382.03,7865.24,15638.38,12074.61,8340.65,43918.87,7811.69,16167.11,..,..,..
All species,....Batanes,24.00,85.00,93.00,98.00,300.00,84.00,213.00,49.00,41.00,387.00,166.00,234.17,65.00,1.70,466.87,115.77,261.15,113.00,44.53,534.45,199.47,195.89,49.46,52.94,497.76,275.11,385.31,67.70,52.63,780.75,288.39,286.08,83.78,49.96,708.21,375.73,422.74,92.99,64.83,956.29,336.20,423.21,77.46,85.74,922.61,368.36,531.09,87.80,72.69,1059.94,407.62,508.41,115.98,98.20,1130.21,419.57,492.78,108.06,93.39,1113.80,405.78,501.91,104.63,98.67,1110.99,362.88,451.50,109.76,85.94,1010.08,276.36,386.87,84.84,64.99,813.06,327.14,404.42,83.76,64.81,880.13,327.64,403.55,83.07,64.71,878.97,329.74,419.08,81.99,58.35,889.16,305.53,420.14,76.08,55.05,856.8,303.39,426.99,..,..,..
All species,....Cagayan,10448.00,9257.00,8140.00,9105.00,36950.00,11429.40,11114.50,8211.70,6231.10,36986.70,11416.76,10585.00,8096.82,5695.31,35793.89,12092.09,10313.65,8136.37,7898.17,38440.27,13776.05,13090.60,10934.80,8308.37,46109.82,15003.50,14366.75,11147.24,8653.17,49170.66,14678.14,14643.42,12387.84,8287.18,49996.59,15349.56,15346.10,12677.53,7878.83,51252.02,15313.22,15430.59,12180.07,8484.02,51407.91,13626.04,17079.46,12540.72,8892.85,52139.07,8335.84,14998.25,12400.86,9874.59,45609.54,10366.46,15378.52,11496.59,9218.83,46460.41,9597.31,15153.27,11281.05,9112.17,45143.80,8640.30,15343.22,10945.94,8242.15,43171.62,8785.79,13745.84,10665.00,7300.89,40497.52,8672.75,12773.98,9684.04,6722.88,37853.65,7315.24,11994.44,9806.73,6005.55,35121.96,6195.05,11944.34,9244.25,5431.45,32815.1,4792.5,12126.66,9338.46,5367.56,31625.18,4637.6,12493.04,..,..,..
All species,....Isabela,1011.00,876.00,1188.00,1311.00,4386.00,1050.00,962.00,1103.00,1112.00,4227.00,1324.00,1299.00,1197.54,1325.70,5146.24,1516.85,1400.95,1331.03,1633.77,5882.60,1535.83,1301.72,1477.23,1671.30,5986.09,1222.73,1432.28,2219.15,2298.09,7172.24,1829.77,1775.37,2324.55,2228.94,8158.64,1967.81,2126.27,2423.84,2010.99,8528.90,2590.01,1504.56,1495.60,2190.21,7780.38,1908.68,2401.61,1992.89,2745.99,9049.16,2158.62,2189.91,2867.89,2985.37,10201.79,2214.41,2453.92,2881.12,3307.69,10857.13,2348.59,2480.28,2815.94,2833.58,10478.40,2283.74,2703.43,2120.05,2625.28,9732.51,2412.58,2560.01,2153.52,2357.94,9484.04,2233.11,2615.18,2206.20,2479.75,9534.25,2310.27,2356.16,1968.27,2324.89,8959.58,2325.64,2271.44,2128.98,2299.48,9025.53,2161.87,2223.84,2117.54,2262.22,8765.47,2287.27,2308.87,..,..,..
All species,....Nueva Vizcaya,210.00,211.60,188.00,147.00,756.60,239.00,200.70,200.00,154.48,794.18,237.40,228.30,222.70,124.33,812.73,308.86,261.80,323.30,335.67,1229.63,393.66,280.81,356.37,221.63,1252.47,313.45,331.98,484.70,285.66,1415.77,370.55,422.65,619.25,342.26,1754.72,439.25,350.50,703.06,392.05,1884.87,368.12,265.03,540.85,430.36,1604.35,416.88,403.38,639.69,338.63,1798.58,482.84,458.49,721.13,390.15,2052.61,533.44,559.71,681.84,498.41,2273.39,537.13,548.30,706.54,540.37,2332.33,444.60,393.18,456.71,391.11,1685.60,457.37,407.17,498.50,428.71,1791.75,476.26,570.40,384.53,403.61,1834.81,363.42,595.68,374.82,410.80,1744.72,358.6,616.14,367.64,447.85,1790.23,435.94,661.26,414.8,360.46,1872.46,426.7,726.69,..,..,..
All species,....Quirino,153.00,132.00,154.00,222.00,661.00,194.00,126.20,119.71,138.05,577.96,162.15,179.70,133.62,77.59,553.06,189.97,137.15,122.45,230.60,680.17,173.28,141.40,113.86,133.60,562.14,181.98,156.53,128.16,152.99,619.66,205.43,174.90,152.18,169.68,702.19,223.00,233.96,173.41,229.41,859.78,265.85,95.11,70.74,205.74,637.44,267.20,191.18,150.07,220.35,828.81,241.94,238.58,235.72,352.34,1068.58,226.50,366.71,184.02,400.11,1177.34,200.68,269.59,199.55,412.65,1082.46,174.59,150.31,100.87,327.42,753.20,205.31,143.65,121.86,412.42,883.23,194.53,253.50,133.61,341.28,922.92,193.81,239.90,117.88,315.68,867.27,181.01,231.1,131.24,318.66,862.01,169.4,206.48,127.73,295.35,798.97,156.72,211.52,..,..,..
All species,..Region III (Central Luzon),50560.10,55085.30,29172.20,47408.00,182225.60,44795.10,59026.40,29306.90,48662.34,181790.74,47494.58,63273.55,29339.72,46019.57,186127.42,52986.61,63593.62,36937.25,55825.20,209342.68,75081.62,66017.16,37536.03,57499.48,236134.29,84065.97,74526.28,38237.39,62545.37,259375.01,93305.30,76256.99,42379.74,62984.07,274926.09,94293.67,76323.88,40822.63,60673.73,272113.90,90113.75,70605.44,39840.27,64119.57,264679.04,86314.73,72835.47,39042.79,60773.92,258966.91,83886.28,73107.53,37312.71,65088.76,259395.28,90512.71,75909.07,35199.93,67938.80,269560.51,94197.78,77147.96,36974.94,69726.07,278046.75,94519.14,73869.42,37960.00,70620.47,276969.03,88509.38,76325.61,38722.47,69094.30,272651.76,92609.51,83230.72,39825.20,71827.90,287493.33,92190.93,97200.21,41725.47,78465.60,309582.19,91366.73,113774.17,36457.38,80566.06,322164.34,89100.84,139976.78,39905.08,77648.33,346631.03,95744.96,140815.3,..,..,..
All species,....Aurora,953.00,1011.00,1114.00,1126.00,4204.00,983.00,1049.50,1165.00,1119.50,4317.00,985.90,1029.50,1236.50,1133.66,4385.56,1049.00,1085.34,1128.42,1127.12,4389.88,993.69,1107.04,1153.25,1018.00,4271.98,1030.23,1122.10,1138.32,1150.14,4440.78,978.93,990.02,985.50,997.38,3951.84,874.64,742.92,963.67,888.87,3470.11,890.20,1139.34,881.64,881.57,3792.76,833.14,968.60,837.72,828.59,3468.05,877.11,776.73,747.49,850.75,3252.09,946.29,848.22,699.84,815.25,3309.60,1015.13,868.36,754.25,837.96,3475.69,1286.81,855.92,757.46,816.57,3716.77,1070.18,891.83,770.48,773.76,3506.25,981.34,853.20,720.21,694.22,3248.97,901.92,805.75,672.28,658.44,3038.39,792.36,755.25,781.27,618,2946.88,704.8,730.2,770.59,268.53,2474.12,608.3,718.2,..,..,..
All species,....Bataan,7849.00,4588.00,2996.00,4282.00,19715.00,5635.00,5232.00,3581.00,4146.30,18594.30,5351.97,5407.20,4060.98,4469.40,19289.55,6909.90,7613.32,6660.18,9153.38,30336.78,7109.24,7506.69,5717.02,7821.08,28154.03,7402.13,7768.94,6294.43,8117.68,29583.18,7975.72,8470.54,6297.45,7132.27,29875.98,7623.82,6720.52,5044.76,6056.00,25445.10,6795.66,6208.41,4721.01,5647.92,23373.00,6829.06,6500.03,4586.84,5318.14,23234.07,6453.59,6099.38,4636.36,5234.70,22424.03,6577.11,6260.94,4632.11,5196.88,22667.04,8025.16,6621.96,5059.84,6391.29,26098.25,7705.74,6599.95,5181.13,6585.37,26072.20,7959.87,7087.49,5381.52,5448.71,25877.59,8373.53,6473.90,5650.87,5685.17,26183.47,8795.28,7637.59,6595.54,6759.86,29788.26,7467.73,13875.32,4103.2,9719.06,35165.31,7703.13,12575.35,4766.23,8071.46,33116.16,7319.71,11845.28,..,..,..
All species,....Bulacan,14982.00,15893.00,13759.00,13494.00,58128.00,14780.00,17014.00,11943.60,10459.20,54196.80,13336.75,19536.40,11635.60,9295.50,53804.25,12669.99,18259.70,10891.70,9132.00,50953.39,11846.40,17260.68,10295.04,9378.55,48780.67,11002.50,18856.11,8363.20,9612.99,47834.79,12643.01,18688.38,11282.60,9154.95,51768.93,11700.63,17262.09,10538.71,6365.38,45866.81,11807.74,15272.68,9607.88,7666.33,44354.63,11457.04,15782.95,8703.12,4847.80,40790.91,11932.58,16655.01,7565.52,5725.72,41878.83,14295.17,16098.94,5980.23,6175.30,42549.64,12094.09,16021.92,7153.91,6211.12,41481.03,10818.45,16082.76,7082.19,6803.70,40787.10,11137.05,18222.09,6712.78,5643.77,41715.70,10866.47,17766.33,5969.58,4979.98,39582.37,9410.59,24011.57,4408.82,4743.12,42574.09,4578.67,31498.93,5485.66,5142.39,46705.65,2945.01,47098.95,5159.22,3724.15,58927.33,5205.82,32590.55,..,..,..
All species,....Nueva Ecija,1156.00,1048.00,1216.00,3557.00,6977.00,1201.00,1116.00,1219.00,3889.00,7425.00,1479.00,1377.00,1160.00,3541.00,7557.00,1302.00,1360.00,1238.00,3579.50,7479.50,1466.50,1491.06,1752.25,3685.00,8394.81,1586.00,1491.58,1704.02,3773.01,8554.59,1792.45,1576.09,1739.30,3697.32,8805.16,1999.41,1636.10,1762.90,1131.30,6529.72,1999.14,1375.55,1421.41,1177.74,5973.85,1877.06,1416.10,1194.96,798.67,5286.79,1508.04,1257.61,1526.65,855.20,5147.51,1279.24,706.40,1483.01,962.05,4430.71,1583.33,1322.47,1462.06,560.91,4928.78,1543.53,1309.09,1533.01,673.80,5059.43,994.53,1879.55,2525.52,1151.58,6551.18,1728.50,1235.92,1408.52,1073.85,5446.79,1894.11,1371.52,2075.21,1007.93,6348.77,1586.38,1568.34,1590.84,1184.75,5930.31,1719.39,1616.5,1467.57,992.17,5795.63,2933.63,1739.13,..,..,..
