Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
..CORDILLERA ADMINISTRATIVE REGION (CAR),"RAW PEANUT, SHELLED, 1 KG",155.77,155.77,155.77,158.33,163.42,179.62,179.62,179.35,181.32,181.99,179.35,182.18,171.04,179.68,179.68,178.57,178.57,181.96,185.36,175.18,178.57,178.57,180.24,185.79,190.24,181.03,190.24,190.24,190.24,189.96,189.68,189.68,190.24,190.24,190.24,190.24,190.24,190.24,190.12,193.85,193.01,193.01,198.85,195.79,195.79,195.79,195.79,195.79,195.12,194.84,195.40,195.25,197.06,195.95,192.62,192.62,192.90,195.12,195.12,195.12,195.12,195.12,194.70,194.29,194.65,194.29,194.29,195.12,194.29,195.95,199.29,199.29,199.29,199.29,210.40,210.40,210.40,200.19,209.70,209.70,207.62,207.62,207.62,207.62,197.86,195.71,190.89,184.44,182.59,180.09,198.46,178.19,178.19,174.38,178.90,176.34,174.26,174.26,172.11,172.59,176.28,172.95,175.38,175.32,169.08,167.62,161.40,157.46,145.38,138.01,139.18,139.68,139.43,140.88,142.99,140.82,148.49,141.74,144.64,140.88,143.40,141.98,145.07,133.63,133.63,133.63,133.25,128.49,130.69,137.59
..CORDILLERA ADMINISTRATIVE REGION (CAR),"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"BAGUIO BEANS, 1 KG",49.94,46.25,42.16,41.63,38.86,37.07,39.02,44.28,56.84,44.86,42.34,40.30,43.63,45.63,41.93,41.63,41.86,37.62,39.84,44.02,38.79,47.65,52.52,48.34,50.22,44.17,43.32,46.36,44.80,44.51,40.93,38.99,39.06,42.64,43.22,40.02,36.52,33.48,41.15,41.07,39.82,37.75,39.80,38.10,41.09,42.70,45.49,51.18,47.92,59.26,53.17,44.78,44.29,41.43,40.25,38.71,42.66,45.20,41.68,35.36,46.10,48.76,87.63,61.25,47.78,44.96,41.90,39.53,36.03,37.03,43.69,44.31,46.59,51.16,56.38,49.15,48.48,44.93,49.38,49.42,46.81,46.70,44.51,47.35,54.11,58.28,63.46,80.20,65.87,53.44,54.96,50.00,46.81,47.77,49.06,66.50,54.18,49.00,56.47,63.95,71.65,61.59,61.27,56.52,55.22,50.92,47.17,59.67,55.92,56.07,40.96,40.41,45.67,50.96,69.15,87.77,54.99,78.86,58.55,52.48,47.55,46.12,60.22,67.10,67.68,67.10,63.83,81.25,65.85,63.05
..CORDILLERA ADMINISTRATIVE REGION (CAR),"MONGGO, GREEN, 1 KG",97.27,94.68,95.34,105.30,78.60,73.98,68.96,76.89,93.64,83.80,91.24,90.12,87.49,84.00,79.63,75.50,82.96,87.37,87.93,86.60,86.03,90.02,87.56,92.24,95.71,86.30,100.66,102.31,97.73,100.26,101.26,105.80,100.04,95.98,96.09,99.73,101.30,116.68,101.49,114.58,118.47,116.87,116.87,118.47,119.19,118.00,118.51,118.44,115.20,117.13,118.72,117.54,118.72,117.47,117.64,120.99,119.19,121.86,121.86,121.86,121.15,120.29,127.50,127.62,121.35,126.69,127.54,127.65,126.83,126.83,126.83,120.69,112.48,112.05,111.76,119.53,120.25,121.59,121.52,121.52,122.37,121.94,122.41,123.97,114.10,109.50,97.11,99.19,100.94,99.67,112.85,108.73,104.53,107.78,106.82,102.85,103.64,104.07,104.39,104.05,104.76,105.34,104.98,105.16,106.57,105.43,106.14,108.07,108.59,103.45,106.82,107.86,106.82,108.43,110.46,118.22,108.07,118.22,117.38,114.67,110.95,110.19,109.89,107.44,107.08,108.48,109.16,109.11,109.41,111.00
..CORDILLERA ADMINISTRATIVE REGION (CAR),"STRING BEANS, 1 KG",41.42,37.73,36.23,36.55,33.25,31.82,34.30,36.60,48.40,41.89,35.82,34.49,37.38,35.26,32.04,31.87,31.54,28.86,30.53,32.69,31.17,36.02,37.28,37.77,38.72,33.65,35.52,36.08,36.35,36.02,34.43,34.76,36.41,37.97,36.59,40.62,40.18,38.50,36.95,42.02,36.71,37.07,39.20,40.76,39.74,41.09,48.41,49.16,42.04,48.15,46.16,42.54,45.72,39.67,40.14,41.49,47.37,47.63,46.42,46.34,50.60,48.04,60.52,54.56,47.38,55.88,47.81,44.99,43.43,44.64,47.20,48.12,46.89,48.71,49.12,49.91,51.32,48.17,51.14,52.83,53.06,51.79,50.41,52.13,54.08,59.28,61.08,68.83,64.84,59.03,56.54,57.61,52.69,48.79,50.59,53.75,52.39,52.88,51.88,55.16,55.00,57.03,57.81,53.80,57.35,58.75,56.72,61.80,60.00,56.41,48.60,46.25,48.82,50.63,66.41,82.03,57.81,84.85,69.69,57.97,52.66,48.28,53.44,53.13,62.00,61.25,58.28,56.16,61.38,59.92
....Abra,"RAW PEANUT, SHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"BAGUIO BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"MONGGO, GREEN, 1 KG",109.27,95.28,95.28,83.79,75.57,65.72,65.72,75.57,131.44,92.02,124.86,121.58,94.68,92.02,75.57,57.51,65.72,64.08,65.72,72.29,72.29,82.16,72.29,82.97,98.58,75.10,115.00,118.30,70.64,83.79,89.54,108.44,88.72,85.43,85.86,85.43,91.71,91.43,92.86,92.00,94.00,87.57,87.57,94.00,96.86,94.14,94.14,93.86,95.00,95.43,95.43,93.33,95.43,95.43,95.43,99.71,99.71,98.29,98.29,98.29,95.43,92.00,92.00,95.71,96.31,92.86,92.86,92.86,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,92.86,90.95,92.86,92.86,92.86,92.86,92.86,95.71,97.50,97.50,95.00,95.00,95.00,93.75,94.48,92.50,90.00,90.00,91.25,91.25,91.25,92.50,92.50,93.13,93.75,93.75,93.75,92.14,92.50,92.50,92.50,93.33,95.63,93.75,93.75,96.25,93.75,96.25,103.75,132.50,98.04,132.50,126.25,116.25,106.25,96.25,93.75,95.00,95.00,95.00,95.00,95.00,95.00,103.44
....Abra,"STRING BEANS, 1 KG",67.05,62.14,62.14,55.93,47.10,47.10,47.10,45.14,80.47,67.71,50.05,49.07,56.75,41.22,37.29,37.29,36.31,36.31,41.22,41.22,37.29,40.07,41.71,47.03,47.43,40.37,53.98,48.66,49.07,51.52,49.48,52.75,53.98,55.62,53.17,66.25,62.98,56.02,54.46,57.66,51.53,53.98,55.62,56.43,55.62,53.17,72.80,69.52,44.98,58.07,58.88,57.36,57.24,44.16,48.25,53.16,68.69,67.88,60.52,61.33,75.24,62.15,85.06,79.33,63.58,88.33,66.66,61.75,55.62,61.34,59.70,69.52,65.44,70.35,67.90,67.49,62.99,66.42,60.54,63.81,68.72,63.00,55.64,55.64,75.28,79.36,85.91,90.82,83.46,77.74,71.66,76.92,67.10,55.65,54.83,67.11,69.57,68.75,68.75,72.50,65.00,73.75,72.50,67.70,71.25,76.25,71.25,78.39,76.25,66.25,61.25,60.00,66.25,68.75,85.00,105.00,73.82,105.00,78.75,71.25,65.00,62.50,66.25,63.75,68.75,73.75,72.50,70.00,76.25,72.81
....Apayao,"RAW PEANUT, SHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"BAGUIO BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"MONGGO, GREEN, 1 KG",108.38,97.14,89.91,144.51,84.56,79.22,79.22,85.10,84.04,90.97,89.91,85.64,93.22,85.64,85.64,85.64,96.34,115.61,128.45,118.82,118.82,118.82,118.82,125.23,128.45,110.52,125.23,125.23,138.08,128.45,128.45,117.53,117.53,116.25,116.25,116.25,116.25,183.75,127.44,165.63,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,179.95,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.67,181.25,181.25,181.25,181.25,181.25,181.25,186.88,189.38,189.38,183.11,189.38,189.38,189.38,189.38,189.38,191.25,160.17,150.22,107.50,109.38,108.75,108.75,156.91,108.75,110.00,110.00,110.00,111.25,111.25,111.25,111.25,111.25,111.25,111.88,111.88,110.83,111.88,110.63,110.63,114.17,110.63,110.63,98.75,98.75,98.75,99.38,100.00,100.63,105.40,100.63,100.63,100.63,100.63,101.88,104.38,100.00,101.88,105.00,106.88,105.00,102.50,102.50
....Apayao,"STRING BEANS, 1 KG",31.52,31.26,32.31,32.18,34.81,34.81,34.28,35.59,37.55,39.39,36.76,36.76,34.77,36.23,36.23,34.92,34.92,32.82,34.13,36.76,36.76,36.76,36.76,38.07,38.07,36.04,38.07,40.70,42.01,40.70,40.70,39.39,39.39,39.39,40.05,41.23,40.84,38.60,40.09,37.29,37.82,39.92,39.92,40.97,39.57,39.92,42.72,42.72,41.31,42.01,42.01,40.52,43.76,42.01,41.31,39.91,42.01,42.01,42.01,42.01,42.01,42.01,42.01,42.01,41.92,43.32,43.32,43.32,43.32,42.22,42.22,41.69,41.48,43.23,44.19,44.63,47.26,43.35,53.38,56.89,56.01,61.26,61.26,66.51,61.26,63.01,63.01,95.38,84.01,77.01,66.58,73.51,71.76,68.26,70.01,64.76,61.25,66.50,61.25,60.63,62.50,62.50,62.50,65.45,66.25,66.25,63.75,63.39,65.00,61.25,54.38,49.38,50.88,55.63,73.75,82.50,62.70,82.50,81.25,70.63,61.25,56.25,60.00,51.88,56.75,58.75,61.88,60.00,58.75,63.32
....Benguet,"RAW PEANUT, SHELLED, 1 KG",125.00,125.00,125.00,140.00,147.50,155.00,155.00,155.00,157.50,157.50,155.00,160.00,146.46,160.00,160.00,160.00,160.00,165.00,170.00,155.00,160.00,160.00,160.00,160.00,160.00,160.83,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.83,150.00,145.00,135.00,135.00,122.50,122.50,122.50,122.50,122.50,122.50,121.25,120.00,128.44,120.00,120.00,122.50,120.00,125.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,129.38,135.00,135.00,135.00,135.00,135.00,135.00,150.00,157.50,157.50,157.50,155.00,147.50,144.58,147.50,147.50,147.50,152.50,146.25,140.00,140.00,135.00,135.00,135.00,135.00,128.00,140.77,120.00,120.00,116.00,110.00,104.00,96.00,92.00,93.50,94.00,93.00,92.00,92.00,101.88,92.00,95.00,93.00,92.00,92.00,92.00,89.00,89.00,89.00,87.85,87.85,83.26,90.16
....Benguet,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
