Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
....Benguet,"MATURED COCONUT, MEDIUM, 1 PC",22.60,22.60,22.60,22.60,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,23.91,24.56,24.66,25.64,25.64,25.54,25.54,25.54,25.54,25.54,25.64,25.64,25.64,25.43,25.54,25.54,25.54,25.54,25.54,26.33,28.30,28.50,28.50,28.50,28.50,28.50,27.07,28.50,28.50,28.50,28.50,28.50,28.50,29.48,30.46,30.46,30.46,30.46,30.46,29.40,30.46,30.46,30.46,31.44,31.44,31.44,32.42,32.42,32.42,32.42,32.42,32.42,31.69,32.42,32.42,32.42,32.42,32.42,32.42,32.42,32.42,32.42,33.40,31.93,35.37,32.71,35.37,36.35,36.35,36.35,37.33,37.33,37.33,37.33,38.31,38.31,38.31,38.31,37.25,38.31,39.78,40.27,39.29,39.29,39.29,39.29,39.29,39.29,39.29,39.29,37.86,39.21,37.86,37.86,37.86,39.88,39.29,38.57,40.00,40.43,40.43,40.00,39.00,39.29,39.21,39.29,39.29,36.43,37.86,35.00,35.71,38.57,38.57,41.00,41.00,41.00,41.00,38.73
....Benguet,"YOUNG COCONUT, MEDIUM, 1 PC",27.69,27.69,27.69,32.31,32.31,32.31,32.31,32.31,32.31,32.31,32.31,30.00,30.96,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.33,30.33,30.06,30.33,30.33,30.33,29.50,30.33,32.00,32.00,32.00,32.00,31.17,32.00,33.33,31.28,33.33,32.50,33.33,35.83,35.83,37.50,37.50,37.50,38.00,38.33,38.33,38.33,36.36,38.33,38.33,38.33,38.33,38.33,38.33,38.33,36.67,36.67,36.67,37.50,37.50,37.78,37.50,37.50,37.50,37.50,37.50,39.17,40.00,40.00,40.00,40.00,40.00,40.00,38.89,40.00,41.67,41.67,40.83,40.83,40.83,40.83,40.83,40.83,40.83,40.83,40.83,40.90,40.83,40.83,40.83,42.50,41.67,42.08,42.50,43.33,43.33,43.33,40.83,40.83,41.91,43.33,41.67,39.17,40.00,39.17,38.33,37.50,40.00,43.33,45.00,45.00,45.00,41.46
....Ifugao,"MATURED COCONUT, MEDIUM, 1 PC",20.20,23.23,23.23,29.29,29.00,29.00,29.00,29.00,29.00,29.00,29.00,28.29,27.27,28.29,28.29,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.52,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,30.00,29.29,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.58,30.00,30.00,30.00,29.29,29.29,28.57,28.57,28.57,28.57,28.57,28.57,28.57,29.05,28.57,28.57,28.57,27.86,27.86,28.57,27.86,29.29,28.57,28.57,28.57,28.57,28.45,29.29,30.00,29.29,30.00,29.29,30.00,30.00,30.00,29.29,29.29,29.29,29.29,29.59,30.71,30.71,30.71,30.71,30.71,30.71,30.00,30.00,30.00,30.00,30.71,29.29,30.36,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.00,33.57,33.57,31.13,36.43,35.00,38.57,38.57,37.86,36.43,36.43,36.43,36.43,35.00,35.00,35.00,36.43
....Ifugao,"YOUNG COCONUT, MEDIUM, 1 PC",24.49,24.49,24.49,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,27.14,27.43,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.86,27.86,27.86,27.86,27.86,27.86,27.86,28.57,28.57,27.80,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,29.29,29.29,28.57,28.57,28.57,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.11,30.00,30.00,30.00,30.71,30.71,30.71,30.71,30.71,30.71,30.71,30.71,29.29,30.41,31.43,32.14,32.14,32.14,32.86,32.86,31.43,31.43,30.71,30.71,35.71,38.29,32.65,37.86,37.86,40.86,39.71,37.86,37.86,37.86,37.86,37.86,37.86,37.86,37.86,38.26
....Kalinga,"MATURED COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Kalinga,"YOUNG COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Mountain Province,"MATURED COCONUT, MEDIUM, 1 PC",30.12,30.84,30.84,30.75,31.38,30.75,31.38,30.13,30.75,30.75,29.50,29.25,30.54,29.00,29.50,28.88,28.00,27.63,27.38,28.38,27.38,27.13,26.75,27.38,27.63,27.92,27.38,28.88,28.25,28.88,28.88,28.88,28.25,27.13,26.88,27.50,28.88,28.88,28.22,30.13,30.38,30.63,31.25,32.50,32.50,32.50,33.13,33.13,33.13,33.13,33.13,32.13,33.13,33.13,34.38,35.63,34.38,34.38,33.13,31.88,31.88,31.88,31.88,31.88,33.13,32.50,32.50,33.13,33.13,33.13,34.38,34.50,36.88,39.38,38.13,39.38,38.75,35.48,38.75,38.13,38.75,40.00,40.00,38.13,38.13,38.13,38.13,38.75,40.00,40.00,38.91,40.00,40.00,40.00,40.00,40.00,40.63,40.00,40.00,40.00,41.25,41.25,41.25,40.37,40.00,39.38,39.38,39.17,39.38,40.00,40.00,40.00,40.00,41.25,41.25,41.88,40.14,41.88,37.50,36.88,36.88,37.50,37.50,37.50,36.50,37.75,39.00,39.00,39.00,38.07
....Mountain Province,"YOUNG COCONUT, MEDIUM, 1 PC",29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,28.75,28.75,28.13,28.75,29.06,28.13,28.75,28.75,28.75,28.75,30.00,28.75,30.00,30.00,30.00,30.00,30.00,29.32,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,32.50,32.50,32.50,32.50,30.83,32.50,32.50,32.50,32.50,32.50,32.50,33.13,33.13,33.13,33.13,33.13,33.13,32.82,33.13,33.13,33.13,33.13,33.13,33.13,33.13,33.13,33.13,33.13,33.13,33.75,33.18,33.75,34.38,35.63,35.83,38.13,40.63,40.63,40.63,40.63,41.88,42.50,42.50,38.93,42.50,40.63,40.63,40.63,40.63,39.38,41.88,39.38,37.50,37.50,37.50,38.13,39.69
..REGION I (ILOCOS REGION),"MATURED COCONUT, MEDIUM, 1 PC",19.59,20.03,20.03,20.64,21.46,21.71,21.34,21.46,21.46,21.46,21.46,21.50,21.01,21.92,21.92,21.71,21.71,21.46,21.46,21.46,21.48,21.79,21.58,21.79,21.59,21.66,22.00,22.21,23.04,23.88,24.71,25.75,26.17,25.42,25.42,25.42,24.59,24.79,24.45,26.46,26.67,27.09,27.50,27.92,28.13,28.13,28.54,28.63,28.63,28.75,28.54,27.92,28.54,29.38,29.59,29.59,29.79,30.21,29.79,30.00,29.79,29.79,29.79,29.79,29.67,30.42,30.63,31.25,32.71,31.58,31.58,31.58,31.58,31.58,31.58,31.58,31.58,31.47,32.29,32.71,32.71,32.71,33.54,33.75,33.75,32.29,31.88,31.88,31.88,31.88,32.61,31.88,30.98,30.75,30.75,31.05,30.84,31.67,32.09,31.67,31.67,32.05,32.88,31.52,33.75,33.75,34.17,35.00,35.21,35.00,34.79,33.96,33.54,33.96,33.96,34.38,34.29,34.38,34.80,35.63,35.84,36.05,36.25,36.25,36.04,35.84,35.42,35.21,35.63,35.61
..REGION I (ILOCOS REGION),"YOUNG COCONUT, MEDIUM, 1 PC",18.69,18.90,19.68,21.01,21.88,22.07,22.07,22.07,22.22,22.32,21.88,21.72,21.21,22.22,22.60,22.28,22.12,22.27,22.27,23.28,23.32,23.56,23.56,23.56,23.56,22.88,24.09,24.29,24.34,25.12,26.06,26.85,26.85,25.90,26.07,25.91,26.07,26.07,25.64,26.53,26.68,27.00,26.85,26.85,26.71,27.32,27.63,27.70,27.71,27.24,27.47,27.14,27.73,28.05,28.05,28.36,28.83,28.21,28.11,28.17,28.17,28.17,28.17,28.43,28.20,28.73,28.02,29.30,29.33,28.87,28.87,29.19,29.19,29.38,29.22,28.91,28.91,28.99,29.85,30.47,30.47,30.32,30.47,30.16,30.14,30.14,30.49,30.99,30.99,30.99,30.46,30.99,30.68,30.68,30.68,31.62,31.16,31.16,31.63,31.49,31.49,31.49,31.49,31.21,31.27,31.27,31.77,32.50,32.97,33.15,33.78,33.78,33.60,33.60,33.53,33.85,32.92,33.75,34.47,34.79,34.63,34.63,34.63,34.47,34.47,34.64,35.05,34.69,34.85,34.59
....Ilocos Norte,"MATURED COCONUT, MEDIUM, 1 PC",15.04,15.04,15.04,15.04,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.43,15.63,15.63,15.63,18.13,17.50,17.50,17.50,17.50,17.50,17.50,17.50,17.50,17.09,17.50,17.50,17.50,20.00,20.00,21.88,21.88,21.88,21.25,21.88,21.88,22.50,20.47,23.75,24.38,26.25,26.25,28.13,28.13,28.13,28.75,28.75,28.75,28.75,29.38,27.45,28.75,31.25,31.25,31.25,31.25,31.88,30.63,30.63,31.25,31.25,31.25,31.25,30.99,31.25,31.25,31.25,31.25,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.08,32.50,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.65,33.75,33.75,33.75,33.75,34.38,34.38,34.38,34.38,33.75,33.75,34.88,34.88,34.15,34.38,34.38,35.63,36.67,36.88,36.25,36.25,35.00,35.00,35.63,35.63,35.63,35.61,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63
....Ilocos Norte,"YOUNG COCONUT, MEDIUM, 1 PC",16.33,17.17,17.17,19.17,20.63,20.63,20.63,20.63,21.25,21.63,19.13,19.13,19.46,19.38,19.38,19.38,19.38,19.38,19.38,20.00,20.00,20.63,20.63,20.63,20.63,19.90,20.63,21.25,21.25,22.50,22.50,23.75,23.75,24.38,24.38,24.38,24.38,24.38,23.13,24.38,24.38,25.00,25.00,25.63,25.63,25.63,26.88,26.88,26.88,25.00,26.25,25.63,26.25,26.88,28.13,29.38,29.38,26.88,26.88,26.88,26.88,26.88,27.13,26.88,27.37,26.88,27.13,27.25,27.38,26.13,26.13,27.38,27.38,28.13,27.50,27.50,27.50,27.19,28.75,28.75,28.75,28.75,28.75,28.75,28.13,28.13,28.13,28.13,28.13,28.13,28.44,28.13,28.13,28.13,28.13,30.63,30.63,30.63,31.25,31.25,31.25,31.25,31.25,30.06,28.75,28.75,30.63,31.33,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,31.46,31.88,32.25,32.25,32.25,32.25,32.25,32.25,32.25,33.75,33.75,33.75,33.75,32.72
....Ilocos Sur,"MATURED COCONUT, MEDIUM, 1 PC",20.57,21.88,21.88,21.88,23.75,23.75,22.50,23.13,23.13,23.13,23.13,23.13,22.66,24.38,24.38,23.75,21.88,21.88,21.88,21.88,21.94,22.50,22.50,22.50,21.88,22.61,23.13,23.13,25.63,25.63,28.13,29.38,30.63,28.13,28.75,28.13,25.63,25.63,26.83,28.13,28.13,26.88,28.13,27.50,28.13,28.13,28.75,29.00,29.00,28.75,28.75,28.27,29.38,28.75,29.38,29.38,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.74,31.25,31.25,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.21,30.63,30.63,30.63,30.63,32.50,32.50,32.50,28.13,26.88,26.88,26.88,26.88,29.64,26.88,25.63,25.63,25.63,26.88,26.88,29.38,29.38,30.63,30.63,30.63,30.63,28.23,33.75,33.75,33.13,33.33,34.38,35.00,35.00,34.38,33.13,33.75,33.75,34.38,33.98,34.38,35.63,37.50,36.88,36.88,37.50,37.50,37.50,37.50,37.50,36.88,38.13,36.98
