Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
..CORDILLERA ADMINISTRATIVE REGION (CAR),"GARLIC, NATIVE, 1 KG",108.10,101.28,107.44,105.17,103.20,111.57,115.25,118.83,124.09,127.16,125.19,125.15,114.37,125.82,120.49,117.00,113.81,114.20,114.87,108.24,106.46,110.94,111.77,111.98,113.67,114.10,115.28,116.93,117.65,115.70,109.63,155.77,217.77,189.59,163.05,165.50,147.82,150.03,147.06,148.52,162.66,145.27,139.03,136.32,138.52,143.76,125.78,125.69,127.14,128.02,127.60,137.36,137.15,132.42,131.00,133.20,136.35,162.56,162.91,173.98,170.02,164.38,166.55,171.76,153.52,170.02,167.40,161.12,162.59,183.90,184.47,154.25,144.90,141.93,140.53,140.46,137.54,157.43,137.09,137.71,133.72,124.08,120.29,120.10,139.25,140.47,132.20,133.17,129.40,122.11,130.80,123.52,120.49,117.28,119.10,131.77,140.97,148.57,145.48,142.46,146.31,145.63,145.66,135.60,148.63,152.44,166.70,175.53,178.13,168.36,170.02,166.62,167.11,168.99,166.22,162.98,165.98,169.71,171.31,165.01,156.49,154.67,153.84,152.04,157.40,158.49,153.51,158.73,157.80,159.08
..CORDILLERA ADMINISTRATIVE REGION (CAR),"ONION RED CREOLE (BERMUDA RED), 1 KG",75.07,70.92,71.17,71.42,69.33,74.65,80.14,86.87,94.45,98.89,99.45,91.64,82.00,92.73,89.08,85.92,79.53,72.75,78.75,77.34,74.53,79.72,77.44,77.44,79.34,80.38,81.35,83.76,82.01,74.22,58.68,56.09,70.93,73.54,75.52,78.10,78.63,82.19,74.59,84.77,81.65,73.53,66.71,66.64,70.66,70.84,71.30,72.66,79.14,87.85,93.35,76.59,100.38,99.75,89.42,87.69,93.78,100.46,104.15,104.27,112.38,114.67,118.46,103.98,102.45,100.00,97.71,92.78,87.72,86.10,88.42,85.18,88.97,90.30,90.90,91.85,102.50,91.87,110.12,105.04,99.26,96.16,96.68,98.90,103.06,107.60,110.54,109.86,104.63,102.90,103.73,102.09,97.17,98.16,89.97,82.55,82.74,84.76,88.35,87.49,91.22,101.43,114.55,93.37,147.52,139.49,123.78,122.28,112.42,109.38,108.96,110.27,115.45,130.42,153.63,164.73,128.19,155.95,134.91,123.22,114.08,114.97,113.53,117.80,125.17,131.06,127.56,137.38,152.85,129.04
..CORDILLERA ADMINISTRATIVE REGION (CAR),"ONION WHITE (YELLOW GRANEX), 1 KG",85.12,82.88,75.64,78.32,71.81,71.81,81.10,81.32,86.23,97.61,96.68,95.16,83.64,94.32,90.40,86.54,80.20,75.97,79.64,82.81,81.05,82.00,81.16,81.16,84.21,83.29,88.11,88.12,89.19,83.85,65.81,55.18,71.32,73.25,84.90,86.95,87.21,95.90,80.82,91.05,92.23,73.34,69.30,70.77,72.61,75.92,78.44,81.49,84.53,94.62,99.34,81.97,100.14,98.87,97.56,97.14,100.67,101.80,98.97,103.38,107.16,110.68,110.82,99.29,102.21,96.62,91.98,90.21,86.71,85.54,87.11,84.92,81.91,83.53,84.98,81.87,87.18,86.88,97.17,96.69,93.33,82.64,83.90,86.01,89.92,92.73,97.41,99.55,96.33,90.04,92.14,96.23,94.77,90.51,80.68,77.38,76.81,78.58,86.43,84.29,90.92,98.07,116.79,89.29,122.62,114.35,110.83,110.36,110.60,105.06,100.00,104.29,116.61,145.24,144.29,147.62,119.32,147.62,121.04,107.98,99.40,104.82,101.37,97.26,96.85,99.35,101.61,100.98,102.02,106.69
..CORDILLERA ADMINISTRATIVE REGION (CAR),"GINGER, 1 KG",75.26,74.16,71.46,71.56,67.93,71.02,70.09,69.08,68.20,67.19,68.19,65.17,69.94,66.28,65.65,63.31,64.23,63.39,66.35,67.09,66.30,67.76,67.65,68.73,67.88,66.22,71.75,71.41,69.31,77.22,83.74,102.75,125.59,117.89,135.95,136.65,140.09,121.03,104.45,125.20,114.90,115.49,123.57,131.25,148.05,156.39,148.68,145.19,140.50,140.10,139.29,135.72,125.67,118.45,114.48,105.46,108.75,111.97,117.34,114.67,112.61,113.97,116.49,104.94,113.73,104.74,102.52,97.64,89.09,87.95,86.48,75.83,70.36,70.92,72.75,75.23,79.05,84.38,76.61,75.85,79.32,76.65,77.33,73.99,75.56,75.18,75.75,76.82,78.49,75.99,76.46,75.82,73.11,72.00,72.63,76.52,82.94,86.00,87.94,94.11,104.22,106.85,111.76,86.99,110.06,104.75,101.01,118.24,131.92,147.45,148.44,142.77,146.53,156.35,163.15,154.99,135.47,147.91,140.82,128.82,123.16,123.26,136.14,136.66,133.76,142.69,142.32,140.66,133.83,135.84
..CORDILLERA ADMINISTRATIVE REGION (CAR),"GARLIC, IMPORTED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"GARLIC, NATIVE, 1 KG",91.54,91.54,98.88,103.14,100.70,109.86,112.29,117.18,117.18,109.86,109.86,109.86,105.99,109.86,103.76,103.76,103.76,103.76,103.76,101.31,101.31,101.31,102.54,102.54,102.54,103.35,106.20,109.86,108.63,108.63,112.91,150.14,205.06,192.86,130.00,127.14,115.71,120.00,132.26,122.86,141.43,152.86,154.29,147.14,162.86,170.00,105.71,106.25,100.00,103.75,103.75,130.91,122.50,130.00,128.75,145.00,146.25,162.50,172.50,168.75,157.50,160.00,158.13,158.75,150.89,167.50,175.00,175.00,170.00,196.25,208.75,185.00,156.25,160.00,156.25,150.00,137.50,169.79,140.00,131.25,143.75,120.63,111.25,111.25,176.88,138.75,117.50,107.50,107.50,93.75,125.00,97.50,101.25,100.00,102.50,107.50,117.50,142.50,118.75,117.50,125.00,130.00,135.00,116.25,135.00,123.75,175.00,190.00,203.75,181.25,173.75,170.00,172.50,180.00,171.25,166.25,170.21,196.25,191.25,186.25,177.50,173.75,175.00,166.25,166.25,153.75,133.75,138.75,137.50,166.35
....Abra,"ONION RED CREOLE (BERMUDA RED), 1 KG",46.12,46.12,47.96,56.58,56.26,60.26,73.79,71.95,75.02,77.48,82.40,72.56,63.88,75.02,72.56,77.48,63.96,57.80,57.80,59.03,58.41,66.42,62.72,62.72,63.96,64.82,63.96,65.18,62.72,60.26,54.11,51.65,62.72,63.33,65.83,66.67,70.00,67.50,62.83,68.33,63.33,78.33,78.33,76.67,76.67,63.33,63.33,65.71,70.00,85.71,94.29,73.67,80.00,80.00,70.00,78.57,80.00,71.43,74.29,82.86,90.00,97.14,92.86,91.43,82.38,91.43,91.43,74.29,81.43,71.43,67.14,75.71,80.00,80.00,80.00,91.43,102.86,82.26,94.29,80.00,80.00,80.00,80.00,80.00,95.00,101.25,98.75,93.75,91.25,85.00,88.27,83.75,72.50,80.00,80.00,70.00,77.50,81.25,72.50,77.50,80.00,93.75,101.25,80.83,185.00,157.50,150.00,145.00,98.75,92.50,108.75,105.00,106.25,133.75,137.50,163.75,131.98,162.50,137.50,106.25,105.00,102.50,105.00,107.50,117.50,117.50,120.00,130.00,153.75,122.08
....Abra,"ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"GINGER, 1 KG",115.84,115.84,107.41,112.69,105.31,117.94,109.52,96.89,96.89,96.89,96.89,92.67,105.40,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,90.57,90.57,90.57,92.15,101.10,105.31,101.10,115.84,126.38,174.81,214.84,164.29,149.29,152.50,142.50,130.00,139.83,128.75,117.50,126.25,131.25,153.75,170.00,195.00,195.00,161.25,155.00,150.00,151.25,152.92,132.50,133.75,128.75,123.75,130.00,123.75,123.75,123.75,117.50,117.50,117.50,113.75,123.85,117.50,117.50,117.50,117.50,117.50,117.50,63.75,63.75,68.75,70.00,70.00,87.50,94.06,87.50,87.50,87.50,87.50,87.50,87.50,93.75,92.50,92.50,91.25,91.25,90.00,89.69,92.50,72.50,72.50,78.75,88.75,102.50,112.50,105.00,113.75,120.00,126.25,128.75,101.15,128.75,122.50,122.50,191.67,206.25,202.50,188.75,177.50,163.75,173.75,177.50,168.75,168.68,166.25,148.75,133.75,128.75,132.50,160.00,157.50,153.81,151.25,130.00,117.50,120.00,141.67
....Abra,"GARLIC, IMPORTED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"GARLIC, NATIVE, 1 KG",109.21,110.41,112.22,111.62,111.02,111.02,103.82,100.81,99.61,97.21,96.01,90.01,104.41,90.01,90.01,90.01,90.01,94.81,82.81,83.41,83.41,85.21,85.21,85.21,85.21,87.11,90.01,90.01,87.61,87.61,87.61,85.21,138.01,99.61,133.22,133.22,142.82,133.22,109.01,133.22,133.22,121.22,102.42,102.42,102.42,102.42,102.42,102.42,102.42,102.42,102.42,109.12,112.02,112.02,112.02,106.41,99.21,125.61,110.41,113.61,113.61,113.61,133.62,147.21,116.61,150.42,147.21,150.42,159.21,159.21,163.21,154.41,149.61,148.02,149.61,148.81,148.81,152.41,133.61,126.41,118.40,116.81,114.41,112.01,110.41,110.41,115.21,120.01,116.81,116.81,117.61,113.60,110.40,102.40,100.80,115.20,121.60,121.60,120.00,128.13,127.50,125.00,125.00,117.60,130.00,148.75,152.50,159.64,158.75,161.25,186.25,175.00,171.25,172.50,172.50,170.00,163.20,170.00,167.50,160.00,145.00,135.00,128.75,140.00,135.63,132.50,131.25,130.00,133.33,142.41
....Apayao,"ONION RED CREOLE (BERMUDA RED), 1 KG",85.32,84.03,82.74,84.03,83.39,83.39,82.10,82.74,84.03,84.03,84.03,84.03,83.66,84.03,84.03,81.44,81.44,71.10,76.27,76.27,76.27,76.27,76.27,76.27,81.44,78.43,87.90,90.49,90.49,80.15,64.64,64.64,116.35,111.18,111.83,111.18,95.67,126.70,95.94,126.70,126.70,90.50,62.06,62.06,77.57,84.47,77.57,77.57,77.57,81.01,77.57,85.11,95.67,84.47,79.30,72.40,110.33,115.50,110.33,110.33,110.33,110.33,115.50,103.43,101.49,99.99,99.99,99.99,99.99,99.99,98.26,94.82,87.92,88.78,93.95,98.26,99.99,96.83,108.61,105.17,103.44,101.71,101.71,105.16,105.16,105.16,113.78,113.78,112.05,112.05,107.32,108.61,103.44,100.00,100.00,100.00,100.00,100.00,100.00,98.75,98.75,100.00,101.25,100.90,113.75,118.75,122.50,120.36,126.25,127.50,127.50,127.50,133.75,146.25,158.75,158.75,131.80,158.75,140.00,123.75,115.00,113.75,106.25,112.50,115.63,115.63,116.88,118.75,125.63,121.88
....Apayao,"ONION WHITE (YELLOW GRANEX), 1 KG",84.93,84.93,82.32,84.93,84.28,84.28,84.28,84.93,84.93,91.46,91.46,91.46,86.18,91.46,91.46,94.07,94.07,88.84,91.45,91.45,91.45,91.45,91.45,91.45,91.45,91.67,91.45,94.06,94.06,86.22,70.54,70.54,121.49,107.12,119.53,119.53,101.89,137.16,101.13,131.67,135.20,109.72,99.27,99.27,101.02,101.02,101.02,101.02,101.02,101.02,101.02,106.86,106.25,99.28,104.50,104.50,109.73,113.21,113.21,113.21,113.21,113.21,109.73,105.81,108.82,105.81,104.50,105.81,105.81,105.81,105.81,102.55,93.53,94.92,99.28,94.05,99.27,101.43,102.75,99.27,99.27,96.66,96.66,100.14,99.27,101.02,104.50,111.47,107.98,106.25,102.10,106.25,109.73,104.50,101.02,107.98,104.50,104.50,106.25,106.25,107.50,110.00,111.25,106.64,120.00,121.25,123.75,119.11,125.00,126.25,125.00,126.25,127.50,130.00,132.50,138.75,126.28,138.75,123.13,107.50,103.75,97.50,97.50,91.25,90.00,93.75,100.00,93.13,98.75,102.92
....Apayao,"GINGER, 1 KG",78.24,77.00,77.00,77.00,73.00,70.00,72.00,76.00,76.00,79.00,80.00,76.00,75.94,72.00,72.00,72.00,75.00,75.00,77.00,80.00,80.00,78.00,76.00,80.00,80.00,76.42,80.00,80.00,75.83,74.17,75.83,76.43,87.86,87.86,94.29,93.13,85.63,81.88,82.74,85.63,85.00,85.00,85.00,85.00,85.00,85.00,85.00,83.13,83.13,83.13,83.75,84.48,83.13,83.13,81.88,83.75,82.50,84.38,84.38,85.00,85.00,85.00,89.38,89.38,84.74,88.13,90.00,86.67,85.00,85.00,81.88,79.38,73.75,78.13,84.38,85.00,88.75,83.84,95.00,90.00,92.50,86.25,78.75,73.75,77.50,77.50,78.75,80.00,77.50,77.50,82.08,78.75,77.50,72.50,71.25,81.25,78.13,80.00,89.38,91.25,95.00,97.50,118.13,85.89,126.25,125.00,113.75,116.67,121.88,127.50,138.13,143.75,149.38,153.75,161.88,173.13,137.59,163.75,154.38,146.25,136.88,131.88,131.25,143.13,140.00,142.50,142.50,140.00,135.63,142.35
