Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
..CORDILLERA ADMINISTRATIVE REGION (CAR),"FRESH, BEEF, MEAT WITH BONES, 1 KG",192.73,192.58,191.61,193.51,191.01,188.92,191.84,191.42,191.84,193.33,193.74,195.98,192.38,195.98,197.23,196.40,196.40,195.98,195.98,196.19,196.19,196.82,195.36,195.77,196.61,196.24,196.82,197.47,197.23,198.07,198.96,198.69,198.69,198.48,198.27,198.07,198.07,198.20,198.09,199.11,196.19,198.48,198.69,198.69,198.90,201.07,200.95,201.07,201.49,204.41,204.32,200.28,207.98,207.20,206.74,203.37,202.69,203.20,203.52,203.83,203.31,203.17,203.97,201.89,204.24,203.32,202.77,203.48,203.52,205.86,207.14,208.04,210.86,212.14,210.39,212.10,214.29,207.83,215.00,213.96,213.01,214.26,218.48,220.92,221.85,223.01,225.15,225.66,227.17,226.34,220.40,231.25,232.29,232.92,234.38,234.79,235.83,236.34,238.63,237.80,241.37,241.22,241.52,236.53,242.17,243.04,244.52,250.93,252.53,249.05,253.22,253.84,254.67,255.61,257.77,265.74,251.92,268.81,283.89,290.21,290.97,294.17,293.06,297.99,300.72,297.43,296.46,295.90,296.39,292.17
..CORDILLERA ADMINISTRATIVE REGION (CAR),"FRESH, BEEF, PURE MEAT, 1 KG",209.76,209.76,208.64,209.48,208.36,209.83,208.71,209.21,208.10,209.56,209.56,212.20,209.43,212.06,211.23,211.23,210.95,211.23,212.89,215.27,215.27,212.61,212.61,212.61,212.61,212.55,212.82,213.03,212.20,211.99,212.41,213.45,213.69,212.98,213.45,213.45,213.45,212.86,212.98,213.90,213.90,213.66,213.90,213.66,213.90,213.45,212.89,213.13,215.97,216.77,217.50,214.39,218.18,218.90,218.61,219.23,219.65,218.58,220.13,218.14,218.58,219.64,219.23,218.55,218.95,219.27,218.79,219.65,219.65,220.84,222.39,224.54,225.37,224.95,225.96,231.02,232.62,223.75,232.03,231.22,231.06,231.48,236.08,238.34,243.42,248.27,248.95,251.83,252.93,252.11,241.48,257.53,257.12,258.69,259.46,261.34,261.96,262.65,265.00,264.79,267.20,265.92,266.99,262.39,267.44,267.68,268.57,271.53,273.84,273.01,274.73,278.07,278.07,279.73,283.99,287.89,275.38,291.39,309.13,314.24,316.36,317.50,318.96,323.89,322.85,319.76,321.67,319.17,319.69,316.22
..CORDILLERA ADMINISTRATIVE REGION (CAR),"FRESH, PORK PATA (FORE/FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"FRESH, PORK, MEAT WITH BONES, 1 KG",159.45,159.73,159.45,156.38,157.20,157.44,158.50,161.58,160.68,160.16,159.79,159.95,159.19,161.87,161.82,162.35,168.52,171.84,173.29,176.77,176.28,175.10,174.69,174.48,172.83,170.82,172.56,173.32,174.93,176.03,178.08,182.24,185.51,185.18,185.84,185.12,184.47,185.71,180.75,184.53,183.59,183.59,184.81,186.06,185.58,185.58,185.11,184.90,184.69,184.24,184.76,184.79,180.95,181.79,180.92,178.36,176.65,176.42,176.97,177.35,176.88,176.55,175.96,176.40,177.93,175.06,175.99,175.03,176.70,180.84,186.24,188.38,188.77,188.50,188.29,188.05,188.71,183.38,189.23,189.07,188.71,189.72,194.12,199.57,200.70,202.23,202.92,203.93,202.20,202.20,197.05,200.86,201.28,201.70,201.28,201.70,201.46,201.25,201.67,200.11,198.30,197.35,197.08,200.34,197.87,198.29,198.62,200.87,200.95,200.24,202.98,204.44,205.05,210.98,222.70,236.94,206.66,247.78,267.23,271.76,274.64,278.93,284.38,285.09,285.58,287.37,288.36,286.63,285.67,278.62
..CORDILLERA ADMINISTRATIVE REGION (CAR),"FRESH, PORK, PURE MEAT, 1 KG",156.69,156.41,158.06,153.97,156.27,156.30,158.29,160.64,160.38,160.38,161.06,161.12,158.30,160.97,161.45,161.69,166.10,169.50,178.68,182.49,182.98,182.32,182.06,182.47,180.81,174.29,180.12,180.78,181.94,183.20,187.72,190.37,192.66,192.43,192.84,192.37,192.13,192.88,188.29,193.73,192.90,191.24,192.43,191.44,191.21,190.35,189.66,190.08,189.05,189.01,188.60,190.81,187.97,188.89,188.14,185.45,185.79,185.01,184.39,185.65,186.81,187.08,184.35,184.35,186.16,183.20,182.26,183.20,184.59,187.80,194.60,197.78,198.38,199.00,197.76,197.10,197.55,191.94,198.18,198.85,197.96,197.96,203.92,210.15,211.01,213.58,214.16,213.72,212.20,211.00,206.89,211.73,211.52,212.15,211.73,212.15,212.94,213.18,215.66,213.99,210.83,210.72,212.05,212.39,216.70,216.34,216.09,214.98,214.32,212.98,214.73,216.31,216.04,222.00,235.20,249.52,220.43,260.70,282.92,286.64,290.49,295.55,299.32,301.43,299.41,298.77,296.64,295.94,296.60,292.03
....Abra,"FRESH, BEEF, MEAT WITH BONES, 1 KG",196.84,195.95,196.84,177.50,177.50,177.50,182.50,182.50,182.50,180.00,182.50,183.75,184.66,183.75,190.00,187.50,187.50,185.00,185.00,185.00,185.00,186.25,180.00,180.00,181.25,184.69,181.25,178.75,178.75,183.75,186.25,187.50,187.50,186.25,186.25,186.25,186.25,186.25,184.58,186.25,186.25,185.00,186.25,186.25,187.50,186.25,186.25,186.25,183.75,182.50,186.25,185.73,185.00,186.25,186.25,186.25,187.50,188.75,188.75,188.75,188.75,188.75,191.25,191.25,188.13,191.25,191.25,191.25,191.25,191.25,195.00,196.25,197.50,198.75,200.00,200.00,200.00,195.31,200.00,200.00,200.00,200.00,200.00,200.00,200.00,202.50,211.25,211.25,211.25,211.25,203.96,211.25,211.25,212.50,212.50,212.50,212.50,212.50,212.50,212.50,212.50,212.50,213.75,212.40,213.75,215.00,217.50,210.00,220.00,217.50,217.50,221.25,221.25,223.75,225.00,226.25,219.06,227.50,245.00,256.25,273.75,273.75,273.75,268.75,262.50,262.50,262.50,257.50,255.00,259.90
....Abra,"FRESH, BEEF, PURE MEAT, 1 KG",220.38,220.38,220.38,223.75,223.75,223.75,223.75,218.75,218.75,218.75,218.75,221.25,221.03,221.25,221.25,221.25,221.25,221.25,221.25,221.25,221.25,221.25,221.25,221.25,220.00,221.15,220.00,220.00,220.00,218.75,221.25,222.50,222.50,222.50,222.50,222.50,222.50,222.50,221.46,222.50,222.50,222.50,222.50,222.50,222.50,221.25,221.25,221.25,220.00,221.25,220.00,221.67,220.00,220.00,221.25,222.50,223.75,225.00,226.25,226.25,226.25,226.25,226.25,226.25,224.17,226.25,226.25,226.25,226.25,226.25,230.00,230.00,230.00,230.00,228.75,228.75,228.75,228.13,228.75,228.75,230.00,230.00,230.00,230.00,230.00,230.00,235.00,235.00,235.00,235.00,231.46,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,237.50,240.00,241.67,242.50,242.50,245.00,245.00,245.00,245.00,246.25,247.50,242.74,252.50,267.50,281.25,291.25,293.75,293.75,283.75,273.75,273.75,273.75,268.75,268.75,276.88
....Abra,"FRESH, PORK PATA (FORE/FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Abra,"FRESH, PORK, MEAT WITH BONES, 1 KG",170.88,170.88,170.88,167.50,167.50,167.50,162.50,167.50,165.00,162.50,162.50,162.50,166.47,167.50,165.00,166.25,166.25,165.00,165.00,168.75,172.50,172.50,171.25,171.25,171.25,168.54,171.25,173.75,176.25,176.25,176.25,177.50,181.25,181.25,181.25,181.25,181.25,181.25,178.23,182.50,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,181.25,180.00,178.75,181.04,158.75,163.75,163.75,161.25,161.25,161.25,163.13,163.13,163.13,163.13,163.13,163.13,162.40,163.13,163.13,163.13,163.13,165.63,168.13,168.13,168.13,168.13,168.13,168.13,168.13,166.26,168.13,168.13,169.38,169.38,169.38,170.63,170.63,172.50,173.75,173.75,173.75,173.75,171.10,173.75,173.75,173.75,173.75,173.75,173.75,173.75,175.00,175.00,176.25,176.25,176.25,174.58,176.25,178.75,178.75,181.67,188.75,188.75,188.75,188.75,188.75,192.50,195.00,197.50,187.01,200.00,203.75,215.00,227.50,231.25,231.25,226.25,217.50,217.50,217.50,217.50,217.50,218.54
....Abra,"FRESH, PORK, PURE MEAT, 1 KG",178.59,176.90,176.90,174.38,174.38,174.38,174.38,174.38,174.38,174.38,171.88,174.38,174.94,174.38,174.38,174.38,175.00,172.50,170.00,172.50,172.50,176.25,181.25,181.25,181.25,175.47,181.25,181.25,182.50,182.50,182.50,187.50,191.25,191.25,191.25,191.25,191.25,191.25,187.08,191.25,191.25,191.25,191.25,191.25,191.25,191.25,190.00,190.00,190.00,188.75,187.50,190.42,181.25,182.50,182.50,182.50,182.50,182.50,182.50,181.88,181.88,181.88,181.88,181.88,182.14,181.88,181.88,181.88,181.88,184.38,188.75,190.00,191.25,195.00,195.00,195.00,197.50,188.70,197.50,197.50,197.50,197.50,197.50,201.25,202.50,208.75,210.00,210.00,210.00,210.00,203.33,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,208.75,208.75,211.67,212.50,212.50,212.50,211.25,210.00,210.00,211.25,212.50,210.97,215.00,222.50,232.50,243.75,246.25,246.25,241.25,231.25,231.25,231.25,228.75,228.75,233.23
....Apayao,"FRESH, BEEF, MEAT WITH BONES, 1 KG",192.50,192.50,192.50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,205.00,198.54,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,196.67,196.67,196.67,196.67,196.67,196.67,195.00,195.00,195.00,195.00,197.50,195.00,193.33,190.00,191.67,190.00,187.14,187.14,187.14,187.14,185.71,187.14,187.14,189.05,187.14,187.14,187.14,187.14,195.71,195.71,200.00,200.00,200.00,200.00,200.00,200.00,195.00,200.00,200.00,200.00,200.00,200.00,200.00,206.25,206.25,206.25,208.75,202.50,202.50,202.71,202.50,202.50,202.50,206.67,208.75,210.00,207.50,207.50,207.50,210.00,210.00,217.50,207.74,220.00,221.25,223.75,223.75,223.75,227.50,235.00,237.50,238.75,242.50,240.00,246.25,231.67
....Apayao,"FRESH, BEEF, PURE MEAT, 1 KG",200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,210.00,200.83,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,208.33,208.33,208.33,208.33,209.44,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,208.33,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,201.39,200.00,197.14,200.00,200.00,200.00,200.00,200.00,200.00,198.57,200.00,200.00,200.00,199.64,200.00,200.00,200.00,200.00,207.14,207.14,222.50,240.00,240.00,240.00,240.00,240.00,219.73,240.00,240.00,241.25,241.25,242.50,242.50,242.50,242.50,242.50,243.75,243.75,243.75,242.19,243.75,243.75,247.50,251.67,252.50,252.50,256.25,256.25,256.25,262.50,262.50,275.00,255.04,278.75,278.75,282.50,282.50,282.50,286.25,291.25,292.50,290.00,292.50,290.00,293.13,286.72
....Apayao,"FRESH, PORK PATA (FORE/FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
